filename; category; exact % value
AMPP423.COB ; Cat0; -0.0901
RTRU0K4.COB ; Cat0; -0.0431
SDFU001.COB ; Cat0; -0.0048
ALCU030.COB ; Cat0; 0.0166
DABP120.COB ; Cat0; 0.0221
ALCP701.COB ; Cat0; 0.029
RTCP621.COB ; Cat0; 0.029
ALCU021.COB ; Cat0; 0.0305
OFCU029.COB ; Cat0; 0.0318
OFCU037.COB ; Cat0; 0.0358
HSPU010.COB ; Cat0; 0.0411
RTRU008.COB ; Cat0; 0.0444
ALCP333.COB ; Cat0; 0.0458
PRCU016.COB ; Cat0; 0.0521
ALCU042.COB ; Cat0; 0.0557
HSPU011.COB ; Cat0; 0.0573
ALCU009.COB ; Cat0; 0.0605
OFCB818.COB ; Cat0; 0.0621
PRCU002.COB ; Cat0; 0.0623
ALCU039.COB ; Cat0; 0.0644
RTRB021.COB ; Cat0; 0.0683
LEDB150.COB ; Cat0; 0.0694
NOAU478.COB ; Cat0; 0.0697
ALCU254.COB ; Cat0; 0.0703
NOAB560.COB ; Cat0; 0.071
NOAP145.COB ; Cat0; 0.0717
RTRB017.COB ; Cat0; 0.0735
DABU999.COB ; Cat0; 0.0739
RTRB011.COB ; Cat0; 0.0786
OFCU047.COB ; Cat0; 0.0816
OFCU046.COB ; Cat0; 0.0818
RTRU007.COB ; Cat0; 0.0818
NOAB015.COB ; Cat0; 0.0824
RTRB010.COB ; Cat0; 0.0829
RTRB016.COB ; Cat0; 0.084
NOAP128.COB ; Cat0; 0.0841
NOAB016.COB ; Cat0; 0.0844
NOAP144.COB ; Cat0; 0.086
RTRB001.COB ; Cat0; 0.0863
LADB150.COB ; Cat0; 0.0864
ALCP264.COB ; Cat0; 0.0895
LEDUT31.COB ; Cat0; 0.0904
AMPP426.COB ; Cat0; 0.0911
OFCU048.COB ; Cat0; 0.0917
RTRB024.COB ; Cat0; 0.0934
NOAP013.COB ; Cat0; 0.0948
RTRP113.COB ; Cat0; 0.0948
ALCP336.COB ; Cat0; 0.0956
PRCB909.COB ; Cat0; 0.0961
PRCP841.COB ; Cat0; 0.0967
RTCP385.COB ; Cat0; 0.097
OFCP334.COB ; Cat0; 0.0972
AMPP428.COB ; Cat0; 0.0973
ALCU071.COB ; Cat0; 0.0976
OFCU050.COB ; Cat0; 0.0977
OFCU044.COB ; Cat0; 0.0992
NOAP402.COB ; Cat0; 0.1002
RTCU065.COB ; Cat0; 0.1004
NOAP012.COB ; Cat0; 0.1009
RTRP112.COB ; Cat0; 0.1009
RTCU012.COB ; Cat0; 0.101
NOAB017.COB ; Cat0; 0.1012
RTRB027.COB ; Cat0; 0.1013
L62U300.COB ; Cat0; 0.1016
NOAB019.COB ; Cat0; 0.1029
DABU998.COB ; Cat0; 0.104
PRCU019.COB ; Cat0; 0.1043
OFCU039.COB ; Cat0; 0.1071
RTRB031.COB ; Cat0; 0.109
CAPP027.COB ; Cat0; 0.1093
RTRU006.COB ; Cat0; 0.1096
SEFP075.COB ; Cat0; 0.1096
PRCB840.COB ; Cat0; 0.1107
RTCC113.COB ; Cat0; 0.1109
RTRB002.COB ; Cat0; 0.1112
ALCP254.COB ; Cat0; 0.1118
NOAB568.COB ; Cat0; 0.1119
NOAB566.COB ; Cat0; 0.1128
NOAB020.COB ; Cat0; 0.1137
NOAB562.COB ; Cat0; 0.1139
ALCP256.COB ; Cat0; 0.1145
RTRB014.COB ; Cat0; 0.1148
OFCU035.COB ; Cat0; 0.1149
RTCC111.COB ; Cat0; 0.1151
SEFU004.COB ; Cat0; 0.1154
PRCP254.COB ; Cat0; 0.1158
ALCP252.COB ; Cat0; 0.1163
NOAU701.COB ; Cat0; 0.1163
RTRU003.COB ; Cat0; 0.1165
OFCB460.COB ; Cat0; 0.1179
RTCC108.COB ; Cat0; 0.1189
OFCU041.COB ; Cat0; 0.1202
ALCP246.COB ; Cat0; 0.1206
RTCC102.COB ; Cat0; 0.1206
DABP480.COB ; Cat0; 0.1208
RTCC104.COB ; Cat0; 0.1208
OFCB452.COB ; Cat0; 0.1214
RTRB015.COB ; Cat0; 0.1215
NOAU518.COB ; Cat0; 0.1221
OFCU034.COB ; Cat0; 0.1223
RTCC110.COB ; Cat0; 0.1245
NOAB565.COB ; Cat0; 0.1252
NOAB567.COB ; Cat0; 0.1252
PRCP461.COB ; Cat0; 0.1256
LITB925.COB ; Cat0; 0.1269
NOAB869.COB ; Cat0; 0.1273
NOAP011.COB ; Cat0; 0.1279
OFCP312.COB ; Cat0; 0.128
NOAU403.COB ; Cat0; 0.1284
SAEB025.COB ; Cat0; 0.1285
NOAP851.COB ; Cat0; 0.1286
LEDUT32.COB ; Cat0; 0.129
RTRB119.COB ; Cat0; 0.1291
NOAP400.COB ; Cat0; 0.1292
NOAB018.COB ; Cat0; 0.1294
RTRP111.COB ; Cat0; 0.1296
DABB105.COB ; Cat0; 0.1298
LITC507.COB ; Cat0; 0.1308
LADB140.COB ; Cat0; 0.1309
RTCU711.COB ; Cat0; 0.1311
SOPP401.COB ; Cat0; 0.1314
RTRU0W4.COB ; Cat0; 0.1316
OFCP266.COB ; Cat0; 0.1317
PRCB512.COB ; Cat0; 0.1325
PRCU018.COB ; Cat0; 0.1333
OFCP754.COB ; Cat0; 0.1341
RTRB117.COB ; Cat0; 0.1341
LITB229.COB ; Cat0; 0.1348
SEFB010.COB ; Cat0; 0.1351
RTCC114.COB ; Cat0; 0.1354
NOAP895.COB ; Cat0; 0.1355
OFCU053.COB ; Cat0; 0.1355
NOAB264.COB ; Cat0; 0.1357
OFCU036.COB ; Cat0; 0.1358
NOAU418.COB ; Cat0; 0.1369
RTCB388.COB ; Cat0; 0.1375
SOPB300.COB ; Cat0; 0.1375
NOAB852.COB ; Cat0; 0.1376
NOAB866.COB ; Cat0; 0.1388
PRCP251.COB ; Cat0; 0.139
SEFU003.COB ; Cat0; 0.1392
ALCB327.COB ; Cat0; 0.1396
ALCU014.COB ; Cat0; 0.1396
RTCU009.COB ; Cat0; 0.1402
NOAU025.COB ; Cat0; 0.1403
PRCU500.COB ; Cat0; 0.141
RTRU017.COB ; Cat0; 0.1416
ALCP337.COB ; Cat0; 0.142
OFCP752.COB ; Cat0; 0.1423
NOAU022.COB ; Cat0; 0.1428
DABU006.COB ; Cat0; 0.1432
OFCB021.COB ; Cat0; 0.1437
LEDUT33.COB ; Cat0; 0.1441
NOAP888.COB ; Cat0; 0.1444
SFRB750.COB ; Cat0; 0.145
NOAP120.COB ; Cat0; 0.1456
SDFB011.COB ; Cat0; 0.1461
SDFB037.COB ; Cat0; 0.1476
OFCB022.COB ; Cat0; 0.1478
SDFB005.COB ; Cat0; 0.1482
NOAU158.COB ; Cat0; 0.1483
PRCB875.COB ; Cat0; 0.1484
NOAP859.COB ; Cat0; 0.1485
SDFB008.COB ; Cat0; 0.1487
RTRP012.COB ; Cat0; 0.1489
SDFB002.COB ; Cat0; 0.1491
OFCB985.COB ; Cat0; 0.1492
NOAU033.COB ; Cat0; 0.1493
PRCC030.COB ; Cat0; 0.1493
OFCB292.COB ; Cat0; 0.1494
OFCU003.COB ; Cat0; 0.1505
RTRB120.COB ; Cat0; 0.1506
LITC513.COB ; Cat0; 0.1512
NOAB863.COB ; Cat0; 0.1512
OFCU026.COB ; Cat0; 0.1512
PRCP867.COB ; Cat0; 0.1524
RTCC115.COB ; Cat0; 0.1526
NOAU516.COB ; Cat0; 0.1527
DABU001.COB ; Cat0; 0.153
NOAU511.COB ; Cat0; 0.153
RTCC112.COB ; Cat0; 0.1536
RTCU029.COB ; Cat0; 0.1537
PRCC029.COB ; Cat0; 0.1538
SEFP510.COB ; Cat0; 0.1545
PRCC028.COB ; Cat0; 0.1558
ALCC024.COB ; Cat0; 0.156
PRCU014.COB ; Cat0; 0.156
LITC511.COB ; Cat0; 0.1561
OFCB385.COB ; Cat0; 0.1563
RTCC109.COB ; Cat0; 0.1567
NOAP003.COB ; Cat0; 0.1568
NOAP126.COB ; Cat0; 0.157
NOAP849.COB ; Cat0; 0.1575
ALCC065.COB ; Cat0; 0.1578
LITC504.COB ; Cat0; 0.1578
PRCB941.COB ; Cat0; 0.1578
OFCU027.COB ; Cat0; 0.1579
LITC505.COB ; Cat0; 0.1581
LITC506.COB ; Cat0; 0.1582
NOAU019.COB ; Cat0; 0.1586
RTCC103.COB ; Cat0; 0.1586
PRCB514.COB ; Cat0; 0.1589
ALCB668.COB ; Cat0; 0.1591
NOAU017.COB ; Cat0; 0.1595
SDFC010.COB ; Cat0; 0.1596
LITC502.COB ; Cat0; 0.1599
LITC503.COB ; Cat0; 0.1599
OFCB383.COB ; Cat0; 0.1599
