filename; category; exact % value
AMPP423.COB ; Cat0; 0.05
RTRU0K4.COB ; Cat0; 0.06
ALCU030.COB ; Cat0; 0.08
ALCU021.COB ; Cat0; 0.11
OFCB818.COB ; Cat0; 0.12
AMPP428.COB ; Cat0; 0.13
PRCU016.COB ; Cat0; 0.13
RTCC111.COB ; Cat0; 0.13
RTCC113.COB ; Cat0; 0.13
NOAP145.COB ; Cat0; 0.14
RTCC102.COB ; Cat0; 0.14
RTCC104.COB ; Cat0; 0.14
RTCC108.COB ; Cat0; 0.14
AMPP426.COB ; Cat0; 0.15
LITC507.COB ; Cat0; 0.15
NOAP144.COB ; Cat0; 0.15
RTCC110.COB ; Cat0; 0.15
DABU999.COB ; Cat0; 0.16
LEDB150.COB ; Cat0; 0.16
NOAB560.COB ; Cat0; 0.16
RTCC114.COB ; Cat0; 0.16
LADB150.COB ; Cat0; 0.17
LITB925.COB ; Cat0; 0.17
NOAB566.COB ; Cat0; 0.17
NOAB567.COB ; Cat0; 0.17
NOAB568.COB ; Cat0; 0.17
OFCU029.COB ; Cat0; 0.17
PRCB909.COB ; Cat0; 0.17
PRCC029.COB ; Cat0; 0.17
PRCU002.COB ; Cat0; 0.17
RTRB021.COB ; Cat0; 0.17
NOAB015.COB ; Cat0; 0.18
NOAB016.COB ; Cat0; 0.18
PRCC030.COB ; Cat0; 0.18
RTCC109.COB ; Cat0; 0.18
RTCC115.COB ; Cat0; 0.18
ALCC024.COB ; Cat0; 0.19
ALCC065.COB ; Cat0; 0.19
LITC501.COB ; Cat0; 0.19
LITC502.COB ; Cat0; 0.19
LITC503.COB ; Cat0; 0.19
LITC504.COB ; Cat0; 0.19
LITC509.COB ; Cat0; 0.19
LITC511.COB ; Cat0; 0.19
LITC513.COB ; Cat0; 0.19
NOAB565.COB ; Cat0; 0.19
NOAU478.COB ; Cat0; 0.19
OFCU039.COB ; Cat0; 0.19
PRCC010.COB ; Cat0; 0.19
PRCC028.COB ; Cat0; 0.19
PRCU019.COB ; Cat0; 0.19
RTCC011.COB ; Cat0; 0.19
RTCC101.COB ; Cat0; 0.19
RTCC103.COB ; Cat0; 0.19
RTCC105.COB ; Cat0; 0.19
RTCC112.COB ; Cat0; 0.19
RTRB011.COB ; Cat0; 0.19
RTRB017.COB ; Cat0; 0.19
RTRB031.COB ; Cat0; 0.19
RTRU003.COB ; Cat0; 0.19
SDFC010.COB ; Cat0; 0.19
DABU998.COB ; Cat0; 0.2
LITC505.COB ; Cat0; 0.2
LITC506.COB ; Cat0; 0.2
LITC510.COB ; Cat0; 0.2
NOAB017.COB ; Cat0; 0.2
RTRB001.COB ; Cat0; 0.2
RTRB010.COB ; Cat0; 0.2
RTRB016.COB ; Cat0; 0.2
RTRU006.COB ; Cat0; 0.2
ALCU254.COB ; Cat0; 0.21
NOAB562.COB ; Cat0; 0.21
OFCU037.COB ; Cat0; 0.21
OFCU047.COB ; Cat0; 0.21
OFCVC12.COB ; Cat0; 0.21
PRCC006.COB ; Cat0; 0.21
PRCP254.COB ; Cat0; 0.21
RTCU711.COB ; Cat0; 0.21
SDFC013.COB ; Cat0; 0.21
SDFU001.COB ; Cat0; 0.21
SEFU003.COB ; Cat0; 0.21
SETC001.COB ; Cat0; 0.21
ALCP701.COB ; Cat0; 0.22
ALCU050.COB ; Cat0; 0.22
NOAB020.COB ; Cat0; 0.22
NOAB264.COB ; Cat0; 0.22
OFCB452.COB ; Cat0; 0.22
OFCB460.COB ; Cat0; 0.22
PRCC013.COB ; Cat0; 0.22
PRCC034.COB ; Cat0; 0.22
PRCC036.COB ; Cat0; 0.22
RTCP621.COB ; Cat0; 0.22
RTCU009.COB ; Cat0; 0.22
RTRB014.COB ; Cat0; 0.22
RTRB024.COB ; Cat0; 0.22
SAEB025.COB ; Cat0; 0.22
SETC009.COB ; Cat0; 0.22
LEDUT31.COB ; Cat0; 0.23
LITC508.COB ; Cat0; 0.23
NOAB019.COB ; Cat0; 0.23
NOAB866.COB ; Cat0; 0.23
NOAU518.COB ; Cat0; 0.23
OFCVC06.COB ; Cat0; 0.23
PRCC002.COB ; Cat0; 0.23
PRCC004.COB ; Cat0; 0.23
PRCC009.COB ; Cat0; 0.23
PRCC022.COB ; Cat0; 0.23
PRCC053.COB ; Cat0; 0.23
PRCU500.COB ; Cat0; 0.23
RTRB002.COB ; Cat0; 0.23
RTRB015.COB ; Cat0; 0.23
RTRB027.COB ; Cat0; 0.23
SDFC003.COB ; Cat0; 0.23
SDFC014.COB ; Cat0; 0.23
SDFC015.COB ; Cat0; 0.23
SEFU004.COB ; Cat0; 0.23
SETC014.COB ; Cat0; 0.23
SETC015.COB ; Cat0; 0.23
ALCB327.COB ; Cat0; 0.24
ALCC026.COB ; Cat0; 0.24
ALCC027.COB ; Cat0; 0.24
ALCP254.COB ; Cat0; 0.24
LADB140.COB ; Cat0; 0.24
NOAB018.COB ; Cat0; 0.24
NOAB735.COB ; Cat0; 0.24
NOAP128.COB ; Cat0; 0.24
NOAU418.COB ; Cat0; 0.24
OFCU026.COB ; Cat0; 0.24
OFCU050.COB ; Cat0; 0.24
PRCC011.COB ; Cat0; 0.24
PRCC014.COB ; Cat0; 0.24
PRCP251.COB ; Cat0; 0.24
PRCS034.COB ; Cat0; 0.24
PRCU014.COB ; Cat0; 0.24
PRCU018.COB ; Cat0; 0.24
RTCU016.COB ; Cat0; 0.24
RTRB117.COB ; Cat0; 0.24
RTRU017.COB ; Cat0; 0.24
SDFC004.COB ; Cat0; 0.24
SFRC001.COB ; Cat0; 0.24
ALCC030.COB ; Cat0; 0.25
HSPU005.COB ; Cat0; 0.25
LITC512.COB ; Cat0; 0.25
NOAB852.COB ; Cat0; 0.25
NOAB869.COB ; Cat0; 0.25
NOAU158.COB ; Cat0; 0.25
NOAU403.COB ; Cat0; 0.25
NOAU701.COB ; Cat0; 0.25
NOAVN71.COB ; Cat0; 0.25
OFCU041.COB ; Cat0; 0.25
OFCVD04.COB ; Cat0; 0.25
PRCB512.COB ; Cat0; 0.25
PRCB840.COB ; Cat0; 0.25
PRCC005.COB ; Cat0; 0.25
PRCC008.COB ; Cat0; 0.25
PRCC016.COB ; Cat0; 0.25
PRCC052.COB ; Cat0; 0.25
PRCP557.COB ; Cat0; 0.25
PRCS036.COB ; Cat0; 0.25
RTCB388.COB ; Cat0; 0.25
RTCU036.COB ; Cat0; 0.25
RTCU909.COB ; Cat0; 0.25
SDFB002.COB ; Cat0; 0.25
SDFB005.COB ; Cat0; 0.25
SDFB008.COB ; Cat0; 0.25
SDFB011.COB ; Cat0; 0.25
SDFB037.COB ; Cat0; 0.25
SDFC011.COB ; Cat0; 0.25
SETC008.COB ; Cat0; 0.25
SETC016.COB ; Cat0; 0.25
ALCP252.COB ; Cat0; 0.26
ALCP256.COB ; Cat0; 0.26
ALCP333.COB ; Cat0; 0.26
CVDC006.COB ; Cat0; 0.26
DABB105.COB ; Cat0; 0.26
DABP480.COB ; Cat0; 0.26
DABU008.COB ; Cat0; 0.26
DABU023.COB ; Cat0; 0.26
LITB229.COB ; Cat0; 0.26
NOAP012.COB ; Cat0; 0.26
NOAP013.COB ; Cat0; 0.26
NOAP304.COB ; Cat0; 0.26
NOAP402.COB ; Cat0; 0.26
NOAP851.COB ; Cat0; 0.26
NOAU017.COB ; Cat0; 0.26
NOAU019.COB ; Cat0; 0.26
NOAVN74.COB ; Cat0; 0.26
OFCB021.COB ; Cat0; 0.26
OFCB022.COB ; Cat0; 0.26
OFCU031.COB ; Cat0; 0.26
OFCU046.COB ; Cat0; 0.26
PRCB875.COB ; Cat0; 0.26
PRCC015.COB ; Cat0; 0.26
PRCC023.COB ; Cat0; 0.26
PRCC035.COB ; Cat0; 0.26
PRCC037.COB ; Cat0; 0.26
RTCC014.COB ; Cat0; 0.26
RTCU012.COB ; Cat0; 0.26
RTRB119.COB ; Cat0; 0.26
RTRB120.COB ; Cat0; 0.26
RTRP112.COB ; Cat0; 0.26
RTRP113.COB ; Cat0; 0.26
SFRB750.COB ; Cat0; 0.26
SOPB300.COB ; Cat0; 0.26
ALCP246.COB ; Cat0; 0.27
ALCP337.COB ; Cat0; 0.27
ALCU014.COB ; Cat0; 0.27
ALCVF01.COB ; Cat0; 0.27
CAPVA03.COB ; Cat0; 0.27
CAPVA04.COB ; Cat0; 0.27
DABU001.COB ; Cat0; 0.27
DABU006.COB ; Cat0; 0.27
LITVA45.COB ; Cat0; 0.27
NOAB236.COB ; Cat0; 0.27
NOAB863.COB ; Cat0; 0.27
NOAP418.COB ; Cat0; 0.27
NOAP859.COB ; Cat0; 0.27
NOAS409.COB ; Cat0; 0.27
NOAU449.COB ; Cat0; 0.27
NOAU472.COB ; Cat0; 0.27
NOAU549.COB ; Cat0; 0.27
NOAVH36.COB ; Cat0; 0.27
OFCB228.COB ; Cat0; 0.27
OFCB292.COB ; Cat0; 0.27
OFCP334.COB ; Cat0; 0.27
OFCP429.COB ; Cat0; 0.27
OFCS104.COB ; Cat0; 0.27
OFCS104.COB ; Cat0; 0.27
PRCB514.COB ; Cat0; 0.27
PRCB521.COB ; Cat0; 0.27
PRCC020.COB ; Cat0; 0.27
RTCC013.COB ; Cat0; 0.27
RTCC015.COB ; Cat0; 0.27
RTCP075.COB ; Cat0; 0.27
