 0,19 ; 0,23 ;;{(0, 10): [1305, 1233], (11, 20): [728, 701], (21, 30): [488, 475], (31, 40): [200, 222], (41, 50): [143, 131], (51, 60): [64, 98], (61, 70): [37, 43], (71, 80): [37, 46], (81, 90): [8, 26], (91, 100): [4, 39]};;;;;;;;;;;
 0,40 ; 0,45 ;;Comments included;Comments excluded;;;;;;;;;;
 0,11 ; 0,13 ;;;;;;;;;;;;;
 0,46 ; 0,49 ;[0, 10];1305;1233;;;;;;;;;;
 0,07 ; 0,12 ;[11, 20];728;701;;;;;;;;;;
 0,18 ; 0,79 ;[21, 30];488;475;;;;;;;;;;
 0,24 ; 0,33 ;[31, 40];200;222;;;;;;;;;;
 0,44 ; 0,50 ;[41, 50];143;131;;;;;;;;;;
 0,44 ; 0,50 ;[51, 60];64;98;;;;;;;;;;
 0,34 ; 0,42 ;[61, 70];37;43;;;;;;;;;;
 0,22 ; 0,30 ;[71, 80];37;46;;;;;;;;;;
 0,27 ; 0,47 ;[81, 90];8;26;;;;;;;;;;
 0,13 ; 0,18 ;[91, 100];4;39;;;;;;;;;;
 0,20 ; 0,49 ;;;;;;;;;;;;;
 0,20 ; 0,49 ;;;;;;;;;;;;;
 0,55 ; 0,74 ;;;;;;;;;;;;;
 0,44 ; 0,46 ;;;;;;;;;;;;;
 0,27 ; 0,59 ;;;;;;;;;;;;;
 0,13 ; 0,13 ;;;;;;;;;;;;;
 0,10 ; 0,13 ;;;;;;;;;;;;;
 0,15 ; 0,28 ;;;;;;;;;;;;;
 0,16 ; 0,38 ;;;;;;;;;;;;;
 0,16 ; 0,24 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,04 ; 0,05 ;;;;;;;;;;;;;
 0,06 ; 0,08 ;;;;;;;;;;;;;
 0,07 ; 0,10 ;;;;;;;;;;;;;
 0,07 ; 0,10 ;;;;;;;;;;;;;
 0,13 ; 0,19 ;;;;;;;;;;;;;
 0,10 ; 0,14 ;;;;;;;;;;;;;
 0,12 ; 0,28 ;;;;;;;;;;;;;
 0,20 ; 0,25 ;;;;;;;;;;;;;
 0,42 ; 0,48 ;;;;;;;;;;;;;
 0,31 ; 0,34 ;;;;;;;;;;;;;
 0,44 ; 0,50 ;;;;;;;;;;;;;
 0,24 ; 0,28 ;;;;;;;;;;;;;
 0,46 ; 0,54 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,26 ; 0,37 ;;;;;;;;;;;;;
 0,31 ; 0,36 ;;;;;;;;;;;;;
 0,37 ; 0,42 ;;;;;;;;;;;;;
 0,35 ; 0,39 ;;;;;;;;;;;;;
 0,29 ; 0,55 ;;;;;;;;;;;;;
 0,32 ; 0,50 ;;;;;;;;;;;;;
 0,32 ; 0,36 ;;;;;;;;;;;;;
 0,59 ; 0,63 ;;;;;;;;;;;;;
 0,60 ; 0,63 ;;;;;;;;;;;;;
 0,31 ; 0,41 ;;;;;;;;;;;;;
 0,40 ; 0,72 ;;;;;;;;;;;;;
 0,13 ; 0,19 ;;;;;;;;;;;;;
 0,17 ; 0,23 ;;;;;;;;;;;;;
 0,31 ; 0,42 ;;;;;;;;;;;;;
 0,41 ; 0,56 ;;;;;;;;;;;;;
 0,11 ; 0,12 ;;;;;;;;;;;;;
 0,08 ; 0,20 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,01 ; 0,03 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,06 ; 0,10 ;;;;;;;;;;;;;
 0,05 ; 0,10 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,04 ;;;;;;;;;;;;;
 0,02 ; 0,04 ;;;;;;;;;;;;;
 0,05 ; 0,09 ;;;;;;;;;;;;;
 0,05 ; 0,09 ;;;;;;;;;;;;;
 0,04 ; 0,05 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,04 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,03 ; 0,05 ;;;;;;;;;;;;;
 0,05 ; 0,17 ;;;;;;;;;;;;;
 0,34 ; 0,55 ;;;;;;;;;;;;;
 0,16 ; 0,20 ;;;;;;;;;;;;;
 0,96 ; 0,96 ;;;;;;;;;;;;;
 0,14 ; 0,17 ;;;;;;;;;;;;;
 0,78 ; 0,78 ;;;;;;;;;;;;;
 0,18 ; 0,35 ;;;;;;;;;;;;;
 0,16 ; 0,18 ;;;;;;;;;;;;;
 0,28 ; 0,29 ;;;;;;;;;;;;;
 0,67 ; 0,67 ;;;;;;;;;;;;;
 0,07 ; 0,45 ;;;;;;;;;;;;;
 0,24 ; 0,25 ;;;;;;;;;;;;;
 0,16 ; 0,18 ;;;;;;;;;;;;;
 0,39 ; 0,44 ;;;;;;;;;;;;;
 0,21 ; 0,36 ;;;;;;;;;;;;;
 0,56 ; 0,64 ;;;;;;;;;;;;;
 0,10 ; 0,38 ;;;;;;;;;;;;;
 0,25 ; 0,43 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,25 ; 0,33 ;;;;;;;;;;;;;
 0,57 ; 0,61 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,21 ; 0,34 ;;;;;;;;;;;;;
 0,51 ; 0,51 ;;;;;;;;;;;;;
 0,40 ; 0,40 ;;;;;;;;;;;;;
 0,09 ; 0,15 ;;;;;;;;;;;;;
 0,13 ; 0,15 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,45 ; 0,52 ;;;;;;;;;;;;;
 0,30 ; 0,36 ;;;;;;;;;;;;;
 0,48 ; 0,48 ;;;;;;;;;;;;;
 0,04 ; 0,21 ;;;;;;;;;;;;;
 0,43 ; 0,43 ;;;;;;;;;;;;;
 0,45 ; 0,45 ;;;;;;;;;;;;;
 0,33 ; 0,54 ;;;;;;;;;;;;;
 0,05 ; 0,08 ;;;;;;;;;;;;;
 0,02 ; 0,08 ;;;;;;;;;;;;;
 0,02 ; 0,15 ;;;;;;;;;;;;;
 0,11 ; 0,62 ;;;;;;;;;;;;;
 0,23 ; 0,86 ;;;;;;;;;;;;;
 0,19 ; 0,63 ;;;;;;;;;;;;;
 0,24 ; 0,60 ;;;;;;;;;;;;;
 0,08 ; 0,13 ;;;;;;;;;;;;;
 0,10 ; 0,30 ;;;;;;;;;;;;;
 0,68 ; 0,81 ;;;;;;;;;;;;;
 0,32 ; 0,38 ;;;;;;;;;;;;;
 0,23 ; 0,28 ;;;;;;;;;;;;;
 0,63 ; 0,71 ;;;;;;;;;;;;;
 0,47 ; 0,93 ;;;;;;;;;;;;;
 0,04 ; 0,05 ;;;;;;;;;;;;;
 0,49 ; 0,54 ;;;;;;;;;;;;;
 0,05 ; 0,22 ;;;;;;;;;;;;;
 0,58 ; 0,73 ;;;;;;;;;;;;;
 0,36 ; 0,67 ;;;;;;;;;;;;;
 0,11 ; 0,12 ;;;;;;;;;;;;;
 1,00 ; 1,00 ;;;;;;;;;;;;;
 0,12 ; 0,13 ;;;;;;;;;;;;;
 0,08 ; 0,15 ;;;;;;;;;;;;;
 0,06 ; 0,17 ;;;;;;;;;;;;;
 0,15 ; 0,16 ;;;;;;;;;;;;;
 0,15 ; 0,24 ;;;;;;;;;;;;;
 0,09 ; 0,13 ;;;;;;;;;;;;;
 0,14 ; 0,22 ;;;;;;;;;;;;;
