filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCB018.COB ; 1523 ; 987 ; 378 ; 172; False;99 ; 58 ; 95; 56;  0; 0
ALCB025.COB ; 1205 ; 914 ; 311 ; 172; False;145 ; 82 ; 143; 82;  0; 0
ALCB044.COB ; 7678 ; 3099 ; 1298 ; 683; False;278 ; 164 ; 264; 146;  0; 0
ALCB073.COB ; 1291 ; 1070 ; 343 ; 184; False;180 ; 107 ; 174; 101;  0; 0
ALCB087.COB ; 12592 ; 3119 ; 1068 ; 689; False;360 ; 253 ; 345; 232;  0; 0
ALCB096.COB ; 2446 ; 1103 ; 382 ; 187; False;154 ; 82 ; 152; 80;  0; 0
ALCB207.COB ; 1953 ; 1431 ; 372 ; 151; False;188 ; 71 ; 186; 69;  0; 0
ALCB212.COB ; 1286 ; 959 ; 304 ; 150; False;130 ; 74 ; 130; 74;  0; 0
ALCB213.COB ; 1409 ; 1013 ; 304 ; 150; False;130 ; 74 ; 130; 74;  0; 0
ALCB216.COB ; 1126 ; 917 ; 324 ; 158; False;68 ; 40 ; 66; 36;  0; 0
ALCB229.COB ; 1267 ; 1059 ; 339 ; 153; False;158 ; 82 ; 156; 78;  0; 0
ALCB231.COB ; 1693 ; 1294 ; 404 ; 222; False;88 ; 47 ; 84; 43;  0; 0
ALCB232.COB ; 1478 ; 957 ; 309 ; 126; True;144 ; 64 ; 144; 64;  0; 0
ALCB233.COB ; 1414 ; 965 ; 349 ; 173; False;61 ; 34 ; 59; 30;  0; 0
ALCB234.COB ; 1474 ; 971 ; 349 ; 173; False;61 ; 34 ; 59; 30;  0; 0
ALCB327.COB ; 1304 ; 1122 ; 363 ; 194; False;198 ; 122 ; 191; 116;  0; 0
ALCB328.COB ; 1622 ; 1216 ; 437 ; 209; False;53 ; 34 ; 51; 32;  0; 0
ALCB332.COB ; 1748 ; 969 ; 298 ; 119; False;108 ; 53 ; 104; 50;  0; 0
ALCB343.COB ; 9294 ; 2541 ; 962 ; 550; False;186 ; 114 ; 181; 108;  0; 0
ALCB369.COB ; 2297 ; 1830 ; 662 ; 356; True;64 ; 33 ; 64; 33;  0; 0
ALCB486.COB ; 2923 ; 1776 ; 512 ; 292; False;52 ; 27 ; 50; 25;  0; 0
ALCB487.COB ; 3069 ; 1590 ; 479 ; 280; False;50 ; 27 ; 48; 25;  0; 0
ALCB506.COB ; 3804 ; 1273 ; 409 ; 189; False;108 ; 57 ; 106; 55;  0; 0
ALCB517.COB ; 13160 ; 7830 ; 3979 ; 1616; False;517 ; 333 ; 473; 275;  0; 0
ALCB527.COB ; 6463 ; 3880 ; 1654 ; 803; False;330 ; 203 ; 311; 182;  0; 0
ALCB528.COB ; 5969 ; 2576 ; 1176 ; 517; False;143 ; 69 ; 132; 57;  0; 0
ALCB530.COB ; 6590 ; 2369 ; 918 ; 430; False;467 ; 269 ; 457; 262;  0; 0
ALCB541.COB ; 6572 ; 2383 ; 873 ; 404; False;241 ; 135 ; 233; 126;  0; 0
ALCB576.COB ; 3646 ; 1381 ; 400 ; 226; False;163 ; 101 ; 155; 95;  0; 0
ALCB581.COB ; 5979 ; 3959 ; 1179 ; 641; False;215 ; 129 ; 201; 118;  0; 0
ALCB582.COB ; 5375 ; 3096 ; 898 ; 493; False;49 ; 44 ; 43; 40;  0; 0
ALCB583.COB ; 5648 ; 3084 ; 909 ; 481; False;151 ; 91 ; 145; 87;  0; 0
ALCB584.COB ; 2254 ; 1560 ; 318 ; 158; True;130 ; 74 ; 130; 74;  0; 0
ALCB585.COB ; 2873 ; 1981 ; 422 ; 222; False;138 ; 76 ; 135; 74;  0; 0
ALCB587.COB ; 1228 ; 952 ; 304 ; 150; True;130 ; 74 ; 130; 74;  0; 0
ALCB611.COB ; 1919 ; 1340 ; 460 ; 254; False;10 ; 7 ; 8; 5;  0; 0
