mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V1\ALCB018.COB;1523;0,175249374;1340,906656;
T; raincodeData/Delivery/V1\ALCB025.COB;1205;0,133049858;;
T; raincodeData/Delivery/V1\ALCB044.COB;7678;1,138676882;;
T; raincodeData/Delivery/V1\ALCB073.COB;1291;0,137902999;;
T; raincodeData/Delivery/V1\ALCB087.COB;12592;1,742306066;;
T; raincodeData/Delivery/V1\ALCB096.COB;2446;0,272829938;;
T; raincodeData/Delivery/V1\ALCB207.COB;1953;0,210953808;;
T; raincodeData/Delivery/V1\ALCB212.COB;1286;0,142795396;;
T; raincodeData/Delivery/V1\ALCB213.COB;1409;0,163885045;;
T; raincodeData/Delivery/V1\ALCB216.COB;1126;0,127328205;;
T; raincodeData/Delivery/V1\ALCB229.COB;1267;0,135447025;;
T; raincodeData/Delivery/V1\ALCB231.COB;1693;0,200094676;;
T; raincodeData/Delivery/V1\ALCB232.COB;1478;0,176901519;;
T; raincodeData/Delivery/V1\ALCB233.COB;1414;0,178059804;;
T; raincodeData/Delivery/V1\ALCB234.COB;1474;0,196972823;;
T; raincodeData/Delivery/V1\ALCB327.COB;1304;0,154347587;;
T; raincodeData/Delivery/V1\ALCB328.COB;1622;0,195313251;;
T; raincodeData/Delivery/V1\ALCB332.COB;1748;0,216013348;;
T; raincodeData/Delivery/V1\ALCB343.COB;9294;1,140044641;;
T; raincodeData/Delivery/V1\ALCB369.COB;2297;0,272550118;;
T; raincodeData/Delivery/V1\ALCB486.COB;2923;0,345001757;;
T; raincodeData/Delivery/V1\ALCB487.COB;3069;0,355553603;;
T; raincodeData/Delivery/V1\ALCB506.COB;3804;0,451957262;;
T; raincodeData/Delivery/V1\ALCB517.COB;13160;3,151875508;;
T; raincodeData/Delivery/V1\ALCB527.COB;6463;1,188954329;;
T; raincodeData/Delivery/V1\ALCB528.COB;5969;0,887344182;;
T; raincodeData/Delivery/V1\ALCB530.COB;6590;0,904536736;;
T; raincodeData/Delivery/V1\ALCB541.COB;6572;0,805069268;;
T; raincodeData/Delivery/V1\ALCB576.COB;3646;0,433482862;;
T; raincodeData/Delivery/V1\ALCB581.COB;5979;0,86996733;;
T; raincodeData/Delivery/V1\ALCB582.COB;5375;0,741179895;;
T; raincodeData/Delivery/V1\ALCB583.COB;5648;0,723527968;;
T; raincodeData/Delivery/V1\ALCB584.COB;2254;0,264751935;;
T; raincodeData/Delivery/V1\ALCB585.COB;2873;0,356448293;;
T; raincodeData/Delivery/V1\ALCB587.COB;1228;0,133255899;;
T; raincodeData/Delivery/V1\ALCB611.COB;1919;0,236502111;;
T; raincodeData/Delivery/V1\ALCB617.COB;2069;0,259349835;;
T; raincodeData/Delivery/V1\ALCB618.COB;1700;0,208749866;;
T; raincodeData/Delivery/V1\ALCB619.COB;1700;0,20685004;;
T; raincodeData/Delivery/V1\ALCB625.COB;4072;0,537549877;;
T; raincodeData/Delivery/V1\ALCB648.COB;2605;0,307900369;;
T; raincodeData/Delivery/V1\ALCB649.COB;1808;0,206349635;;
T; raincodeData/Delivery/V1\ALCB653.COB;2348;0,28940171;;
T; raincodeData/Delivery/V1\ALCB654.COB;4321;0,589250815;;
T; raincodeData/Delivery/V1\ALCB655.COB;4352;0,575701797;;
T; raincodeData/Delivery/V1\ALCB659.COB;1690;0,210604525;;
T; raincodeData/Delivery/V1\ALCB660.COB;1829;0,226503718;;
T; raincodeData/Delivery/V1\ALCB661.COB;3782;0,511800671;;
T; raincodeData/Delivery/V1\ALCB665.COB;3327;0,407303834;;
T; raincodeData/Delivery/V1\ALCB668.COB;1075;0,116460347;;
T; raincodeData/Delivery/V1\ALCB682.COB;3320;0,392232919;;
T; raincodeData/Delivery/V1\ALCB683.COB;2620;0,302099752;;
T; raincodeData/Delivery/V1\ALCB751.COB;1532;0,163099813;;
T; raincodeData/Delivery/V1\ALCB756.COB;1983;0,198199797;;
T; raincodeData/Delivery/V1\ALCB937.COB;8697;1,262371314;;
T; raincodeData/Delivery/V1\ALCB997.COB;4788;0,574858916;;
T; raincodeData/Delivery/V1\ALCC024.COB;3269;0,608559489;;
T; raincodeData/Delivery/V1\ALCC025.COB;2186;0,29595145;;
T; raincodeData/Delivery/V1\ALCC026.COB;3218;0,578403497;;
T; raincodeData/Delivery/V1\ALCC027.COB;3252;0,579649675;;
T; raincodeData/Delivery/V1\ALCC028.COB;2175;0,291603088;;
T; raincodeData/Delivery/V1\ALCC029.COB;2062;0,269430232;;
T; raincodeData/Delivery/V1\ALCC030.COB;2910;0,50460391;;
T; raincodeData/Delivery/V1\ALCC031.COB;1962;0,258049679;;
T; raincodeData/Delivery/V1\ALCC032.COB;2532;0,380900037;;
T; raincodeData/Delivery/V1\ALCC048.COB;2097;0,272800004;;
T; raincodeData/Delivery/V1\ALCC049.COB;2191;0,292350078;;
T; raincodeData/Delivery/V1\ALCC065.COB;2757;0,494999754;;
T; raincodeData/Delivery/V1\ALCC066.COB;3860;0,753292668;;
T; raincodeData/Delivery/V1\ALCC067.COB;2078;0,275516629;;
T; raincodeData/Delivery/V1\ALCC068.COB;2198;0,297442997;;
T; raincodeData/Delivery/V1\ALCC070.COB;2260;0,317162812;;
T; raincodeData/Delivery/V1\ALCC200.COB;1726;0,221205699;;
T; raincodeData/Delivery/V1\ALCP021.COB;4767;0,586597848;;
T; raincodeData/Delivery/V1\ALCP022.COB;2269;0,242006874;;
T; raincodeData/Delivery/V1\ALCP023.COB;547;0,052399933;;
T; raincodeData/Delivery/V1\ALCP040.COB;3860;0,436152983;;
T; raincodeData/Delivery/V1\ALCP041.COB;879;0,098100591;;
T; raincodeData/Delivery/V1\ALCP042.COB;4071;0,461657202;;
T; raincodeData/Delivery/V1\ALCP052.COB;2199;0,258050263;;
T; raincodeData/Delivery/V1\ALCP070.COB;2933;0,353304493;;
T; raincodeData/Delivery/V1\ALCP071.COB;996;0,096390665;;
T; raincodeData/Delivery/V1\ALCP072.COB;3668;0,440517485;;
T; raincodeData/Delivery/V1\ALCP076.COB;3196;0,406600416;;
T; raincodeData/Delivery/V1\ALCP077.COB;5308;0,644994748;;
T; raincodeData/Delivery/V1\ALCP078.COB;1016;0,1098436;;
T; raincodeData/Delivery/V1\ALCP079.COB;1889;0,214702165;;
T; raincodeData/Delivery/V1\ALCP080.COB;1361;0,17137996;;
T; raincodeData/Delivery/V1\ALCP081.COB;2955;0,379462051;;
T; raincodeData/Delivery/V1\ALCP082.COB;2554;0,3068048;;
T; raincodeData/Delivery/V1\ALCP083.COB;5607;0,963729429;;
T; raincodeData/Delivery/V1\ALCP084.COB;3690;0,435966909;;
T; raincodeData/Delivery/V1\ALCP089.COB;1778;0,19064225;;
T; raincodeData/Delivery/V1\ALCP090.COB;7835;1,364712882;;
T; raincodeData/Delivery/V1\ALCP091.COB;3476;0,419549847;;
T; raincodeData/Delivery/V1\ALCP094.COB;2022;0,238149738;;
T; raincodeData/Delivery/V1\ALCP095.COB;1159;0,138450003;;
T; raincodeData/Delivery/V1\ALCP097.COB;2708;0,329829443;;
T; raincodeData/Delivery/V1\ALCP120.COB;1791;0,202806008;;
T; raincodeData/Delivery/V1\ALCP201.COB;8665;1,902036047;;
T; raincodeData/Delivery/V1\ALCP202.COB;1512;0,196999896;;
T; raincodeData/Delivery/V1\ALCP206.COB;1638;0,204835856;;
T; raincodeData/Delivery/V1\ALCP208.COB;2097;0,29509449;;
T; raincodeData/Delivery/V1\ALCP209.COB;3053;0,454577672;;
T; raincodeData/Delivery/V1\ALCP215.COB;1075;0,136650085;;
T; raincodeData/Delivery/V1\ALCP218.COB;1579;0,202653778;;
T; raincodeData/Delivery/V1\ALCP221.COB;828;0,095399714;;
T; raincodeData/Delivery/V1\ALCP242.COB;4170;0,589013028;;
T; raincodeData/Delivery/V1\ALCP243.COB;4163;0,577149093;;
T; raincodeData/Delivery/V1\ALCP244.COB;7357;1,222683179;;
T; raincodeData/Delivery/V1\ALCP246.COB;1509;0,228189874;;
T; raincodeData/Delivery/V1\ALCP247.COB;643;0,072346556;;
T; raincodeData/Delivery/V1\ALCP250.COB;1339;0,149143696;;
T; raincodeData/Delivery/V1\ALCP252.COB;1496;0,223971629;;
T; raincodeData/Delivery/V1\ALCP254.COB;1896;0,338149703;;
T; raincodeData/Delivery/V1\ALCP256.COB;1589;0,251399899;;
T; raincodeData/Delivery/V1\ALCP259.COB;604;0,066250014;;
T; raincodeData/Delivery/V1\ALCP262.COB;1329;0,151549709;;
T; raincodeData/Delivery/V1\ALCP263.COB;1880;0,237250125;;
T; raincodeData/Delivery/V1\ALCP264.COB;458;0,043449855;;
T; raincodeData/Delivery/V1\ALCP298.COB;837;0,090549862;;
T; raincodeData/Delivery/V1\ALCP306.COB;5764;0,818299818;;
T; raincodeData/Delivery/V1\ALCP325.COB;2074;0,240954924;;
T; raincodeData/Delivery/V1\ALCP326.COB;1796;0,221855235;;
T; raincodeData/Delivery/V1\ALCP331.COB;1678;0,187899637;;
T; raincodeData/Delivery/V1\ALCP333.COB;502;0,04857651;;
T; raincodeData/Delivery/V1\ALCP335.COB;2174;0,265575862;;
T; raincodeData/Delivery/V1\ALCP336.COB;408;0,036500156;;
T; raincodeData/Delivery/V1\ALCP337.COB;1218;0,117600334;;
T; raincodeData/Delivery/V1\ALCP342.COB;7746;1,352471244;;
T; raincodeData/Delivery/V1\ALCP345.COB;3213;0,37272954;;
T; raincodeData/Delivery/V1\ALCP420.COB;3673;0,439626086;;
T; raincodeData/Delivery/V1\ALCP421.COB;951;0,103733051;;
T; raincodeData/Delivery/V1\ALCP422.COB;1528;0,185555792;;
T; raincodeData/Delivery/V1\ALCP423.COB;2538;0,291484153;;
T; raincodeData/Delivery/V1\ALCP424.COB;846;0,092657793;;
T; raincodeData/Delivery/V1\ALCP425.COB;1136;0,140779781;;
T; raincodeData/Delivery/V1\ALCP470.COB;2494;0,296268094;;
T; raincodeData/Delivery/V1\ALCP500.COB;5124;0,707451451;;
T; raincodeData/Delivery/V1\ALCP502.COB;6183;0,81750077;;
T; raincodeData/Delivery/V1\ALCP504.COB;6370;0,854002321;;
T; raincodeData/Delivery/V1\ALCP505.COB;601;0,060375643;;
T; raincodeData/Delivery/V1\ALCP519.COB;6619;1,016768301;;
T; raincodeData/Delivery/V1\ALCP520.COB;5343;0,638115501;;
T; raincodeData/Delivery/V1\ALCP540.COB;8943;1,598305023;;
T; raincodeData/Delivery/V1\ALCP542.COB;6527;0,761283565;;
T; raincodeData/Delivery/V1\ALCP543.COB;1232;0,141149771;;
T; raincodeData/Delivery/V1\ALCP544.COB;1349;0,148152947;;
T; raincodeData/Delivery/V1\ALCP545.COB;564;0,056251502;;
T; raincodeData/Delivery/V1\ALCP550.COB;2291;0,251809418;;
T; raincodeData/Delivery/V1\ALCP551.COB;874;0,08754971;;
T; raincodeData/Delivery/V1\ALCP552.COB;743;0,076625192;;
T; raincodeData/Delivery/V1\ALCP558.COB;1435;0,166369677;;
T; raincodeData/Delivery/V1\ALCP559.COB;1262;0,161645138;;
T; raincodeData/Delivery/V1\ALCP570.COB;2328;0,264722443;;
T; raincodeData/Delivery/V1\ALCP571.COB;1796;0,202257693;;
T; raincodeData/Delivery/V1\ALCP575.COB;3913;0,427957451;;
T; raincodeData/Delivery/V1\ALCP577.COB;6937;1,066855216;;
