mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V2\ALCB018.COB;987;0,02775569;276,7887143;
T; raincodeData/Delivery/V2\ALCB025.COB;914;0,029908073;;
T; raincodeData/Delivery/V2\ALCB044.COB;3099;0,147607005;;
T; raincodeData/Delivery/V2\ALCB073.COB;1070;0,036302352;;
T; raincodeData/Delivery/V2\ALCB087.COB;3119;0,157868111;;
T; raincodeData/Delivery/V2\ALCB096.COB;1103;0,036942184;;
T; raincodeData/Delivery/V2\ALCB207.COB;1431;0,04442246;;
T; raincodeData/Delivery/V2\ALCB212.COB;959;0,029464102;;
T; raincodeData/Delivery/V2\ALCB213.COB;1013;0,029898179;;
T; raincodeData/Delivery/V2\ALCB216.COB;917;0,029999924;;
T; raincodeData/Delivery/V2\ALCB229.COB;1059;0,03244983;;
T; raincodeData/Delivery/V2\ALCB231.COB;1294;0,045054328;;
T; raincodeData/Delivery/V2\ALCB232.COB;957;0,026678443;;
T; raincodeData/Delivery/V2\ALCB233.COB;965;0,03063755;;
T; raincodeData/Delivery/V2\ALCB234.COB;971;0,029846549;;
T; raincodeData/Delivery/V2\ALCB327.COB;1122;0,039827728;;
T; raincodeData/Delivery/V2\ALCB328.COB;1216;0,038643527;;
T; raincodeData/Delivery/V2\ALCB332.COB;969;0,030337548;;
T; raincodeData/Delivery/V2\ALCB343.COB;2541;0,101925111;;
T; raincodeData/Delivery/V2\ALCB369.COB;1830;0,063850021;;
T; raincodeData/Delivery/V2\ALCB486.COB;1776;0,05755018;;
T; raincodeData/Delivery/V2\ALCB487.COB;1590;0,051455426;;
T; raincodeData/Delivery/V2\ALCB506.COB;1273;0,037049663;;
T; raincodeData/Delivery/V2\ALCB517.COB;7830;0,665350413;;
T; raincodeData/Delivery/V2\ALCB527.COB;3880;0,21334939;;
T; raincodeData/Delivery/V2\ALCB528.COB;2576;0,115211451;;
T; raincodeData/Delivery/V2\ALCB530.COB;2369;0,094256198;;
T; raincodeData/Delivery/V2\ALCB541.COB;2383;0,094001293;;
T; raincodeData/Delivery/V2\ALCB576.COB;1381;0,04542979;;
T; raincodeData/Delivery/V2\ALCB581.COB;3959;0,174205291;;
T; raincodeData/Delivery/V2\ALCB582.COB;3096;0,12153616;;
T; raincodeData/Delivery/V2\ALCB583.COB;3084;0,114567411;;
T; raincodeData/Delivery/V2\ALCB584.COB;1560;0,045179963;;
T; raincodeData/Delivery/V2\ALCB585.COB;1981;0,058175111;;
T; raincodeData/Delivery/V2\ALCB587.COB;952;0,029296124;;
T; raincodeData/Delivery/V2\ALCB611.COB;1340;0,044603348;;
T; raincodeData/Delivery/V2\ALCB617.COB;1141;0,035406613;;
T; raincodeData/Delivery/V2\ALCB618.COB;1133;0,036559999;;
T; raincodeData/Delivery/V2\ALCB619.COB;1133;0,035500205;;
T; raincodeData/Delivery/V2\ALCB625.COB;1388;0,044415116;;
T; raincodeData/Delivery/V2\ALCB648.COB;1286;0,043359852;;
T; raincodeData/Delivery/V2\ALCB649.COB;1111;0,037259281;;
T; raincodeData/Delivery/V2\ALCB653.COB;1000;0,031241548;;
T; raincodeData/Delivery/V2\ALCB654.COB;1170;0,03513;;
T; raincodeData/Delivery/V2\ALCB655.COB;1228;0,038751376;;
T; raincodeData/Delivery/V2\ALCB659.COB;979;0,032352185;;
T; raincodeData/Delivery/V2\ALCB660.COB;989;0,030850375;;
T; raincodeData/Delivery/V2\ALCB661.COB;975;0,030056238;;
T; raincodeData/Delivery/V2\ALCB665.COB;2000;0,07054404;;
T; raincodeData/Delivery/V2\ALCB668.COB;904;0,027749777;;
T; raincodeData/Delivery/V2\ALCB682.COB;2048;0,069900179;;
T; raincodeData/Delivery/V2\ALCB683.COB;1683;0,050950193;;
T; raincodeData/Delivery/V2\ALCB751.COB;794;0,024449897;;
T; raincodeData/Delivery/V2\ALCB756.COB;1226;0,032349956;;
T; raincodeData/Delivery/V2\ALCB937.COB;4148;0,150082946;;
T; raincodeData/Delivery/V2\ALCB997.COB;3216;0,115187418;;
T; raincodeData/Delivery/V2\ALCC024.COB;2759;0,165505564;;
T; raincodeData/Delivery/V2\ALCC025.COB;1585;0,062073624;;
T; raincodeData/Delivery/V2\ALCC026.COB;2608;0,146827638;;
T; raincodeData/Delivery/V2\ALCC027.COB;2628;0,148093498;;
T; raincodeData/Delivery/V2\ALCC028.COB;1603;0,059188807;;
T; raincodeData/Delivery/V2\ALCC029.COB;1507;0,056519604;;
T; raincodeData/Delivery/V2\ALCC030.COB;2324;0,121372962;;
T; raincodeData/Delivery/V2\ALCC031.COB;1446;0,054390371;;
T; raincodeData/Delivery/V2\ALCC032.COB;1962;0,093097591;;
T; raincodeData/Delivery/V2\ALCC048.COB;1518;0,0562832;;
T; raincodeData/Delivery/V2\ALCC049.COB;1565;0,057594872;;
T; raincodeData/Delivery/V2\ALCC065.COB;2322;0,120311105;;
T; raincodeData/Delivery/V2\ALCC066.COB;2695;0,17800802;;
T; raincodeData/Delivery/V2\ALCC067.COB;1526;0,061706161;;
T; raincodeData/Delivery/V2\ALCC068.COB;1564;0,060860598;;
T; raincodeData/Delivery/V2\ALCC070.COB;1705;0,071453655;;
T; raincodeData/Delivery/V2\ALCC200.COB;1170;0,041444409;;
T; raincodeData/Delivery/V2\ALCP021.COB;2325;0,069359207;;
T; raincodeData/Delivery/V2\ALCP022.COB;798;0,02340008;;
T; raincodeData/Delivery/V2\ALCP023.COB;425;0,013761687;;
T; raincodeData/Delivery/V2\ALCP040.COB;880;0,027898407;;
T; raincodeData/Delivery/V2\ALCP041.COB;608;0,018841732;;
T; raincodeData/Delivery/V2\ALCP042.COB;929;0,028919637;;
T; raincodeData/Delivery/V2\ALCP052.COB;1168;0,038104939;;
T; raincodeData/Delivery/V2\ALCP070.COB;1101;0,034909713;;
T; raincodeData/Delivery/V2\ALCP071.COB;712;0,021360803;;
T; raincodeData/Delivery/V2\ALCP072.COB;1107;0,036907876;;
T; raincodeData/Delivery/V2\ALCP076.COB;1820;0,069009471;;
T; raincodeData/Delivery/V2\ALCP077.COB;1902;0,07520864;;
T; raincodeData/Delivery/V2\ALCP078.COB;723;0,023129869;;
T; raincodeData/Delivery/V2\ALCP079.COB;1241;0,042411637;;
T; raincodeData/Delivery/V2\ALCP080.COB;553;0,017657661;;
T; raincodeData/Delivery/V2\ALCP081.COB;1471;0,052711535;;
T; raincodeData/Delivery/V2\ALCP082.COB;935;0,029271257;;
T; raincodeData/Delivery/V2\ALCP083.COB;3020;0,181297922;;
