mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V1\ALCB018.COB;1523;0,205218589;1456,247734;
T; raincodeData/Delivery/V1\ALCB025.COB;1205;0,148317039;;
T; raincodeData/Delivery/V1\ALCB044.COB;7678;1,298898864;;
T; raincodeData/Delivery/V1\ALCB073.COB;1291;0,156619549;;
T; raincodeData/Delivery/V1\ALCB087.COB;12592;2,039790702;;
T; raincodeData/Delivery/V1\ALCB096.COB;2446;0,307264245;;
T; raincodeData/Delivery/V1\ALCB207.COB;1953;0,249849498;;
T; raincodeData/Delivery/V1\ALCB212.COB;1286;0,167749929;;
T; raincodeData/Delivery/V1\ALCB213.COB;1409;0,185449886;;
T; raincodeData/Delivery/V1\ALCB216.COB;1126;0,147899997;;
T; raincodeData/Delivery/V1\ALCB229.COB;1267;0,153649914;;
T; raincodeData/Delivery/V1\ALCB231.COB;1693;0,236550212;;
T; raincodeData/Delivery/V1\ALCB232.COB;1478;0,203549731;;
T; raincodeData/Delivery/V1\ALCB233.COB;1414;0,20055002;;
T; raincodeData/Delivery/V1\ALCB234.COB;1474;0,210776913;;
T; raincodeData/Delivery/V1\ALCB327.COB;1304;0,170259273;;
T; raincodeData/Delivery/V1\ALCB328.COB;1622;0,226731706;;
T; raincodeData/Delivery/V1\ALCB332.COB;1748;0,244049859;;
T; raincodeData/Delivery/V1\ALCB343.COB;9294;1,305996537;;
T; raincodeData/Delivery/V1\ALCB369.COB;2297;0,318097031;;
T; raincodeData/Delivery/V1\ALCB486.COB;2923;0,391281772;;
T; raincodeData/Delivery/V1\ALCB487.COB;3069;0,405472934;;
T; raincodeData/Delivery/V1\ALCB506.COB;3804;0,517153478;;
T; raincodeData/Delivery/V1\ALCB517.COB;13160;3,661852562;;
T; raincodeData/Delivery/V1\ALCB527.COB;6463;1,387257159;;
T; raincodeData/Delivery/V1\ALCB528.COB;5969;1,036499667;;
T; raincodeData/Delivery/V1\ALCB530.COB;6590;1,074234557;;
T; raincodeData/Delivery/V1\ALCB541.COB;6572;0,944400072;;
T; raincodeData/Delivery/V1\ALCB576.COB;3646;0,507574582;;
T; raincodeData/Delivery/V1\ALCB581.COB;5979;0,980472887;;
T; raincodeData/Delivery/V1\ALCB582.COB;5375;0,850800061;;
T; raincodeData/Delivery/V1\ALCB583.COB;5648;0,862730658;;
T; raincodeData/Delivery/V1\ALCB584.COB;2254;0,311149991;;
T; raincodeData/Delivery/V1\ALCB585.COB;2873;0,41070137;;
T; raincodeData/Delivery/V1\ALCB587.COB;1228;0,159984589;;
T; raincodeData/Delivery/V1\ALCB611.COB;1919;0,280893135;;
T; raincodeData/Delivery/V1\ALCB617.COB;2069;0,307629013;;
T; raincodeData/Delivery/V1\ALCB618.COB;1700;0,251013017;;
T; raincodeData/Delivery/V1\ALCB619.COB;1700;0,245080686;;
T; raincodeData/Delivery/V1\ALCB625.COB;4072;0,637239337;;
T; raincodeData/Delivery/V1\ALCB648.COB;2605;0,349642217;;
T; raincodeData/Delivery/V1\ALCB649.COB;1808;0,235816443;;
T; raincodeData/Delivery/V1\ALCB653.COB;2348;0,333559716;;
T; raincodeData/Delivery/V1\ALCB654.COB;4321;0,672957778;;
T; raincodeData/Delivery/V1\ALCB655.COB;4352;0,677140582;;
T; raincodeData/Delivery/V1\ALCB659.COB;1690;0,245050061;;
T; raincodeData/Delivery/V1\ALCB660.COB;1829;0,265349674;;
T; raincodeData/Delivery/V1\ALCB661.COB;3782;0,584252691;;
T; raincodeData/Delivery/V1\ALCB665.COB;3327;0,482503819;;
T; raincodeData/Delivery/V1\ALCB668.COB;1075;0,137645531;;
T; raincodeData/Delivery/V1\ALCB682.COB;3320;0,457823384;;
T; raincodeData/Delivery/V1\ALCB683.COB;2620;0,349957585;;
T; raincodeData/Delivery/V1\ALCB751.COB;1532;0,189399827;;
T; raincodeData/Delivery/V1\ALCB756.COB;1983;0,235348809;;
T; raincodeData/Delivery/V1\ALCB937.COB;8697;1,393857706;;
T; raincodeData/Delivery/V1\ALCB997.COB;4788;0,658956409;;
T; raincodeData/Delivery/V1\ALCC024.COB;3269;0,697522759;;
T; raincodeData/Delivery/V1\ALCC025.COB;2186;0,339675498;;
T; raincodeData/Delivery/V1\ALCC026.COB;3218;0,672006953;;
T; raincodeData/Delivery/V1\ALCC027.COB;3252;0,670949924;;
T; raincodeData/Delivery/V1\ALCC028.COB;2175;0,342905283;;
T; raincodeData/Delivery/V1\ALCC029.COB;2062;0,313849986;;
T; raincodeData/Delivery/V1\ALCC030.COB;2910;0,565625191;;
T; raincodeData/Delivery/V1\ALCC031.COB;1962;0,296552157;;
T; raincodeData/Delivery/V1\ALCC032.COB;2532;0,446639526;;
T; raincodeData/Delivery/V1\ALCC048.COB;2097;0,326530635;;
T; raincodeData/Delivery/V1\ALCC049.COB;2191;0,338509142;;
T; raincodeData/Delivery/V1\ALCC065.COB;2757;0,572352743;;
T; raincodeData/Delivery/V1\ALCC066.COB;3860;0,870592856;;
T; raincodeData/Delivery/V1\ALCC067.COB;2078;0,324909508;;
T; raincodeData/Delivery/V1\ALCC068.COB;2198;0,342343545;;
T; raincodeData/Delivery/V1\ALCC070.COB;2260;0,370851016;;
T; raincodeData/Delivery/V1\ALCC200.COB;1726;0,256449282;;
T; raincodeData/Delivery/V1\ALCP021.COB;4767;0,675735927;;
T; raincodeData/Delivery/V1\ALCP022.COB;2269;0,286704993;;
T; raincodeData/Delivery/V1\ALCP023.COB;547;0,058919299;;
T; raincodeData/Delivery/V1\ALCP040.COB;3860;0,519628799;;
T; raincodeData/Delivery/V1\ALCP041.COB;879;0,116034472;;
T; raincodeData/Delivery/V1\ALCP042.COB;4071;0,543201888;;
T; raincodeData/Delivery/V1\ALCP052.COB;2199;0,300239468;;
T; raincodeData/Delivery/V1\ALCP070.COB;2933;0,423220038;;
T; raincodeData/Delivery/V1\ALCP071.COB;996;0,118157578;;
T; raincodeData/Delivery/V1\ALCP072.COB;3668;0,514467835;;
T; raincodeData/Delivery/V1\ALCP076.COB;3196;0,488620234;;
T; raincodeData/Delivery/V1\ALCP077.COB;5308;0,756214178;;
T; raincodeData/Delivery/V1\ALCP078.COB;1016;0,131849873;;
T; raincodeData/Delivery/V1\ALCP079.COB;1889;0,247601604;;
T; raincodeData/Delivery/V1\ALCP080.COB;1361;0,198652923;;
T; raincodeData/Delivery/V1\ALCP081.COB;2955;0,426602769;;
T; raincodeData/Delivery/V1\ALCP082.COB;2554;0,354353452;;
T; raincodeData/Delivery/V1\ALCP083.COB;5607;1,070672452;;
T; raincodeData/Delivery/V1\ALCP084.COB;3690;0,510885441;;
T; raincodeData/Delivery/V1\ALCP089.COB;1778;0,21720351;;
T; raincodeData/Delivery/V1\ALCP090.COB;7835;1,576253915;;
T; raincodeData/Delivery/V1\ALCP091.COB;3476;0,488700056;;
T; raincodeData/Delivery/V1\ALCP094.COB;2022;0,272645557;;
T; raincodeData/Delivery/V1\ALCP095.COB;1159;0,155649626;;
T; raincodeData/Delivery/V1\ALCP097.COB;2708;0,373346388;;
T; raincodeData/Delivery/V1\ALCP120.COB;1791;0,237699819;;
T; raincodeData/Delivery/V1\ALCP201.COB;8665;2,128820646;;
T; raincodeData/Delivery/V1\ALCP202.COB;1512;0,212706947;;
T; raincodeData/Delivery/V1\ALCP206.COB;1638;0,218056428;;
T; raincodeData/Delivery/V1\ALCP208.COB;2097;0,300639772;;
T; raincodeData/Delivery/V1\ALCP209.COB;3053;0,485171115;;
T; raincodeData/Delivery/V1\ALCP215.COB;1075;0,145578575;;
T; raincodeData/Delivery/V1\ALCP218.COB;1579;0,210082579;;
T; raincodeData/Delivery/V1\ALCP221.COB;828;0,097399747;;
T; raincodeData/Delivery/V1\ALCP242.COB;4170;0,588062036;;
T; raincodeData/Delivery/V1\ALCP243.COB;4163;0,615022004;;
T; raincodeData/Delivery/V1\ALCP244.COB;7357;1,277363193;;
T; raincodeData/Delivery/V1\ALCP246.COB;1509;0,234614885;;
T; raincodeData/Delivery/V1\ALCP247.COB;643;0,077694094;;
T; raincodeData/Delivery/V1\ALCP250.COB;1339;0,167705488;;
T; raincodeData/Delivery/V1\ALCP252.COB;1496;0,237443793;;
T; raincodeData/Delivery/V1\ALCP254.COB;1896;0,363538051;;
T; raincodeData/Delivery/V1\ALCP256.COB;1589;0,26943171;;
T; raincodeData/Delivery/V1\ALCP259.COB;604;0,073541164;;
T; raincodeData/Delivery/V1\ALCP262.COB;1329;0,16351527;;
T; raincodeData/Delivery/V1\ALCP263.COB;1880;0,259173167;;
T; raincodeData/Delivery/V1\ALCP264.COB;458;0,051049936;;
T; raincodeData/Delivery/V1\ALCP298.COB;837;0,102880871;;
T; raincodeData/Delivery/V1\ALCP306.COB;5764;0,938615882;;
T; raincodeData/Delivery/V1\ALCP325.COB;2074;0,291672266;;
T; raincodeData/Delivery/V1\ALCP326.COB;1796;0,259214413;;
T; raincodeData/Delivery/V1\ALCP331.COB;1678;0,217449546;;
T; raincodeData/Delivery/V1\ALCP333.COB;502;0,05539993;;
T; raincodeData/Delivery/V1\ALCP335.COB;2174;0,303000319;;
T; raincodeData/Delivery/V1\ALCP336.COB;408;0,042799282;;
T; raincodeData/Delivery/V1\ALCP337.COB;1218;0,135263085;;
T; raincodeData/Delivery/V1\ALCP342.COB;7746;1,529016113;;
T; raincodeData/Delivery/V1\ALCP345.COB;3213;0,421090662;;
T; raincodeData/Delivery/V1\ALCP420.COB;3673;0,512740231;;
T; raincodeData/Delivery/V1\ALCP421.COB;951;0,123018169;;
T; raincodeData/Delivery/V1\ALCP422.COB;1528;0,218995774;;
T; raincodeData/Delivery/V1\ALCP423.COB;2538;0,3339432;;
T; raincodeData/Delivery/V1\ALCP424.COB;846;0,111051571;;
T; raincodeData/Delivery/V1\ALCP425.COB;1136;0,165493357;;
T; raincodeData/Delivery/V1\ALCP470.COB;2494;0,354276216;;
T; raincodeData/Delivery/V1\ALCP500.COB;5124;0,81571846;;
T; raincodeData/Delivery/V1\ALCP502.COB;6183;0,930171323;;
T; raincodeData/Delivery/V1\ALCP504.COB;6370;1,000142598;;
T; raincodeData/Delivery/V1\ALCP505.COB;601;0,070249534;;
T; raincodeData/Delivery/V1\ALCP519.COB;6619;1,178166151;;
T; raincodeData/Delivery/V1\ALCP520.COB;5343;0,737205458;;
T; raincodeData/Delivery/V1\ALCP540.COB;8943;1,834825122;;
T; raincodeData/Delivery/V1\ALCP542.COB;6527;0,900077939;;
T; raincodeData/Delivery/V1\ALCP543.COB;1232;0,169341099;;
T; raincodeData/Delivery/V1\ALCP544.COB;1349;0,177488828;;
T; raincodeData/Delivery/V1\ALCP545.COB;564;0,065153825;;
T; raincodeData/Delivery/V1\ALCP550.COB;2291;0,300072801;;
T; raincodeData/Delivery/V1\ALCP551.COB;874;0,10369972;;
T; raincodeData/Delivery/V1\ALCP552.COB;743;0,089950073;;
T; raincodeData/Delivery/V1\ALCP558.COB;1435;0,198937058;;
T; raincodeData/Delivery/V1\ALCP559.COB;1262;0,188558841;;
T; raincodeData/Delivery/V1\ALCP570.COB;2328;0,304736698;;
T; raincodeData/Delivery/V1\ALCP571.COB;1796;0,245310545;;
