mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V2\ALCB018.COB;987;0,057599235;283,6822217;
T; raincodeData/Delivery/V2\ALCB025.COB;914;0,053574848;;
T; raincodeData/Delivery/V2\ALCB044.COB;3099;0,157642615;;
T; raincodeData/Delivery/V2\ALCB073.COB;1070;0,06044004;;
T; raincodeData/Delivery/V2\ALCB087.COB;3119;0,163770998;;
T; raincodeData/Delivery/V2\ALCB096.COB;1103;0,065248179;;
T; raincodeData/Delivery/V2\ALCB207.COB;1431;0,076104033;;
T; raincodeData/Delivery/V2\ALCB212.COB;959;0,053549778;;
T; raincodeData/Delivery/V2\ALCB213.COB;1013;0,057150257;;
T; raincodeData/Delivery/V2\ALCB216.COB;917;0,053850293;;
T; raincodeData/Delivery/V2\ALCB229.COB;1059;0,058100188;;
T; raincodeData/Delivery/V2\ALCB231.COB;1294;0,072098982;;
T; raincodeData/Delivery/V2\ALCB232.COB;957;0,054050004;;
T; raincodeData/Delivery/V2\ALCB233.COB;965;0,054699588;;
T; raincodeData/Delivery/V2\ALCB234.COB;971;0,054634953;;
T; raincodeData/Delivery/V2\ALCB327.COB;1122;0,064545095;;
T; raincodeData/Delivery/V2\ALCB328.COB;1216;0,066844082;;
T; raincodeData/Delivery/V2\ALCB332.COB;969;0,054458487;;
T; raincodeData/Delivery/V2\ALCB343.COB;2541;0,136673009;;
T; raincodeData/Delivery/V2\ALCB369.COB;1830;0,098187315;;
T; raincodeData/Delivery/V2\ALCB486.COB;1776;0,0956406;;
T; raincodeData/Delivery/V2\ALCB487.COB;1590;0,084291458;;
T; raincodeData/Delivery/V2\ALCB506.COB;1273;0,069141889;;
T; raincodeData/Delivery/V2\ALCB517.COB;7830;0,639457786;;
T; raincodeData/Delivery/V2\ALCB527.COB;3880;0,206573784;;
T; raincodeData/Delivery/V2\ALCB528.COB;2576;0,131711042;;
T; raincodeData/Delivery/V2\ALCB530.COB;2369;0,122233164;;
T; raincodeData/Delivery/V2\ALCB541.COB;2383;0,124304712;;
T; raincodeData/Delivery/V2\ALCB576.COB;1381;0,072897232;;
T; raincodeData/Delivery/V2\ALCB581.COB;3959;0,194883549;;
T; raincodeData/Delivery/V2\ALCB582.COB;3096;0,161371219;;
T; raincodeData/Delivery/V2\ALCB583.COB;3084;0,168351614;;
T; raincodeData/Delivery/V2\ALCB584.COB;1560;0,088507962;;
T; raincodeData/Delivery/V2\ALCB585.COB;1981;0,1120309;;
T; raincodeData/Delivery/V2\ALCB587.COB;952;0,054971719;;
T; raincodeData/Delivery/V2\ALCB611.COB;1340;0,069462347;;
T; raincodeData/Delivery/V2\ALCB617.COB;1141;0,064349568;;
T; raincodeData/Delivery/V2\ALCB618.COB;1133;0,05815016;;
T; raincodeData/Delivery/V2\ALCB619.COB;1133;0,062900078;;
T; raincodeData/Delivery/V2\ALCB625.COB;1388;0,068050385;;
T; raincodeData/Delivery/V2\ALCB648.COB;1286;0,071371901;;
T; raincodeData/Delivery/V2\ALCB649.COB;1111;0,064339435;;
T; raincodeData/Delivery/V2\ALCB653.COB;1000;0,058659267;;
T; raincodeData/Delivery/V2\ALCB654.COB;1170;0,06486069;;
T; raincodeData/Delivery/V2\ALCB655.COB;1228;0,067422819;;
T; raincodeData/Delivery/V2\ALCB659.COB;979;0,055218887;;
T; raincodeData/Delivery/V2\ALCB660.COB;989;0,059637511;;
T; raincodeData/Delivery/V2\ALCB661.COB;975;0,056809783;;
T; raincodeData/Delivery/V2\ALCB665.COB;2000;0,104542375;;
T; raincodeData/Delivery/V2\ALCB668.COB;904;0,05328784;;
T; raincodeData/Delivery/V2\ALCB682.COB;2048;0,104908371;;
T; raincodeData/Delivery/V2\ALCB683.COB;1683;0,087850142;;
T; raincodeData/Delivery/V2\ALCB751.COB;794;0,048799551;;
T; raincodeData/Delivery/V2\ALCB756.COB;1226;0,061550164;;
T; raincodeData/Delivery/V2\ALCB937.COB;4148;0,186873066;;
T; raincodeData/Delivery/V2\ALCB997.COB;3216;0,15496738;;
T; raincodeData/Delivery/V2\ALCC024.COB;2759;0,144461036;;
T; raincodeData/Delivery/V2\ALCC025.COB;1585;0,079577339;;
T; raincodeData/Delivery/V2\ALCC026.COB;2608;0,128035259;;
T; raincodeData/Delivery/V2\ALCC027.COB;2628;0,132635057;;
