mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V2\ALCB018.COB;987;0,050099671;264,8317284;
T; raincodeData/Delivery/V2\ALCB025.COB;914;0,045650017;;
T; raincodeData/Delivery/V2\ALCB044.COB;3099;0,133850217;;
T; raincodeData/Delivery/V2\ALCB073.COB;1070;0,051850414;;
T; raincodeData/Delivery/V2\ALCB087.COB;3119;0,142050147;;
T; raincodeData/Delivery/V2\ALCB096.COB;1103;0,057649994;;
T; raincodeData/Delivery/V2\ALCB207.COB;1431;0,065849614;;
T; raincodeData/Delivery/V2\ALCB212.COB;959;0,049100471;;
T; raincodeData/Delivery/V2\ALCB213.COB;1013;0,050300384;;
T; raincodeData/Delivery/V2\ALCB216.COB;917;0,044250369;;
T; raincodeData/Delivery/V2\ALCB229.COB;1059;0,048750234;;
T; raincodeData/Delivery/V2\ALCB231.COB;1294;0,06494993;;
T; raincodeData/Delivery/V2\ALCB232.COB;957;0,042650127;;
T; raincodeData/Delivery/V2\ALCB233.COB;965;0,047200572;;
T; raincodeData/Delivery/V2\ALCB234.COB;971;0,045800173;;
T; raincodeData/Delivery/V2\ALCB327.COB;1122;0,056049919;;
T; raincodeData/Delivery/V2\ALCB328.COB;1216;0,060100627;;
T; raincodeData/Delivery/V2\ALCB332.COB;969;0,049447823;;
T; raincodeData/Delivery/V2\ALCB343.COB;2541;0,118499851;;
T; raincodeData/Delivery/V2\ALCB369.COB;1830;0,082249379;;
T; raincodeData/Delivery/V2\ALCB486.COB;1776;0,08050133;;
T; raincodeData/Delivery/V2\ALCB487.COB;1590;0,072349811;;
T; raincodeData/Delivery/V2\ALCB506.COB;1273;0,060350132;;
T; raincodeData/Delivery/V2\ALCB517.COB;7830;0,541169024;;
T; raincodeData/Delivery/V2\ALCB527.COB;3880;0,172750378;;
T; raincodeData/Delivery/V2\ALCB528.COB;2576;0,105899942;;
T; raincodeData/Delivery/V2\ALCB530.COB;2369;0,099050272;;
T; raincodeData/Delivery/V2\ALCB541.COB;2383;0,103800261;;
T; raincodeData/Delivery/V2\ALCB576.COB;1381;0,06285094;;
T; raincodeData/Delivery/V2\ALCB581.COB;3959;0,163000321;;
T; raincodeData/Delivery/V2\ALCB582.COB;3096;0,135699737;;
T; raincodeData/Delivery/V2\ALCB583.COB;3084;0,139450395;;
T; raincodeData/Delivery/V2\ALCB584.COB;1560;0,072599959;;
T; raincodeData/Delivery/V2\ALCB585.COB;1981;0,095850027;;
T; raincodeData/Delivery/V2\ALCB587.COB;952;0,048100781;;
