mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V1\ALCB018.COB;1523;0,203248239;1272,294537;
T; raincodeData/Delivery/V1\ALCB025.COB;1205;0,119450319;;
T; raincodeData/Delivery/V1\ALCB044.COB;7678;1,031361389;;
T; raincodeData/Delivery/V1\ALCB073.COB;1291;0,149949872;;
T; raincodeData/Delivery/V1\ALCB087.COB;12592;1,608142662;;
T; raincodeData/Delivery/V1\ALCB096.COB;2446;0,265700698;;
T; raincodeData/Delivery/V1\ALCB207.COB;1953;0,210691404;;
T; raincodeData/Delivery/V1\ALCB212.COB;1286;0,272957623;;
T; raincodeData/Delivery/V1\ALCB213.COB;1409;0,201200497;;
T; raincodeData/Delivery/V1\ALCB216.COB;1126;0,114001787;;
T; raincodeData/Delivery/V1\ALCB229.COB;1267;0,130900121;;
T; raincodeData/Delivery/V1\ALCB231.COB;1693;0,192331529;;
T; raincodeData/Delivery/V1\ALCB232.COB;1478;0,16367321;;
T; raincodeData/Delivery/V1\ALCB233.COB;1414;0,160763741;;
T; raincodeData/Delivery/V1\ALCB234.COB;1474;0,167874491;;
T; raincodeData/Delivery/V1\ALCB327.COB;1304;0,144455874;;
T; raincodeData/Delivery/V1\ALCB328.COB;1622;0,181549513;;
T; raincodeData/Delivery/V1\ALCB332.COB;1748;0,187007451;;
T; raincodeData/Delivery/V1\ALCB343.COB;9294;1,051211798;;
T; raincodeData/Delivery/V1\ALCB369.COB;2297;0,390299249;;
T; raincodeData/Delivery/V1\ALCB486.COB;2923;0,331111538;;
T; raincodeData/Delivery/V1\ALCB487.COB;3069;0,328103983;;
T; raincodeData/Delivery/V1\ALCB506.COB;3804;0,411056364;;
T; raincodeData/Delivery/V1\ALCB517.COB;13160;2,811765552;;
T; raincodeData/Delivery/V1\ALCB527.COB;6463;1,073526943;;
T; raincodeData/Delivery/V1\ALCB528.COB;5969;0,802198577;;
T; raincodeData/Delivery/V1\ALCB530.COB;6590;0,816828227;;
T; raincodeData/Delivery/V1\ALCB541.COB;6572;0,736319375;;
T; raincodeData/Delivery/V1\ALCB576.COB;3646;0,390859258;;
T; raincodeData/Delivery/V1\ALCB581.COB;5979;0,936794949;;
T; raincodeData/Delivery/V1\ALCB582.COB;5375;0,690044153;;
T; raincodeData/Delivery/V1\ALCB583.COB;5648;0,693972385;;
T; raincodeData/Delivery/V1\ALCB584.COB;2254;0,280056477;;
T; raincodeData/Delivery/V1\ALCB585.COB;2873;0,371095335;;
T; raincodeData/Delivery/V1\ALCB587.COB;1228;0,126445389;;
T; raincodeData/Delivery/V1\ALCB611.COB;1919;0,218160927;;
T; raincodeData/Delivery/V1\ALCB617.COB;2069;0,240450287;;
T; raincodeData/Delivery/V1\ALCB618.COB;1700;0,196113718;;
T; raincodeData/Delivery/V1\ALCB619.COB;1700;0,19431088;;
T; raincodeData/Delivery/V1\ALCB625.COB;4072;0,504751205;;
T; raincodeData/Delivery/V1\ALCB648.COB;2605;0,282799613;;
T; raincodeData/Delivery/V1\ALCB649.COB;1808;0,185294878;;
T; raincodeData/Delivery/V1\ALCB653.COB;2348;0,264990878;;
T; raincodeData/Delivery/V1\ALCB654.COB;4321;0,526944613;;
T; raincodeData/Delivery/V1\ALCB655.COB;4352;0,537874091;;
T; raincodeData/Delivery/V1\ALCB659.COB;1690;0,193525469;;
T; raincodeData/Delivery/V1\ALCB660.COB;1829;0,207320929;;
T; raincodeData/Delivery/V1\ALCB661.COB;3782;0,466512907;;
T; raincodeData/Delivery/V1\ALCB665.COB;3327;0,382850564;;
T; raincodeData/Delivery/V1\ALCB668.COB;1075;0,113048875;;
