mean(T/F); filename; file size; fuzzy time (s);total;314,4568332
T; raincodeData/Delivery/V2\ALCB018.COB;987;0,033802521;;
T; raincodeData/Delivery/V2\ALCB025.COB;914;0,035249901;;
T; raincodeData/Delivery/V2\ALCB044.COB;3099;0,172199631;;
T; raincodeData/Delivery/V2\ALCB073.COB;1070;0,038852692;;
T; raincodeData/Delivery/V2\ALCB087.COB;3119;0,178350103;;
T; raincodeData/Delivery/V2\ALCB096.COB;1103;0,039250302;;
T; raincodeData/Delivery/V2\ALCB207.COB;1431;0,0474015;;
T; raincodeData/Delivery/V2\ALCB212.COB;959;0,033500874;;
T; raincodeData/Delivery/V2\ALCB213.COB;1013;0,031650305;;
T; raincodeData/Delivery/V2\ALCB216.COB;917;0,032703602;;
T; raincodeData/Delivery/V2\ALCB229.COB;1059;0,037799954;;
T; raincodeData/Delivery/V2\ALCB231.COB;1294;0,049549925;;
T; raincodeData/Delivery/V2\ALCB232.COB;957;0,031749713;;
T; raincodeData/Delivery/V2\ALCB233.COB;965;0,036100316;;
T; raincodeData/Delivery/V2\ALCB234.COB;971;0,034949517;;
T; raincodeData/Delivery/V2\ALCB327.COB;1122;0,042150259;;
T; raincodeData/Delivery/V2\ALCB328.COB;1216;0,041650152;;
T; raincodeData/Delivery/V2\ALCB332.COB;969;0,031600392;;
T; raincodeData/Delivery/V2\ALCB343.COB;2541;0,120049632;;
T; raincodeData/Delivery/V2\ALCB369.COB;1830;0,073150408;;
T; raincodeData/Delivery/V2\ALCB486.COB;1776;0,066950071;;
T; raincodeData/Delivery/V2\ALCB487.COB;1590;0,061000061;;
T; raincodeData/Delivery/V2\ALCB506.COB;1273;0,042749727;;
T; raincodeData/Delivery/V2\ALCB517.COB;7830;0,751370895;;
T; raincodeData/Delivery/V2\ALCB527.COB;3880;0,237258279;;
T; raincodeData/Delivery/V2\ALCB528.COB;2576;0,129049897;;
T; raincodeData/Delivery/V2\ALCB530.COB;2369;0,104749751;;
T; raincodeData/Delivery/V2\ALCB541.COB;2383;0,105594897;;
T; raincodeData/Delivery/V2\ALCB576.COB;1381;0,051774728;;
T; raincodeData/Delivery/V2\ALCB581.COB;3959;0,197983599;;
T; raincodeData/Delivery/V2\ALCB582.COB;3096;0,136116791;;
T; raincodeData/Delivery/V2\ALCB583.COB;3084;0,125583124;;
T; raincodeData/Delivery/V2\ALCB584.COB;1560;0,050051832;;
T; raincodeData/Delivery/V2\ALCB585.COB;1981;0,065403354;;
T; raincodeData/Delivery/V2\ALCB587.COB;952;0,031879199;;
T; raincodeData/Delivery/V2\ALCB611.COB;1340;0,049800849;;
T; raincodeData/Delivery/V2\ALCB617.COB;1141;0,041250694;;
T; raincodeData/Delivery/V2\ALCB618.COB;1133;0,040050721;;
T; raincodeData/Delivery/V2\ALCB619.COB;1133;0,040150237;;
T; raincodeData/Delivery/V2\ALCB625.COB;1388;0,051501048;;
T; raincodeData/Delivery/V2\ALCB648.COB;1286;0,048499513;;
T; raincodeData/Delivery/V2\ALCB649.COB;1111;0,040800464;;
T; raincodeData/Delivery/V2\ALCB653.COB;1000;0,034801197;;
T; raincodeData/Delivery/V2\ALCB654.COB;1170;0,037700284;;
T; raincodeData/Delivery/V2\ALCB655.COB;1228;0,042199898;;
T; raincodeData/Delivery/V2\ALCB659.COB;979;0,035649896;;
T; raincodeData/Delivery/V2\ALCB660.COB;989;0,032649922;;
T; raincodeData/Delivery/V2\ALCB661.COB;975;0,033299589;;
T; raincodeData/Delivery/V2\ALCB665.COB;2000;0,078899992;;
T; raincodeData/Delivery/V2\ALCB668.COB;904;0,030850565;;
T; raincodeData/Delivery/V2\ALCB682.COB;2048;0,078599823;;
T; raincodeData/Delivery/V2\ALCB683.COB;1683;0,060849881;;
T; raincodeData/Delivery/V2\ALCB751.COB;794;0,028049755;;
T; raincodeData/Delivery/V2\ALCB756.COB;1226;0,035650098;;
T; raincodeData/Delivery/V2\ALCB937.COB;4148;0,161399782;;
T; raincodeData/Delivery/V2\ALCB997.COB;3216;0,12964952;;
T; raincodeData/Delivery/V2\ALCC024.COB;2759;0,188850021;;
T; raincodeData/Delivery/V2\ALCC025.COB;1585;0,067042851;;
T; raincodeData/Delivery/V2\ALCC026.COB;2608;0,169672489;;
T; raincodeData/Delivery/V2\ALCC027.COB;2628;0,16982615;;
T; raincodeData/Delivery/V2\ALCC028.COB;1603;0,070326304;;
T; raincodeData/Delivery/V2\ALCC029.COB;1507;0,061575305;;
T; raincodeData/Delivery/V2\ALCC030.COB;2324;0,136668038;;
T; raincodeData/Delivery/V2\ALCC031.COB;1446;0,063155448;;
T; raincodeData/Delivery/V2\ALCC032.COB;1962;0,101181781;;
T; raincodeData/Delivery/V2\ALCC048.COB;1518;0,063731205;;
T; raincodeData/Delivery/V2\ALCC049.COB;1565;0,089918363;;
T; raincodeData/Delivery/V2\ALCC065.COB;2322;0,136281979;;
T; raincodeData/Delivery/V2\ALCC066.COB;2695;0,16755631;;
T; raincodeData/Delivery/V2\ALCC067.COB;1526;0,064655101;;
T; raincodeData/Delivery/V2\ALCC068.COB;1564;0,065056062;;
T; raincodeData/Delivery/V2\ALCC070.COB;1705;0,076205504;;
T; raincodeData/Delivery/V2\ALCC200.COB;1170;0,047153723;;
T; raincodeData/Delivery/V2\ALCP021.COB;2325;0,080749512;;
T; raincodeData/Delivery/V2\ALCP022.COB;798;0,026352727;;
T; raincodeData/Delivery/V2\ALCP023.COB;425;0,015850055;;
T; raincodeData/Delivery/V2\ALCP040.COB;880;0,030600071;;
T; raincodeData/Delivery/V2\ALCP041.COB;608;0,021599746;;
T; raincodeData/Delivery/V2\ALCP042.COB;929;0,033149076;;
T; raincodeData/Delivery/V2\ALCP052.COB;1168;0,04234916;;
T; raincodeData/Delivery/V2\ALCP070.COB;1101;0,040149879;;
T; raincodeData/Delivery/V2\ALCP071.COB;712;0,023949385;;
T; raincodeData/Delivery/V2\ALCP072.COB;1107;0,042549706;;
T; raincodeData/Delivery/V2\ALCP076.COB;1820;0,076305437;;
T; raincodeData/Delivery/V2\ALCP077.COB;1902;0,081701744;;
T; raincodeData/Delivery/V2\ALCP078.COB;723;0,023599446;;
T; raincodeData/Delivery/V2\ALCP079.COB;1241;0,042949665;;
T; raincodeData/Delivery/V2\ALCP080.COB;553;0,018849742;;
T; raincodeData/Delivery/V2\ALCP081.COB;1471;0,057050097;;
T; raincodeData/Delivery/V2\ALCP082.COB;935;0,033000374;;
T; raincodeData/Delivery/V2\ALCP083.COB;3020;0,207101023;;
T; raincodeData/Delivery/V2\ALCP084.COB;1257;0,044500196;;
T; raincodeData/Delivery/V2\ALCP089.COB;670;0,02370007;;
T; raincodeData/Delivery/V2\ALCP090.COB;4541;0,31795398;;
T; raincodeData/Delivery/V2\ALCP091.COB;1419;0,050453866;;
T; raincodeData/Delivery/V2\ALCP094.COB;1539;0,045887899;;
T; raincodeData/Delivery/V2\ALCP095.COB;756;0,025404799;;
T; raincodeData/Delivery/V2\ALCP097.COB;1219;0,044011199;;
T; raincodeData/Delivery/V2\ALCP120.COB;1050;0,04090004;;
T; raincodeData/Delivery/V2\ALCP201.COB;5929;0,450027215;;
T; raincodeData/Delivery/V2\ALCP202.COB;912;0,032201624;;
T; raincodeData/Delivery/V2\ALCP206.COB;1095;0,04045155;;
T; raincodeData/Delivery/V2\ALCP208.COB;1076;0,037250388;;
T; raincodeData/Delivery/V2\ALCP209.COB;1646;0,095902085;;
T; raincodeData/Delivery/V2\ALCP215.COB;685;0,024149728;;
T; raincodeData/Delivery/V2\ALCP218.COB;705;0,022899818;;
T; raincodeData/Delivery/V2\ALCP221.COB;666;0,025557411;;
T; raincodeData/Delivery/V2\ALCP242.COB;2717;0,116300845;;
