mean(T/F); filename; file size; fuzzy time (s);Tot;383,6185179
T; raincodeData/Delivery/V2\ALCB018.COB;987;0,100107682;;
T; raincodeData/Delivery/V2\ALCB025.COB;914;0,035750639;;
T; raincodeData/Delivery/V2\ALCB044.COB;3099;0,176100159;;
T; raincodeData/Delivery/V2\ALCB073.COB;1070;0,075849903;;
T; raincodeData/Delivery/V2\ALCB087.COB;3119;0,187450159;;
T; raincodeData/Delivery/V2\ALCB096.COB;1103;0,082249892;;
T; raincodeData/Delivery/V2\ALCB207.COB;1431;0,069899738;;
T; raincodeData/Delivery/V2\ALCB212.COB;959;0,262162459;;
T; raincodeData/Delivery/V2\ALCB213.COB;1013;0,046650052;;
T; raincodeData/Delivery/V2\ALCB216.COB;917;0,038250482;;
T; raincodeData/Delivery/V2\ALCB229.COB;1059;0,052600908;;
T; raincodeData/Delivery/V2\ALCB231.COB;1294;0,11747694;;
T; raincodeData/Delivery/V2\ALCB232.COB;957;0,035800231;;
T; raincodeData/Delivery/V2\ALCB233.COB;965;0,040599859;;
T; raincodeData/Delivery/V2\ALCB234.COB;971;0,040949798;;
T; raincodeData/Delivery/V2\ALCB327.COB;1122;0,056262124;;
T; raincodeData/Delivery/V2\ALCB328.COB;1216;0,058103049;;
T; raincodeData/Delivery/V2\ALCB332.COB;969;0,033999753;;
T; raincodeData/Delivery/V2\ALCB343.COB;2541;0,145599949;;
T; raincodeData/Delivery/V2\ALCB369.COB;1830;0,299335551;;
T; raincodeData/Delivery/V2\ALCB486.COB;1776;0,096956086;;
T; raincodeData/Delivery/V2\ALCB487.COB;1590;0,078000247;;
T; raincodeData/Delivery/V2\ALCB506.COB;1273;0,04660058;;
T; raincodeData/Delivery/V2\ALCB517.COB;7830;0,775992119;;
T; raincodeData/Delivery/V2\ALCB527.COB;3880;0,245118856;;
T; raincodeData/Delivery/V2\ALCB528.COB;2576;0,136100566;;
T; raincodeData/Delivery/V2\ALCB530.COB;2369;0,110551357;;
T; raincodeData/Delivery/V2\ALCB541.COB;2383;0,108450007;;
T; raincodeData/Delivery/V2\ALCB576.COB;1381;0,05110153;;
T; raincodeData/Delivery/V2\ALCB581.COB;3959;0,381554568;;
T; raincodeData/Delivery/V2\ALCB582.COB;3096;0,185161602;;
T; raincodeData/Delivery/V2\ALCB583.COB;3084;0,224195766;;
T; raincodeData/Delivery/V2\ALCB584.COB;1560;0,097099745;;
T; raincodeData/Delivery/V2\ALCB585.COB;1981;0,136523354;;
T; raincodeData/Delivery/V2\ALCB587.COB;952;0,037712216;;
T; raincodeData/Delivery/V2\ALCB611.COB;1340;0,051263964;;
T; raincodeData/Delivery/V2\ALCB617.COB;1141;0,039699841;;
T; raincodeData/Delivery/V2\ALCB618.COB;1133;0,040250576;;
T; raincodeData/Delivery/V2\ALCB619.COB;1133;0,042319632;;
T; raincodeData/Delivery/V2\ALCB625.COB;1388;0,052499819;;
T; raincodeData/Delivery/V2\ALCB648.COB;1286;0,048500383;;
T; raincodeData/Delivery/V2\ALCB649.COB;1111;0,042781627;;
T; raincodeData/Delivery/V2\ALCB653.COB;1000;0,035400009;;
T; raincodeData/Delivery/V2\ALCB654.COB;1170;0,038699841;;
T; raincodeData/Delivery/V2\ALCB655.COB;1228;0,04324981;;
T; raincodeData/Delivery/V2\ALCB659.COB;979;0,035799825;;
T; raincodeData/Delivery/V2\ALCB660.COB;989;0,035464799;;
T; raincodeData/Delivery/V2\ALCB661.COB;975;0,036164844;;
T; raincodeData/Delivery/V2\ALCB665.COB;2000;0,089979064;;
T; raincodeData/Delivery/V2\ALCB668.COB;904;0,039800203;;
T; raincodeData/Delivery/V2\ALCB682.COB;2048;0,107699275;;
T; raincodeData/Delivery/V2\ALCB683.COB;1683;0,081414711;;
T; raincodeData/Delivery/V2\ALCB751.COB;794;0,082550204;;
T; raincodeData/Delivery/V2\ALCB756.COB;1226;0,093799889;;
T; raincodeData/Delivery/V2\ALCB937.COB;4148;0,171099961;;
T; raincodeData/Delivery/V2\ALCB997.COB;3216;0,225978565;;
T; raincodeData/Delivery/V2\ALCC024.COB;2759;0,250432205;;
T; raincodeData/Delivery/V2\ALCC025.COB;1585;0,070452142;;
T; raincodeData/Delivery/V2\ALCC026.COB;2608;0,170455503;;
T; raincodeData/Delivery/V2\ALCC027.COB;2628;0,170918882;;
T; raincodeData/Delivery/V2\ALCC028.COB;1603;0,072935021;;
T; raincodeData/Delivery/V2\ALCC029.COB;1507;0,06478349;;
T; raincodeData/Delivery/V2\ALCC030.COB;2324;0,139952362;;
T; raincodeData/Delivery/V2\ALCC031.COB;1446;0,064630198;;
T; raincodeData/Delivery/V2\ALCC032.COB;1962;0,10525012;;
T; raincodeData/Delivery/V2\ALCC048.COB;1518;0,063449931;;
T; raincodeData/Delivery/V2\ALCC049.COB;1565;0,067231929;;
T; raincodeData/Delivery/V2\ALCC065.COB;2322;0,141391742;;
T; raincodeData/Delivery/V2\ALCC066.COB;2695;0,171149623;;
T; raincodeData/Delivery/V2\ALCC067.COB;1526;0,067441463;;
T; raincodeData/Delivery/V2\ALCC068.COB;1564;0,069515145;;
T; raincodeData/Delivery/V2\ALCC070.COB;1705;0,081934643;;
T; raincodeData/Delivery/V2\ALCC200.COB;1170;0,047684681;;
T; raincodeData/Delivery/V2\ALCP021.COB;2325;0,13684932;;
T; raincodeData/Delivery/V2\ALCP022.COB;798;0,028802717;;
T; raincodeData/Delivery/V2\ALCP023.COB;425;0,016700327;;
T; raincodeData/Delivery/V2\ALCP040.COB;880;0,031568611;;
T; raincodeData/Delivery/V2\ALCP041.COB;608;0,021887827;;
T; raincodeData/Delivery/V2\ALCP042.COB;929;0,033422291;;
T; raincodeData/Delivery/V2\ALCP052.COB;1168;0,042734432;;
T; raincodeData/Delivery/V2\ALCP070.COB;1101;0,040402055;;
T; raincodeData/Delivery/V2\ALCP071.COB;712;0,029249728;;
T; raincodeData/Delivery/V2\ALCP072.COB;1107;0,043798137;;
T; raincodeData/Delivery/V2\ALCP076.COB;1820;0,081118941;;
T; raincodeData/Delivery/V2\ALCP077.COB;1902;0,0820521;;
T; raincodeData/Delivery/V2\ALCP078.COB;723;0,025650787;;
T; raincodeData/Delivery/V2\ALCP079.COB;1241;0,045006192;;
T; raincodeData/Delivery/V2\ALCP080.COB;553;0,019000554;;
T; raincodeData/Delivery/V2\ALCP081.COB;1471;0,057636607;;
T; raincodeData/Delivery/V2\ALCP082.COB;935;0,034679449;;
T; raincodeData/Delivery/V2\ALCP083.COB;3020;0,210866308;;
T; raincodeData/Delivery/V2\ALCP084.COB;1257;0,043278003;;
T; raincodeData/Delivery/V2\ALCP089.COB;670;0,022991085;;
T; raincodeData/Delivery/V2\ALCP090.COB;4541;0,329044247;;
T; raincodeData/Delivery/V2\ALCP091.COB;1419;0,051400936;;
T; raincodeData/Delivery/V2\ALCP094.COB;1539;0,048928356;;
T; raincodeData/Delivery/V2\ALCP095.COB;756;0,026601529;;
T; raincodeData/Delivery/V2\ALCP097.COB;1219;0,051451457;;
T; raincodeData/Delivery/V2\ALCP120.COB;1050;0,040916407;;
T; raincodeData/Delivery/V2\ALCP201.COB;5929;0,496537745;;
T; raincodeData/Delivery/V2\ALCP202.COB;912;0,03075217;;
T; raincodeData/Delivery/V2\ALCP206.COB;1095;0,042449832;;
T; raincodeData/Delivery/V2\ALCP208.COB;1076;0,048952556;;
T; raincodeData/Delivery/V2\ALCP209.COB;1646;0,098405313;;
T; raincodeData/Delivery/V2\ALCP215.COB;685;0,023650634;;
T; raincodeData/Delivery/V2\ALCP218.COB;705;0,023452008;;
T; raincodeData/Delivery/V2\ALCP221.COB;666;0,025349915;;
T; raincodeData/Delivery/V2\ALCP242.COB;2717;0,132854533;;
T; raincodeData/Delivery/V2\ALCP243.COB;2826;0,158899951;;
T; raincodeData/Delivery/V2\ALCP244.COB;4113;0,301058698;;
T; raincodeData/Delivery/V2\ALCP246.COB;1327;0,079800344;;
T; raincodeData/Delivery/V2\ALCP247.COB;467;0,017163658;;
T; raincodeData/Delivery/V2\ALCP250.COB;889;0,030950272;;
T; raincodeData/Delivery/V2\ALCP252.COB;1322;0,08045094;;
T; raincodeData/Delivery/V2\ALCP254.COB;1684;0,128248775;;
T; raincodeData/Delivery/V2\ALCP256.COB;1407;0,088619816;;
