mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V2\ALCB018.COB;987;0,101603234;279,0125564;
T; raincodeData/Delivery/V2\ALCB025.COB;914;0,047549856;;
T; raincodeData/Delivery/V2\ALCB044.COB;3099;0,140076721;;
T; raincodeData/Delivery/V2\ALCB073.COB;1070;0,081655371;;
T; raincodeData/Delivery/V2\ALCB087.COB;3119;0,143713343;;
T; raincodeData/Delivery/V2\ALCB096.COB;1103;0,087250686;;
T; raincodeData/Delivery/V2\ALCB207.COB;1431;0,082054186;;
T; raincodeData/Delivery/V2\ALCB212.COB;959;0,221460378;;
T; raincodeData/Delivery/V2\ALCB213.COB;1013;0,059378052;;
T; raincodeData/Delivery/V2\ALCB216.COB;917;0,050861347;;
T; raincodeData/Delivery/V2\ALCB229.COB;1059;0,121167922;;
T; raincodeData/Delivery/V2\ALCB231.COB;1294;0,074324811;;
T; raincodeData/Delivery/V2\ALCB232.COB;957;0,050144625;;
T; raincodeData/Delivery/V2\ALCB233.COB;965;0,052954066;;
T; raincodeData/Delivery/V2\ALCB234.COB;971;0,053166413;;
T; raincodeData/Delivery/V2\ALCB327.COB;1122;0,073390853;;
T; raincodeData/Delivery/V2\ALCB328.COB;1216;0,070249677;;
T; raincodeData/Delivery/V2\ALCB332.COB;969;0,048892856;;
T; raincodeData/Delivery/V2\ALCB343.COB;2541;0,134349346;;
T; raincodeData/Delivery/V2\ALCB369.COB;1830;0,253050256;;
T; raincodeData/Delivery/V2\ALCB486.COB;1776;0,109187412;;
T; raincodeData/Delivery/V2\ALCB487.COB;1590;0,090822732;;
T; raincodeData/Delivery/V2\ALCB506.COB;1273;0,060250521;;
T; raincodeData/Delivery/V2\ALCB517.COB;7830;0,563207793;;
T; raincodeData/Delivery/V2\ALCB527.COB;3880;0,181368458;;
T; raincodeData/Delivery/V2\ALCB528.COB;2576;0,114450681;;
T; raincodeData/Delivery/V2\ALCB530.COB;2369;0,107606423;;
T; raincodeData/Delivery/V2\ALCB541.COB;2383;0,108637559;;
T; raincodeData/Delivery/V2\ALCB576.COB;1381;0,066214919;;
T; raincodeData/Delivery/V2\ALCB581.COB;3959;0,302897632;;
T; raincodeData/Delivery/V2\ALCB582.COB;3096;0,229150915;;
T; raincodeData/Delivery/V2\ALCB583.COB;3084;0,176114917;;
T; raincodeData/Delivery/V2\ALCB584.COB;1560;0,112075055;;
T; raincodeData/Delivery/V2\ALCB585.COB;1981;0,145493722;;
T; raincodeData/Delivery/V2\ALCB587.COB;952;0,052376902;;
T; raincodeData/Delivery/V2\ALCB611.COB;1340;0,064054453;;
T; raincodeData/Delivery/V2\ALCB617.COB;1141;0,055381906;;
T; raincodeData/Delivery/V2\ALCB618.COB;1133;0,054605234;;
T; raincodeData/Delivery/V2\ALCB619.COB;1133;0,055755985;;
T; raincodeData/Delivery/V2\ALCB625.COB;1388;0,062409425;;
T; raincodeData/Delivery/V2\ALCB648.COB;1286;0,062563181;;
T; raincodeData/Delivery/V2\ALCB649.COB;1111;0,057746828;;
T; raincodeData/Delivery/V2\ALCB653.COB;1000;0,05094986;;
T; raincodeData/Delivery/V2\ALCB654.COB;1170;0,055613673;;
T; raincodeData/Delivery/V2\ALCB655.COB;1228;0,056454706;;
T; raincodeData/Delivery/V2\ALCB659.COB;979;0,050510955;;
T; raincodeData/Delivery/V2\ALCB660.COB;989;0,050151837;;
T; raincodeData/Delivery/V2\ALCB661.COB;975;0,049765337;;
T; raincodeData/Delivery/V2\ALCB665.COB;2000;0,098596585;;
T; raincodeData/Delivery/V2\ALCB668.COB;904;0,053611553;;
T; raincodeData/Delivery/V2\ALCB682.COB;2048;0,112382245;;
T; raincodeData/Delivery/V2\ALCB683.COB;1683;0,089090145;;
T; raincodeData/Delivery/V2\ALCB751.COB;794;0,08400197;;
T; raincodeData/Delivery/V2\ALCB756.COB;1226;0,093401647;;
T; raincodeData/Delivery/V2\ALCB937.COB;4148;0,167294872;;
T; raincodeData/Delivery/V2\ALCB997.COB;3216;0,277315247;;
T; raincodeData/Delivery/V2\ALCC024.COB;2759;0,127479219;;
T; raincodeData/Delivery/V2\ALCC025.COB;1585;0,070983732;;
T; raincodeData/Delivery/V2\ALCC026.COB;2608;0,116866124;;
T; raincodeData/Delivery/V2\ALCC027.COB;2628;0,115616608;;
T; raincodeData/Delivery/V2\ALCC028.COB;1603;0,068847227;;
T; raincodeData/Delivery/V2\ALCC029.COB;1507;0,067826092;;
T; raincodeData/Delivery/V2\ALCC030.COB;2324;0,102606916;;
T; raincodeData/Delivery/V2\ALCC031.COB;1446;0,063658845;;
T; raincodeData/Delivery/V2\ALCC032.COB;1962;0,086731279;;
T; raincodeData/Delivery/V2\ALCC048.COB;1518;0,066300642;;
T; raincodeData/Delivery/V2\ALCC049.COB;1565;0,067962694;;
T; raincodeData/Delivery/V2\ALCC065.COB;2322;0,105467236;;
T; raincodeData/Delivery/V2\ALCC066.COB;2695;0,116851425;;
T; raincodeData/Delivery/V2\ALCC067.COB;1526;0,06596936;;
T; raincodeData/Delivery/V2\ALCC068.COB;1564;0,067775309;;
T; raincodeData/Delivery/V2\ALCC070.COB;1705;0,072048271;;
T; raincodeData/Delivery/V2\ALCC200.COB;1170;0,053219962;;
T; raincodeData/Delivery/V2\ALCP021.COB;2325;0,134683096;;
T; raincodeData/Delivery/V2\ALCP022.COB;798;0,039795816;;
T; raincodeData/Delivery/V2\ALCP023.COB;425;0,027663362;;
T; raincodeData/Delivery/V2\ALCP040.COB;880;0,044372749;;
T; raincodeData/Delivery/V2\ALCP041.COB;608;0,040138733;;
T; raincodeData/Delivery/V2\ALCP042.COB;929;0,047645676;;
T; raincodeData/Delivery/V2\ALCP052.COB;1168;0,055301058;;
T; raincodeData/Delivery/V2\ALCP070.COB;1101;0,054233038;;
