mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V2\ALCB018.COB;987;0,091648841;;
T; raincodeData/Delivery/V2\ALCB025.COB;914;0,044560134;;
T; raincodeData/Delivery/V2\ALCB044.COB;3099;0,131298137;;
T; raincodeData/Delivery/V2\ALCB073.COB;1070;0,075682461;;
T; raincodeData/Delivery/V2\ALCB087.COB;3119;0,135772443;;
T; raincodeData/Delivery/V2\ALCB096.COB;1103;0,087854683;;
T; raincodeData/Delivery/V2\ALCB207.COB;1431;0,083279192;;
T; raincodeData/Delivery/V2\ALCB212.COB;959;0,207615948;;
T; raincodeData/Delivery/V2\ALCB213.COB;1013;0,059428871;;
T; raincodeData/Delivery/V2\ALCB216.COB;917;0,047289109;;
T; raincodeData/Delivery/V2\ALCB229.COB;1059;0,098319423;;
T; raincodeData/Delivery/V2\ALCB231.COB;1294;0,071599507;;
T; raincodeData/Delivery/V2\ALCB232.COB;957;0,047946119;;
T; raincodeData/Delivery/V2\ALCB233.COB;965;0,053261089;;
T; raincodeData/Delivery/V2\ALCB234.COB;971;0,051519394;;
T; raincodeData/Delivery/V2\ALCB327.COB;1122;0,067303836;;
T; raincodeData/Delivery/V2\ALCB328.COB;1216;0,06862942;;
T; raincodeData/Delivery/V2\ALCB332.COB;969;0,049391186;;
T; raincodeData/Delivery/V2\ALCB343.COB;2541;0,133737063;;
T; raincodeData/Delivery/V2\ALCB369.COB;1830;0,238871336;;
T; raincodeData/Delivery/V2\ALCB486.COB;1776;0,102849209;;
T; raincodeData/Delivery/V2\ALCB487.COB;1590;0,081484354;;
T; raincodeData/Delivery/V2\ALCB506.COB;1273;0,057410586;;
T; raincodeData/Delivery/V2\ALCB517.COB;7830;0,532194149;;
T; raincodeData/Delivery/V2\ALCB527.COB;3880;0,175097513;;
T; raincodeData/Delivery/V2\ALCB528.COB;2576;0,11241045;;
T; raincodeData/Delivery/V2\ALCB530.COB;2369;0,103527188;;
T; raincodeData/Delivery/V2\ALCB541.COB;2383;0,104508388;;
T; raincodeData/Delivery/V2\ALCB576.COB;1381;0,061430931;;
T; raincodeData/Delivery/V2\ALCB581.COB;3959;0,283764422;;
T; raincodeData/Delivery/V2\ALCB582.COB;3096;0,21486119;;
T; raincodeData/Delivery/V2\ALCB583.COB;3084;0,169246328;;
T; raincodeData/Delivery/V2\ALCB584.COB;1560;0,104404807;;
T; raincodeData/Delivery/V2\ALCB585.COB;1981;0,142227435;;
T; raincodeData/Delivery/V2\ALCB587.COB;952;0,050693476;;
T; raincodeData/Delivery/V2\ALCB611.COB;1340;0,058036423;;
T; raincodeData/Delivery/V2\ALCB617.COB;1141;0,053385746;;
T; raincodeData/Delivery/V2\ALCB618.COB;1133;0,052730525;;
T; raincodeData/Delivery/V2\ALCB619.COB;1133;0,052231789;;
T; raincodeData/Delivery/V2\ALCB625.COB;1388;0,061505699;;
T; raincodeData/Delivery/V2\ALCB648.COB;1286;0,061209476;;
T; raincodeData/Delivery/V2\ALCB649.COB;1111;0,05495373;;
T; raincodeData/Delivery/V2\ALCB653.COB;1000;0,047452974;;
T; raincodeData/Delivery/V2\ALCB654.COB;1170;0,056849623;;
T; raincodeData/Delivery/V2\ALCB655.COB;1228;0,055006599;;
T; raincodeData/Delivery/V2\ALCB659.COB;979;0,049073744;;
T; raincodeData/Delivery/V2\ALCB660.COB;989;0,048312771;;
T; raincodeData/Delivery/V2\ALCB661.COB;975;0,047572565;;
T; raincodeData/Delivery/V2\ALCB665.COB;2000;0,092952621;;
T; raincodeData/Delivery/V2\ALCB668.COB;904;0,052314496;;
T; raincodeData/Delivery/V2\ALCB682.COB;2048;0,104436135;;
T; raincodeData/Delivery/V2\ALCB683.COB;1683;0,08656739;;
T; raincodeData/Delivery/V2\ALCB751.COB;794;0,081239426;;
T; raincodeData/Delivery/V2\ALCB756.COB;1226;0,09004916;;
T; raincodeData/Delivery/V2\ALCB937.COB;4148;0,161347377;;
T; raincodeData/Delivery/V2\ALCB997.COB;3216;0,245812571;;
T; raincodeData/Delivery/V2\ALCC024.COB;2759;0,122221291;;
T; raincodeData/Delivery/V2\ALCC025.COB;1585;0,067361856;;
T; raincodeData/Delivery/V2\ALCC026.COB;2608;0,109483993;;
T; raincodeData/Delivery/V2\ALCC027.COB;2628;0,10804373;;
T; raincodeData/Delivery/V2\ALCC028.COB;1603;0,066350698;;
T; raincodeData/Delivery/V2\ALCC029.COB;1507;0,062592113;;
T; raincodeData/Delivery/V2\ALCC030.COB;2324;0,09621433;;
T; raincodeData/Delivery/V2\ALCC031.COB;1446;0,060053623;;
T; raincodeData/Delivery/V2\ALCC032.COB;1962;0,077752745;;
T; raincodeData/Delivery/V2\ALCC048.COB;1518;0,061652625;;
T; raincodeData/Delivery/V2\ALCC049.COB;1565;0,064998651;;
T; raincodeData/Delivery/V2\ALCC065.COB;2322;0,100794411;;
