mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; Cobol_85/IC101A.cob;382;0,041965258;39,97505275;
T; Cobol_85/IC102A.cob;48;0,004554176;;
T; Cobol_85/IC103A.cob;497;0,053748786;;
T; Cobol_85/IC104A.cob;71;0,005349827;;
T; Cobol_85/IC105A.cob;64;0,005500531;;
T; Cobol_85/IC106A.cob;530;0,059026265;;
T; Cobol_85/IC107A.cob;109;0,012370515;;
T; Cobol_85/IC108A.cob;444;0,050836468;;
T; Cobol_85/IC109A.cob;65;0,010769403;;
T; Cobol_85/IC110A.cob;69;0,010736632;;
T; Cobol_85/IC111A.cob;56;0,008694196;;
T; Cobol_85/IC112A.cob;555;0,059841454;;
T; Cobol_85/IC113A.cob;78;0,009871864;;
T; Cobol_85/IC114A.cob;471;0,045628738;;
T; Cobol_85/IC115A.cob;213;0,025046957;;
T; Cobol_85/IC116M.cob;343;0,021999073;;
T; Cobol_85/IC117M.cob;71;0,004749751;;
T; Cobol_85/IC118M.cob;55;0,004198921;;
T; Cobol_85/IC201A.cob;619;0,066800058;;
T; Cobol_85/IC202A.cob;58;0,004899681;;
T; Cobol_85/IC203A.cob;683;0,063522625;;
T; Cobol_85/IC204A.cob;73;0,008839476;;
T; Cobol_85/IC205A.cob;70;0,009455979;;
T; Cobol_85/IC206A.cob;56;0,007146108;;
T; Cobol_85/IC207A.cob;479;0,055124116;;
T; Cobol_85/IC208A.cob;103;0,007792199;;
T; Cobol_85/IC209A.cob;352;0,040344882;;
T; Cobol_85/IC210A.cob;50;0,006728184;;
T; Cobol_85/IC211A.cob;40;0,005625772;;
T; Cobol_85/IC212A.cob;40;0,005407035;;
T; Cobol_85/IC213A.cob;341;0,037792468;;
T; Cobol_85/IC214A.cob;36;0,004854679;;
T; Cobol_85/IC215A.cob;40;0,005102348;;
T; Cobol_85/IC216A.cob;333;0,037398374;;
T; Cobol_85/IC217A.cob;48;0,006121206;;
T; Cobol_85/IC222A-1.cob;144;0,017492688;;
T; Cobol_85/IC222A.cob;1019;0,070817459;;
T; Cobol_85/IC223A-1.cob;129;0,014457726;;
T; Cobol_85/IC223A.cob;644;0,07151866;;
T; Cobol_85/IC224A-1.cob;128;0,014163017;;
T; Cobol_85/IC224A.cob;576;0,059015131;;
T; Cobol_85/IC225A-1.cob;122;0,013561642;;
T; Cobol_85/IC225A.cob;933;0,111897838;;
T; Cobol_85/IC226A-1.cob;119;0,012396133;;
T; Cobol_85/IC226A.cob;388;0,043371499;;
T; Cobol_85/IC227A-1.cob;232;0,022526729;;
T; Cobol_85/IC227A.cob;969;0,092975247;;
T; Cobol_85/IC228A.cob;445;0,045642149;;
T; Cobol_85/IC233A.cob;513;0,049008691;;
T; Cobol_85/IC234A.cob;737;0,055894613;;
T; Cobol_85/IC235A.cob;668;0,06760782;;
T; Cobol_85/IC237A-1.cob;107;0,012292862;;
T; Cobol_85/IC237A.cob;327;0,037244356;;
T; Cobol_85/IC401M.cob;74;0,01042552;;
T; Cobol_85/IF101A.cob;906;0,085562575;;
T; Cobol_85/IF102A.cob;617;0,058877838;;
T; Cobol_85/IF103A.cob;840;0,078969431;;
T; Cobol_85/IF104A.cob;927;0,086876905;;
T; Cobol_85/IF105A.cob;487;0,051433408;;
T; Cobol_85/IF106A.cob;1005;0,097657073;;
T; Cobol_85/IF107A.cob;379;0,039145041;;
T; Cobol_85/IF108A.cob;489;0,04734627;;
T; Cobol_85/IF109A.cob;451;0,045519698;;
