mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V1\ALCB018.COB;1523;0,243903399;1482,200318;
T; raincodeData/Delivery/V1\ALCB025.COB;1205;0,143425775;;
T; raincodeData/Delivery/V1\ALCB044.COB;7678;1,224540544;;
T; raincodeData/Delivery/V1\ALCB073.COB;1291;0,178100324;;
T; raincodeData/Delivery/V1\ALCB087.COB;12592;1,866752124;;
T; raincodeData/Delivery/V1\ALCB096.COB;2446;0,314328003;;
T; raincodeData/Delivery/V1\ALCB207.COB;1953;0,251691341;;
T; raincodeData/Delivery/V1\ALCB212.COB;1286;0,366469026;;
T; raincodeData/Delivery/V1\ALCB213.COB;1409;0,180271125;;
T; raincodeData/Delivery/V1\ALCB216.COB;1126;0,206072545;;
T; raincodeData/Delivery/V1\ALCB229.COB;1267;0,151035953;;
T; raincodeData/Delivery/V1\ALCB231.COB;1693;0,240685749;;
T; raincodeData/Delivery/V1\ALCB232.COB;1478;0,196263671;;
T; raincodeData/Delivery/V1\ALCB233.COB;1414;0,186601067;;
T; raincodeData/Delivery/V1\ALCB234.COB;1474;0,18877151;;
T; raincodeData/Delivery/V1\ALCB327.COB;1304;0,171755123;;
T; raincodeData/Delivery/V1\ALCB328.COB;1622;0,214621782;;
T; raincodeData/Delivery/V1\ALCB332.COB;1748;0,213399506;;
T; raincodeData/Delivery/V1\ALCB343.COB;9294;1,210303044;;
T; raincodeData/Delivery/V1\ALCB369.COB;2297;0,595963669;;
T; raincodeData/Delivery/V1\ALCB486.COB;2923;0,422101688;;
T; raincodeData/Delivery/V1\ALCB487.COB;3069;0,397643042;;
T; raincodeData/Delivery/V1\ALCB506.COB;3804;0,501067305;;
T; raincodeData/Delivery/V1\ALCB517.COB;13160;3,474525785;;
T; raincodeData/Delivery/V1\ALCB527.COB;6463;1,322311211;;
T; raincodeData/Delivery/V1\ALCB528.COB;5969;0,944565272;;
T; raincodeData/Delivery/V1\ALCB530.COB;6590;0,958985925;;
T; raincodeData/Delivery/V1\ALCB541.COB;6572;0,852352285;;
T; raincodeData/Delivery/V1\ALCB576.COB;3646;0,46416018;;
T; raincodeData/Delivery/V1\ALCB581.COB;5979;1,164528489;;
T; raincodeData/Delivery/V1\ALCB582.COB;5375;0,854894352;;
T; raincodeData/Delivery/V1\ALCB583.COB;5648;0,829687786;;
T; raincodeData/Delivery/V1\ALCB584.COB;2254;0,339693093;;
T; raincodeData/Delivery/V1\ALCB585.COB;2873;0,462227964;;
T; raincodeData/Delivery/V1\ALCB587.COB;1228;0,145505857;;
T; raincodeData/Delivery/V1\ALCB611.COB;1919;0,249716306;;
T; raincodeData/Delivery/V1\ALCB617.COB;2069;0,287090302;;
T; raincodeData/Delivery/V1\ALCB618.COB;1700;0,234480906;;
T; raincodeData/Delivery/V1\ALCB619.COB;1700;0,237673283;;
T; raincodeData/Delivery/V1\ALCB625.COB;4072;0,597249842;;
T; raincodeData/Delivery/V1\ALCB648.COB;2605;0,319927526;;
T; raincodeData/Delivery/V1\ALCB649.COB;1808;0,208111739;;
T; raincodeData/Delivery/V1\ALCB653.COB;2348;0,311305022;;
T; raincodeData/Delivery/V1\ALCB654.COB;4321;0,625109458;;
T; raincodeData/Delivery/V1\ALCB655.COB;4352;0,63456502;;
T; raincodeData/Delivery/V1\ALCB659.COB;1690;0,227593946;;
T; raincodeData/Delivery/V1\ALCB660.COB;1829;0,232058477;;
T; raincodeData/Delivery/V1\ALCB661.COB;3782;0,533177209;;
T; raincodeData/Delivery/V1\ALCB665.COB;3327;0,437973309;;
T; raincodeData/Delivery/V1\ALCB668.COB;1075;0,127846241;;
T; raincodeData/Delivery/V1\ALCB682.COB;3320;0,483605146;;
T; raincodeData/Delivery/V1\ALCB683.COB;2620;0,353206635;;
T; raincodeData/Delivery/V1\ALCB751.COB;1532;0,223414516;;
T; raincodeData/Delivery/V1\ALCB756.COB;1983;0,288761735;;
T; raincodeData/Delivery/V1\ALCB937.COB;8697;1,287355995;;
