mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V1\ALCB018.COB;1523;0,522415078;2430,363205;
T; raincodeData/Delivery/V1\ALCB025.COB;1205;0,346010709;;
T; raincodeData/Delivery/V1\ALCB044.COB;7678;2,456060314;;
T; raincodeData/Delivery/V1\ALCB073.COB;1291;0,356668508;;
T; raincodeData/Delivery/V1\ALCB087.COB;12592;4,749022615;;
T; raincodeData/Delivery/V1\ALCB096.COB;2446;0,758826113;;
T; raincodeData/Delivery/V1\ALCB207.COB;1953;0,601349807;;
T; raincodeData/Delivery/V1\ALCB212.COB;1286;0,576032603;;
T; raincodeData/Delivery/V1\ALCB213.COB;1409;0,472622216;;
T; raincodeData/Delivery/V1\ALCB216.COB;1126;0,324470961;;
T; raincodeData/Delivery/V1\ALCB229.COB;1267;0,36220423;;
T; raincodeData/Delivery/V1\ALCB231.COB;1693;0,519657278;;
T; raincodeData/Delivery/V1\ALCB232.COB;1478;0,50445447;;
T; raincodeData/Delivery/V1\ALCB233.COB;1414;0,49922539;;
T; raincodeData/Delivery/V1\ALCB234.COB;1474;0,522580945;;
T; raincodeData/Delivery/V1\ALCB327.COB;1304;0,372368026;;
T; raincodeData/Delivery/V1\ALCB328.COB;1622;0,509953082;;
T; raincodeData/Delivery/V1\ALCB332.COB;1748;0,583662331;;
T; raincodeData/Delivery/V1\ALCB343.COB;9294;3,068732321;;
T; raincodeData/Delivery/V1\ALCB369.COB;2297;0,779705334;;
T; raincodeData/Delivery/V1\ALCB486.COB;2923;0,917369795;;
T; raincodeData/Delivery/V1\ALCB487.COB;3069;0,944333863;;
T; raincodeData/Delivery/V1\ALCB506.COB;3804;1,31073271;;
T; raincodeData/Delivery/V1\ALCB517.COB;13160;4,30368855;;
T; raincodeData/Delivery/V1\ALCB527.COB;6463;1,971304405;;
T; raincodeData/Delivery/V1\ALCB528.COB;5969;1,945303249;;
T; raincodeData/Delivery/V1\ALCB530.COB;6590;2,221284676;;
T; raincodeData/Delivery/V1\ALCB541.COB;6572;2,175585425;;
T; raincodeData/Delivery/V1\ALCB576.COB;3646;1,257424331;;
T; raincodeData/Delivery/V1\ALCB581.COB;5979;1,876217103;;
T; raincodeData/Delivery/V1\ALCB582.COB;5375;1,804903293;;
T; raincodeData/Delivery/V1\ALCB583.COB;5648;1,80608902;;
T; raincodeData/Delivery/V1\ALCB584.COB;2254;0,822953069;;
T; raincodeData/Delivery/V1\ALCB585.COB;2873;1,064639544;;
T; raincodeData/Delivery/V1\ALCB587.COB;1228;0,383201575;;
T; raincodeData/Delivery/V1\ALCB611.COB;1919;0,648608923;;
T; raincodeData/Delivery/V1\ALCB617.COB;2069;0,782406557;;
T; raincodeData/Delivery/V1\ALCB618.COB;1700;0,623411667;;
T; raincodeData/Delivery/V1\ALCB619.COB;1700;0,611150193;;
T; raincodeData/Delivery/V1\ALCB625.COB;4072;1,650702333;;
T; raincodeData/Delivery/V1\ALCB648.COB;2605;0,846384132;;
T; raincodeData/Delivery/V1\ALCB649.COB;1808;0,556636131;;
T; raincodeData/Delivery/V1\ALCB653.COB;2348;0,85781616;;
T; raincodeData/Delivery/V1\ALCB654.COB;4321;1,757551455;;
T; raincodeData/Delivery/V1\ALCB655.COB;4352;1,765492547;;
T; raincodeData/Delivery/V1\ALCB659.COB;1690;0,615338314;;
T; raincodeData/Delivery/V1\ALCB660.COB;1829;0,664414215;;
T; raincodeData/Delivery/V1\ALCB661.COB;3782;1,584422481;;
T; raincodeData/Delivery/V1\ALCB665.COB;3327;1,037873983;;
T; raincodeData/Delivery/V1\ALCB668.COB;1075;0,325375211;;
T; raincodeData/Delivery/V1\ALCB682.COB;3320;1,041565907;;
T; raincodeData/Delivery/V1\ALCB683.COB;2620;0,847056544;;
T; raincodeData/Delivery/V1\ALCB751.COB;1532;0,515409362;;
T; raincodeData/Delivery/V1\ALCB756.COB;1983;0,625014162;;
T; raincodeData/Delivery/V1\ALCB937.COB;8697;2,504684937;;
T; raincodeData/Delivery/V1\ALCB997.COB;4788;1,532897866;;
T; raincodeData/Delivery/V1\ALCC024.COB;3269;0,774624324;;
T; raincodeData/Delivery/V1\ALCC025.COB;2186;0,58477844;;
T; raincodeData/Delivery/V1\ALCC026.COB;3218;0,762962806;;
T; raincodeData/Delivery/V1\ALCC027.COB;3252;0,768571055;;
T; raincodeData/Delivery/V1\ALCC028.COB;2175;0,567256975;;
T; raincodeData/Delivery/V1\ALCC029.COB;2062;0,543489754;;
T; raincodeData/Delivery/V1\ALCC030.COB;2910;0,687308502;;
T; raincodeData/Delivery/V1\ALCC031.COB;1962;0,519157577;;
T; raincodeData/Delivery/V1\ALCC032.COB;2532;0,626700735;;
T; raincodeData/Delivery/V1\ALCC048.COB;2097;0,567927551;;
T; raincodeData/Delivery/V1\ALCC049.COB;2191;0,601634133;;
T; raincodeData/Delivery/V1\ALCC065.COB;2757;0,647678721;;
T; raincodeData/Delivery/V1\ALCC066.COB;3860;0,984421122;;
T; raincodeData/Delivery/V1\ALCC067.COB;2078;0,54300555;;
T; raincodeData/Delivery/V1\ALCC068.COB;2198;0,597107279;;
T; raincodeData/Delivery/V1\ALCC070.COB;2260;0,596786726;;
T; raincodeData/Delivery/V1\ALCC200.COB;1726;0,429001451;;
T; raincodeData/Delivery/V1\ALCP021.COB;4767;1,440315676;;
T; raincodeData/Delivery/V1\ALCP022.COB;2269;0,684006739;;
T; raincodeData/Delivery/V1\ALCP023.COB;547;0,140354002;;
T; raincodeData/Delivery/V1\ALCP040.COB;3860;1,325229466;;
T; raincodeData/Delivery/V1\ALCP041.COB;879;0,302822495;;
T; raincodeData/Delivery/V1\ALCP042.COB;4071;1,375804698;;
T; raincodeData/Delivery/V1\ALCP052.COB;2199;0,70815407;;
T; raincodeData/Delivery/V1\ALCP070.COB;2933;1,051142299;;
T; raincodeData/Delivery/V1\ALCP071.COB;996;0,281993413;;
T; raincodeData/Delivery/V1\ALCP072.COB;3668;1,27622087;;
T; raincodeData/Delivery/V1\ALCP076.COB;3196;1,107276762;;
T; raincodeData/Delivery/V1\ALCP077.COB;5308;1,807569456;;
T; raincodeData/Delivery/V1\ALCP078.COB;1016;0,324550986;;
T; raincodeData/Delivery/V1\ALCP079.COB;1889;0,566977298;;
T; raincodeData/Delivery/V1\ALCP080.COB;1361;0,519373167;;
T; raincodeData/Delivery/V1\ALCP081.COB;2955;1,04493283;;
T; raincodeData/Delivery/V1\ALCP082.COB;2554;0,901448655;;
T; raincodeData/Delivery/V1\ALCP083.COB;5607;1,714481282;;
T; raincodeData/Delivery/V1\ALCP084.COB;3690;1,265095949;;
T; raincodeData/Delivery/V1\ALCP089.COB;1778;0,546024811;;
T; raincodeData/Delivery/V1\ALCP090.COB;7835;2,23099494;;
T; raincodeData/Delivery/V1\ALCP091.COB;3476;1,190499377;;
T; raincodeData/Delivery/V1\ALCP094.COB;2022;0,679567587;;
T; raincodeData/Delivery/V1\ALCP095.COB;1159;0,40591166;;
T; raincodeData/Delivery/V1\ALCP097.COB;2708;0,93938899;;
T; raincodeData/Delivery/V1\ALCP120.COB;1791;0,521061862;;
T; raincodeData/Delivery/V1\ALCP201.COB;8665;2,439925528;;
T; raincodeData/Delivery/V1\ALCP202.COB;1512;0,523563111;;
T; raincodeData/Delivery/V1\ALCP206.COB;1638;0,481599736;;
T; raincodeData/Delivery/V1\ALCP208.COB;2097;0,795749724;;
T; raincodeData/Delivery/V1\ALCP209.COB;3053;1,039142871;;
T; raincodeData/Delivery/V1\ALCP215.COB;1075;0,364242101;;
T; raincodeData/Delivery/V1\ALCP218.COB;1579;0,558055162;;
T; raincodeData/Delivery/V1\ALCP221.COB;828;0,214849794;;
T; raincodeData/Delivery/V1\ALCP242.COB;4170;1,200621295;;
T; raincodeData/Delivery/V1\ALCP243.COB;4163;1,26435734;;
T; raincodeData/Delivery/V1\ALCP244.COB;7357;2,42049011;;
T; raincodeData/Delivery/V1\ALCP246.COB;1509;0,281457818;;
T; raincodeData/Delivery/V1\ALCP247.COB;643;0,20115546;;
T; raincodeData/Delivery/V1\ALCP250.COB;1339;0,380358934;;
T; raincodeData/Delivery/V1\ALCP252.COB;1496;0,282450104;;
T; raincodeData/Delivery/V1\ALCP254.COB;1896;0,348650277;;
T; raincodeData/Delivery/V1\ALCP256.COB;1589;0,292903674;;
T; raincodeData/Delivery/V1\ALCP259.COB;604;0,1822999;;
T; raincodeData/Delivery/V1\ALCP262.COB;1329;0,396809363;;
T; raincodeData/Delivery/V1\ALCP263.COB;1880;0,600083339;;
T; raincodeData/Delivery/V1\ALCP264.COB;458;0,122605455;;
T; raincodeData/Delivery/V1\ALCP298.COB;837;0,261761248;;
T; raincodeData/Delivery/V1\ALCP306.COB;5764;1,778216743;;
T; raincodeData/Delivery/V1\ALCP325.COB;2074;0,702109277;;
T; raincodeData/Delivery/V1\ALCP326.COB;1796;0,590893519;;
T; raincodeData/Delivery/V1\ALCP331.COB;1678;0,553167593;;
T; raincodeData/Delivery/V1\ALCP333.COB;502;0,132952821;;
T; raincodeData/Delivery/V1\ALCP335.COB;2174;0,641740334;;
T; raincodeData/Delivery/V1\ALCP336.COB;408;0,105428529;;
T; raincodeData/Delivery/V1\ALCP337.COB;1218;0,279629683;;
T; raincodeData/Delivery/V1\ALCP342.COB;7746;2,597485065;;
T; raincodeData/Delivery/V1\ALCP345.COB;3213;1,073246551;;
T; raincodeData/Delivery/V1\ALCP420.COB;3673;1,261042202;;
T; raincodeData/Delivery/V1\ALCP421.COB;951;0,292084563;;
T; raincodeData/Delivery/V1\ALCP422.COB;1528;0,517066932;;
T; raincodeData/Delivery/V1\ALCP423.COB;2538;0,871411645;;
T; raincodeData/Delivery/V1\ALCP424.COB;846;0,279549897;;
T; raincodeData/Delivery/V1\ALCP425.COB;1136;0,439311314;;
T; raincodeData/Delivery/V1\ALCP470.COB;2494;0,806266844;;
T; raincodeData/Delivery/V1\ALCP500.COB;5124;1,534470737;;
T; raincodeData/Delivery/V1\ALCP502.COB;6183;1,86850214;;
T; raincodeData/Delivery/V1\ALCP504.COB;6370;2,130012965;;
T; raincodeData/Delivery/V1\ALCP505.COB;601;0,182100213;;
T; raincodeData/Delivery/V1\ALCP519.COB;6619;1,978176045;;
T; raincodeData/Delivery/V1\ALCP520.COB;5343;1,742191601;;
T; raincodeData/Delivery/V1\ALCP540.COB;8943;2,674333668;;
T; raincodeData/Delivery/V1\ALCP542.COB;6527;2,248979723;;
T; raincodeData/Delivery/V1\ALCP543.COB;1232;0,426465499;;
T; raincodeData/Delivery/V1\ALCP544.COB;1349;0,441611326;;
T; raincodeData/Delivery/V1\ALCP545.COB;564;0,163349831;;
T; raincodeData/Delivery/V1\ALCP550.COB;2291;0,765022802;;
T; raincodeData/Delivery/V1\ALCP551.COB;874;0,248654234;;
T; raincodeData/Delivery/V1\ALCP552.COB;743;0,223114085;;
T; raincodeData/Delivery/V1\ALCP558.COB;1435;0,487152421;;
T; raincodeData/Delivery/V1\ALCP559.COB;1262;0,477259493;;
T; raincodeData/Delivery/V1\ALCP570.COB;2328;0,751761973;;
T; raincodeData/Delivery/V1\ALCP571.COB;1796;0,614456463;;
T; raincodeData/Delivery/V1\ALCP575.COB;3913;1,273150277;;
T; raincodeData/Delivery/V1\ALCP577.COB;6937;2,238091421;;
T; raincodeData/Delivery/V1\ALCP579.COB;2180;0,732527781;;
T; raincodeData/Delivery/V1\ALCP610.COB;423;0,12770189;;
T; raincodeData/Delivery/V1\ALCP631.COB;2473;0,855290246;;
T; raincodeData/Delivery/V1\ALCP637.COB;1848;0,681870115;;
T; raincodeData/Delivery/V1\ALCP639.COB;3272;1,161124468;;
T; raincodeData/Delivery/V1\ALCP644.COB;1279;0,4805812;;
T; raincodeData/Delivery/V1\ALCP666.COB;6147;1,747084284;;
T; raincodeData/Delivery/V1\ALCP667.COB;1098;0,41311152;;
T; raincodeData/Delivery/V1\ALCP676.COB;1958;0,603004801;;
T; raincodeData/Delivery/V1\ALCP679.COB;1586;0,506402493;;
T; raincodeData/Delivery/V1\ALCP680.COB;575;0,17500664;;
T; raincodeData/Delivery/V1\ALCP686.COB;3501;1,058768451;;
T; raincodeData/Delivery/V1\ALCP687.COB;2884;1,075965083;;
T; raincodeData/Delivery/V1\ALCP688.COB;3488;1,13610661;;
T; raincodeData/Delivery/V1\ALCP689.COB;992;0,305800188;;
T; raincodeData/Delivery/V1\ALCP690.COB;1176;0,347951913;;
T; raincodeData/Delivery/V1\ALCP691.COB;972;0,290915596;;
T; raincodeData/Delivery/V1\ALCP692.COB;2534;0,791654992;;
T; raincodeData/Delivery/V1\ALCP693.COB;2773;0,734841859;;
T; raincodeData/Delivery/V1\ALCP694.COB;2645;0,76747781;;
T; raincodeData/Delivery/V1\ALCP695.COB;2388;0,733159256;;
T; raincodeData/Delivery/V1\ALCP696.COB;2497;0,753764153;;
T; raincodeData/Delivery/V1\ALCP697.COB;2611;0,773451149;;
T; raincodeData/Delivery/V1\ALCP698.COB;302;0,081151986;;
T; raincodeData/Delivery/V1\ALCP700.COB;2187;0,834850204;;
T; raincodeData/Delivery/V1\ALCP701.COB;482;0,131999457;;
T; raincodeData/Delivery/V1\ALCP702.COB;4117;1,414878035;;
T; raincodeData/Delivery/V1\ALCP703.COB;1950;0,57457149;;
T; raincodeData/Delivery/V1\ALCP704.COB;2316;0,611563945;;
T; raincodeData/Delivery/V1\ALCP705.COB;2988;0,879407561;;
T; raincodeData/Delivery/V1\ALCP706.COB;3630;1,193105948;;
T; raincodeData/Delivery/V1\ALCP707.COB;1426;0,414648569;;
T; raincodeData/Delivery/V1\ALCP754.COB;1831;0,550856793;;
T; raincodeData/Delivery/V1\ALCP755.COB;1752;0,541204679;;
T; raincodeData/Delivery/V1\ALCP787.COB;1244;0,332699656;;
T; raincodeData/Delivery/V1\ALCP901.COB;19907;7,761619449;;
T; raincodeData/Delivery/V1\ALCP936.COB;1346;0,408352327;;
T; raincodeData/Delivery/V1\ALCP998.COB;1601;0,573053396;;
T; raincodeData/Delivery/V1\ALCS024.COB;4550;1,335831273;;
T; raincodeData/Delivery/V1\ALCS025.COB;2498;0,681811512;;
T; raincodeData/Delivery/V1\ALCS026.COB;4377;1,207518458;;
T; raincodeData/Delivery/V1\ALCS027.COB;3947;1,097457099;;
T; raincodeData/Delivery/V1\ALCS028.COB;3214;0,880331242;;
T; raincodeData/Delivery/V1\ALCS029.COB;3131;0,823974693;;
T; raincodeData/Delivery/V1\ALCS030.COB;2452;0,667873311;;
T; raincodeData/Delivery/V1\ALCS031.COB;2486;0,666890478;;
T; raincodeData/Delivery/V1\ALCS032.COB;2925;0,794470847;;
T; raincodeData/Delivery/V1\ALCS048.COB;2712;0,73161242;;
T; raincodeData/Delivery/V1\ALCS049.COB;3321;0,936720562;;
T; raincodeData/Delivery/V1\ALCS065.COB;2422;0,681106758;;
T; raincodeData/Delivery/V1\ALCS066.COB;4426;1,294281304;;
T; raincodeData/Delivery/V1\ALCS067.COB;2012;0,575611603;;
