mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; Cobol_85/IC101A.cob;382;0,039499164;;
T; Cobol_85/IC102A.cob;48;0,004299486;;
T; Cobol_85/IC103A.cob;497;0,051450539;;
T; Cobol_85/IC104A.cob;71;0,005100036;;
T; Cobol_85/IC105A.cob;64;0,005300295;;
T; Cobol_85/IC106A.cob;530;0,054848981;;
T; Cobol_85/IC107A.cob;109;0,011419725;;
T; Cobol_85/IC108A.cob;444;0,044797981;;
T; Cobol_85/IC109A.cob;65;0,009248912;;
T; Cobol_85/IC110A.cob;69;0,009099758;;
T; Cobol_85/IC111A.cob;56;0,007648373;;
T; Cobol_85/IC112A.cob;555;0,05564903;;
T; Cobol_85/IC113A.cob;78;0,009497869;;
T; Cobol_85/IC114A.cob;471;0,04484961;;
T; Cobol_85/IC115A.cob;213;0,021998537;;
T; Cobol_85/IC116M.cob;343;0,021498859;;
T; Cobol_85/IC117M.cob;71;0,004598534;;
T; Cobol_85/IC118M.cob;55;0,003749633;;
T; Cobol_85/IC201A.cob;619;0,0622509;;
T; Cobol_85/IC202A.cob;58;0,004698408;;
T; Cobol_85/IC203A.cob;683;0,062099552;;
T; Cobol_85/IC204A.cob;73;0,008200824;;
T; Cobol_85/IC205A.cob;70;0,008948052;;
T; Cobol_85/IC206A.cob;56;0,006848407;;
T; Cobol_85/IC207A.cob;479;0,047799575;;
T; Cobol_85/IC208A.cob;103;0,007498765;;
T; Cobol_85/IC209A.cob;352;0,035649216;;
T; Cobol_85/IC210A.cob;50;0,005949032;;
T; Cobol_85/IC211A.cob;40;0,004949224;;
T; Cobol_85/IC212A.cob;40;0,004997933;;
T; Cobol_85/IC213A.cob;341;0,034598124;;
T; Cobol_85/IC214A.cob;36;0,004498398;;
T; Cobol_85/IC215A.cob;40;0,004499578;;
T; Cobol_85/IC216A.cob;333;0,034199142;;
T; Cobol_85/IC217A.cob;48;0,006249666;;
T; Cobol_85/IC222A-1.cob;144;0,016322994;;
T; Cobol_85/IC222A.cob;1019;0,069330263;;
T; Cobol_85/IC223A-1.cob;129;0,014211512;;
T; Cobol_85/IC223A.cob;644;0,066799009;;
T; Cobol_85/IC224A-1.cob;128;0,013900638;;
T; Cobol_85/IC224A.cob;576;0,054801071;;
T; Cobol_85/IC225A-1.cob;122;0,012898612;;
T; Cobol_85/IC225A.cob;933;0,106356776;;
T; Cobol_85/IC226A-1.cob;119;0,012098932;;
T; Cobol_85/IC226A.cob;388;0,038450241;;
T; Cobol_85/IC227A-1.cob;232;0,020000219;;
T; Cobol_85/IC227A.cob;969;0,090300512;;
T; Cobol_85/IC228A.cob;445;0,043113756;;
T; Cobol_85/IC233A.cob;513;0,044466925;;
T; Cobol_85/IC234A.cob;737;0,056321692;;
T; Cobol_85/IC235A.cob;668;0,065299344;;
T; Cobol_85/IC237A-1.cob;107;0,011400676;;
T; Cobol_85/IC237A.cob;327;0,032849896;;
T; Cobol_85/IC401M.cob;74;0,009200513;;
T; Cobol_85/IF101A.cob;906;0,079458201;;
T; Cobol_85/IF102A.cob;617;0,05305723;;
T; Cobol_85/IF103A.cob;840;0,071150637;;
T; Cobol_85/IF104A.cob;927;0,080250144;;
T; Cobol_85/IF105A.cob;487;0,047499335;;
T; Cobol_85/IF106A.cob;1005;0,085199952;;
T; Cobol_85/IF107A.cob;379;0,036299288;;
T; Cobol_85/IF108A.cob;489;0,044550157;;
T; Cobol_85/IF109A.cob;451;0,040801108;;
T; Cobol_85/IF110A.cob;500;0,045298755;;
T; Cobol_85/IF111A.cob;731;0,062549746;;
T; Cobol_85/IF112A.cob;452;0,040999949;;
T; Cobol_85/IF113A.cob;451;0,042950177;;
T; Cobol_85/IF114A.cob;732;0,064100003;;
T; Cobol_85/IF115A.cob;450;0,043399262;;
T; Cobol_85/IF116A.cob;889;0,077100015;;
T; Cobol_85/IF117A.cob;1037;0,088299239;;
T; Cobol_85/IF118A.cob;544;0,047399509;;
T; Cobol_85/IF119A.cob;797;0,06920104;;
T; Cobol_85/IF120A.cob;684;0,0589499;;
T; Cobol_85/IF121A.cob;680;0,058949447;;
T; Cobol_85/IF122A.cob;680;0,058650398;;
T; Cobol_85/IF123A.cob;797;0,068600464;;
T; Cobol_85/IF124A.cob;761;0,06470021;;
T; Cobol_85/IF125A.cob;686;0,060199559;;
T; Cobol_85/IF126A.cob;886;0,072700703;;
T; Cobol_85/IF127A.cob;505;0,048300123;;
T; Cobol_85/IF128A.cob;647;0,059300566;;
T; Cobol_85/IF129A.cob;632;0,057599175;;
T; Cobol_85/IF130A.cob;818;0,07050066;;
T; Cobol_85/IF131A.cob;512;0,046650434;;
T; Cobol_85/IF132A.cob;633;0,056021678;;
T; Cobol_85/IF133A.cob;678;0,061499989;;
T; Cobol_85/IF134A.cob;546;0,048199809;;
T; Cobol_85/IF135A.cob;1036;0,089499354;;
T; Cobol_85/IF136A.cob;904;0,078049946;;
T; Cobol_85/IF137A.cob;725;0,06170032;;
T; Cobol_85/IF138A.cob;659;0,058899593;;
T; Cobol_85/IF139A.cob;992;0,082900202;;
T; Cobol_85/IF140A.cob;543;0,048900056;;
T; Cobol_85/IF141A.cob;692;0,058750308;;
T; Cobol_85/IF142A.cob;367;0,035499573;;
T; Cobol_85/IX101A.cob;507;0,048799801;;
T; Cobol_85/IX102A.cob;701;0,066500127;;
T; Cobol_85/IX103A.cob;757;0,07254951;;
T; Cobol_85/IX104A.cob;729;0,074000227;;
T; Cobol_85/IX105A.cob;875;0,071450162;;
T; Cobol_85/IX106A.cob;1233;0,109399545;;
T; Cobol_85/IX107A.cob;982;0,100149965;;
T; Cobol_85/IX108A.cob;1458;0,15234977;;
T; Cobol_85/IX109A.cob;1071;0,119299912;;
T; Cobol_85/IX110A.cob;620;0,072350395;;
T; Cobol_85/IX111A.cob;444;0,053550529;;
T; Cobol_85/IX112A.cob;876;0,094949698;;
T; Cobol_85/IX113A.cob;769;0,085499501;;
T; Cobol_85/IX114A.cob;720;0,085549593;;
T; Cobol_85/IX115A.cob;721;0,085799265;;
T; Cobol_85/IX116A.cob;721;0,081499064;;
T; Cobol_85/IX117A.cob;720;0,081649685;;
T; Cobol_85/IX118A.cob;722;0,083599806;;
T; Cobol_85/IX119A.cob;731;0,083499384;;
T; Cobol_85/IX120A.cob;705;0,083900142;;
T; Cobol_85/IX121A.cob;762;0,086299896;;
T; Cobol_85/IX201A.cob;506;0,048850095;;
T; Cobol_85/IX202A.cob;664;0,064300716;;
T; Cobol_85/IX203A.cob;735;0,07064985;;
T; Cobol_85/IX204A.cob;739;0,071048927;;
T; Cobol_85/IX205A.cob;973;0,090399396;;
T; Cobol_85/IX206A.cob;892;0,084049773;;
T; Cobol_85/IX207A.cob;1081;0,096899188;;
T; Cobol_85/IX208A.cob;1525;0,145049858;;
T; Cobol_85/IX209A.cob;2859;0,289700389;;
T; Cobol_85/IX210A.cob;2333;0,225859106;;
T; Cobol_85/IX211A.cob;1125;0,106249166;;
T; Cobol_85/IX212A.cob;1053;0,103899741;;
T; Cobol_85/IX213A.cob;1019;0,1025998;;
T; Cobol_85/IX214A.cob;2358;0,233149695;;
T; Cobol_85/IX215A.cob;2805;0,322200215;;
T; Cobol_85/IX216A.cob;792;0,077399731;;
T; Cobol_85/IX217A.cob;687;0,073899734;;
T; Cobol_85/IX218A.cob;613;0,062650573;;
T; Cobol_85/IX301M.cob;70;0,010199928;;
T; Cobol_85/IX401M.cob;84;0,012949693;;
T; Cobol_85/NC101A.cob;1867;0,240413046;;
T; Cobol_85/NC102A.cob;1503;0,165499961;;
T; Cobol_85/NC103A.cob;2140;0,176089752;;
T; Cobol_85/NC104A.cob;2851;0,455599773;;
T; Cobol_85/NC105A.cob;3117;0,479250824;;
T; Cobol_85/NC106A.cob;2533;0,274931943;;
T; Cobol_85/NC107A.cob;2033;1,062349606;;
T; Cobol_85/NC108M.cob;777;0,071600568;;
T; Cobol_85/NC109M.cob;964;0,093851399;;
T; Cobol_85/NC110M.cob;89;0,007649374;;
T; Cobol_85/NC111A.cob;478;0,048300374;;
T; Cobol_85/NC112A.cob;1027;0,109999454;;
