mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; Cobol_85/IC101A.cob;382;0,115541279;;
T; Cobol_85/IC102A.cob;48;0,009500051;;
T; Cobol_85/IC103A.cob;497;0,152897096;;
T; Cobol_85/IC104A.cob;71;0,017808497;;
T; Cobol_85/IC105A.cob;64;0,01889993;;
T; Cobol_85/IC106A.cob;530;0,177604222;;
T; Cobol_85/IC107A.cob;109;0,041905272;;
T; Cobol_85/IC108A.cob;444;0,149896121;;
T; Cobol_85/IC109A.cob;65;0,027105784;;
T; Cobol_85/IC110A.cob;69;0,028655887;;
T; Cobol_85/IC111A.cob;56;0,023657167;;
T; Cobol_85/IC112A.cob;555;0,19016161;;
T; Cobol_85/IC113A.cob;78;0,025655782;;
T; Cobol_85/IC114A.cob;471;0,163616896;;
T; Cobol_85/IC115A.cob;213;0,08806684;;
T; Cobol_85/IC116M.cob;343;0,064649677;;
T; Cobol_85/IC117M.cob;71;0,014649844;;
T; Cobol_85/IC118M.cob;55;0,012500954;;
T; Cobol_85/IC201A.cob;619;0,19704951;;
T; Cobol_85/IC202A.cob;58;0,008849883;;
T; Cobol_85/IC203A.cob;683;0,222841823;;
T; Cobol_85/IC204A.cob;73;0,034628856;;
T; Cobol_85/IC205A.cob;70;0,025480139;;
T; Cobol_85/IC206A.cob;56;0,021102691;;
T; Cobol_85/IC207A.cob;479;0,164851439;;
T; Cobol_85/IC208A.cob;103;0,02566458;;
T; Cobol_85/IC209A.cob;352;0,106885004;;
T; Cobol_85/IC210A.cob;50;0,017350018;;
T; Cobol_85/IC211A.cob;40;0,015549982;;
T; Cobol_85/IC212A.cob;40;0,015850353;;
T; Cobol_85/IC213A.cob;341;0,103200054;;
T; Cobol_85/IC214A.cob;36;0,015049803;;
T; Cobol_85/IC215A.cob;40;0,01520021;;
T; Cobol_85/IC216A.cob;333;0,111599994;;
T; Cobol_85/IC217A.cob;48;0,018250084;;
T; Cobol_85/IC222A-1.cob;144;0,060699475;;
T; Cobol_85/IC222A.cob;1019;0,242504895;;
T; Cobol_85/IC223A-1.cob;129;0,044700181;;
T; Cobol_85/IC223A.cob;644;0,206166792;;
T; Cobol_85/IC224A-1.cob;128;0,042434406;;
T; Cobol_85/IC224A.cob;576;0,205352175;;
T; Cobol_85/IC225A-1.cob;122;0,04484992;;
T; Cobol_85/IC225A.cob;933;0,325526571;;
T; Cobol_85/IC226A-1.cob;119;0,039975989;;
T; Cobol_85/IC226A.cob;388;0,146834898;;
T; Cobol_85/IC227A-1.cob;232;0,077814507;;
T; Cobol_85/IC227A.cob;969;0,274688959;;
T; Cobol_85/IC228A.cob;445;0,149850321;;
T; Cobol_85/IC233A.cob;513;0,144502425;;
T; Cobol_85/IC234A.cob;737;0,157099545;;
T; Cobol_85/IC235A.cob;668;0,216302633;;
T; Cobol_85/IC237A-1.cob;107;0,043611038;;
T; Cobol_85/IC237A.cob;327;0,12460115;;
T; Cobol_85/IC401M.cob;74;0,040059721;;
T; Cobol_85/IF101A.cob;906;0,294342887;;
T; Cobol_85/IF102A.cob;617;0,203000093;;
T; Cobol_85/IF103A.cob;840;0,270407474;;
T; Cobol_85/IF104A.cob;927;0,292179263;;
T; Cobol_85/IF105A.cob;487;0,174409044;;
T; Cobol_85/IF106A.cob;1005;0,319816744;;
T; Cobol_85/IF107A.cob;379;0,144549942;;
T; Cobol_85/IF108A.cob;489;0,165000308;;
T; Cobol_85/IF109A.cob;451;0,158063769;;
T; Cobol_85/IF110A.cob;500;0,1713552;;
T; Cobol_85/IF111A.cob;731;0,243157256;;
T; Cobol_85/IF112A.cob;452;0,155552697;;
T; Cobol_85/IF113A.cob;451;0,159202027;;
T; Cobol_85/IF114A.cob;732;0,241479361;;
T; Cobol_85/IF115A.cob;450;0,16030196;;
T; Cobol_85/IF116A.cob;889;0,289539123;;
T; Cobol_85/IF117A.cob;1037;0,316558516;;
T; Cobol_85/IF118A.cob;544;0,184850013;;
T; Cobol_85/IF119A.cob;797;0,271949983;;
T; Cobol_85/IF120A.cob;684;0,228023922;;
T; Cobol_85/IF121A.cob;680;0,225918531;;
T; Cobol_85/IF122A.cob;680;0,221376014;;
T; Cobol_85/IF123A.cob;797;0,270050216;;
T; Cobol_85/IF124A.cob;761;0,250999868;;
T; Cobol_85/IF125A.cob;686;0,222468078;;
T; Cobol_85/IF126A.cob;886;0,282200623;;
T; Cobol_85/IF127A.cob;505;0,184627438;;
T; Cobol_85/IF128A.cob;647;0,222343254;;
T; Cobol_85/IF129A.cob;632;0,216963446;;
T; Cobol_85/IF130A.cob;818;0,260857534;;
T; Cobol_85/IF131A.cob;512;0,179239082;;
T; Cobol_85/IF132A.cob;633;0,213469017;;
T; Cobol_85/IF133A.cob;678;0,227732241;;
T; Cobol_85/IF134A.cob;546;0,180267096;;
T; Cobol_85/IF135A.cob;1036;0,331321061;;
T; Cobol_85/IF136A.cob;904;0,298499846;;
T; Cobol_85/IF137A.cob;725;0,243266034;;
T; Cobol_85/IF138A.cob;659;0,22602067;;
T; Cobol_85/IF139A.cob;992;0,317735589;;
T; Cobol_85/IF140A.cob;543;0,182323086;;
T; Cobol_85/IF141A.cob;692;0,223747861;;
T; Cobol_85/IF142A.cob;367;0,139761782;;
T; Cobol_85/IX101A.cob;507;0,162869418;;
T; Cobol_85/IX102A.cob;701;0,241579676;;
T; Cobol_85/IX103A.cob;757;0,248577321;;
T; Cobol_85/IX104A.cob;729;0,230839682;;
T; Cobol_85/IX105A.cob;875;0,27918303;;
T; Cobol_85/IX106A.cob;1233;0,43051362;;
T; Cobol_85/IX107A.cob;982;0,281800091;;
T; Cobol_85/IX108A.cob;1458;0,43630141;;
T; Cobol_85/IX109A.cob;1071;0,381180465;;
T; Cobol_85/IX110A.cob;620;0,287918425;;
T; Cobol_85/IX111A.cob;444;0,207541406;;
T; Cobol_85/IX112A.cob;876;0,335367;;
T; Cobol_85/IX113A.cob;769;0,311118078;;
T; Cobol_85/IX114A.cob;720;0,303368402;;
T; Cobol_85/IX115A.cob;721;0,306515396;;
T; Cobol_85/IX116A.cob;721;0,300973582;;
T; Cobol_85/IX117A.cob;720;0,313833833;;
T; Cobol_85/IX118A.cob;722;0,301801991;;
T; Cobol_85/IX119A.cob;731;0,297749865;;
T; Cobol_85/IX120A.cob;705;0,300900376;;
T; Cobol_85/IX121A.cob;762;0,310952806;;
T; Cobol_85/IX201A.cob;506;0,165006638;;
T; Cobol_85/IX202A.cob;664;0,210259235;;
T; Cobol_85/IX203A.cob;735;0,245822442;;
T; Cobol_85/IX204A.cob;739;0,233497751;;
T; Cobol_85/IX205A.cob;973;0,295403814;;
T; Cobol_85/IX206A.cob;892;0,278054368;;
T; Cobol_85/IX207A.cob;1081;0,313097;;
T; Cobol_85/IX208A.cob;1525;0,402850544;;
T; Cobol_85/IX209A.cob;2859;0,685115981;;
T; Cobol_85/IX210A.cob;2333;0,599909019;;
T; Cobol_85/IX211A.cob;1125;0,354607964;;
T; Cobol_85/IX212A.cob;1053;0,172713232;;
T; Cobol_85/IX213A.cob;1019;0,166071594;;
T; Cobol_85/IX214A.cob;2358;0,619608009;;
T; Cobol_85/IX215A.cob;2805;0,41710937;;
T; Cobol_85/IX216A.cob;792;0,25294255;;
T; Cobol_85/IX217A.cob;687;0,273454177;;
T; Cobol_85/IX218A.cob;613;0,235923326;;
T; Cobol_85/IX301M.cob;70;0,050740826;;
T; Cobol_85/IX401M.cob;84;0,059366441;;
T; Cobol_85/NC101A.cob;1867;0,599211526;;
T; Cobol_85/NC102A.cob;1503;0,507162797;;
T; Cobol_85/NC103A.cob;2140;0,696331108;;
T; Cobol_85/NC104A.cob;2851;0,892557573;;
T; Cobol_85/NC105A.cob;3117;1,002167368;;
T; Cobol_85/NC106A.cob;2533;0,787563753;;
T; Cobol_85/NC107A.cob;2033;5,224459207;;
T; Cobol_85/NC108M.cob;777;0,242910326;;
T; Cobol_85/NC109M.cob;964;0,313961422;;
T; Cobol_85/NC110M.cob;89;0,01033926;;
T; Cobol_85/NC111A.cob;478;0,121352899;;
T; Cobol_85/NC112A.cob;1027;0,142750227;;
T; Cobol_85/NC114M.cob;500;0,172499967;;
T; Cobol_85/NC115A.cob;1104;0,179549909;;
T; Cobol_85/NC116A.cob;1493;0,499799812;;
T; Cobol_85/NC117A.cob;1208;0,414750063;;
T; Cobol_85/NC118A.cob;1037;0,30081234;;
T; Cobol_85/NC119A.cob;1176;0,372702432;;
T; Cobol_85/NC120A.cob;1147;0,185356319;;
T; Cobol_85/NC121M.cob;1288;0,174851942;;
T; Cobol_85/NC122A.cob;1038;0,175506163;;
T; Cobol_85/NC123A.cob;1129;0,158935487;;
T; Cobol_85/NC124A.cob;2354;0,724799073;;
T; Cobol_85/NC125A.cob;750;0,255799997;;
T; Cobol_85/NC126A.cob;2636;0,941365159;;
T; Cobol_85/NC127A.cob;349;0,109254456;;
T; Cobol_85/NC131A.cob;468;0,163101816;;
T; Cobol_85/NC132A.cob;794;0,256078148;;
T; Cobol_85/NC133A.cob;713;0,256877971;;
T; Cobol_85/NC134A.cob;713;0,242012262;;
T; Cobol_85/NC135A.cob;521;0,171699977;;
T; Cobol_85/NC136A.cob;489;0,135700011;;
T; Cobol_85/NC137A.cob;503;0,134399593;;
T; Cobol_85/NC138A.cob;654;0,215202117;;
T; Cobol_85/NC139A.cob;617;0,203701007;;
T; Cobol_85/NC140A.cob;749;0,216437578;;
T; Cobol_85/NC141A.cob;507;0,118901372;;
T; Cobol_85/NC170A.cob;2015;0,68075043;;
T; Cobol_85/NC171A.cob;2268;0,788892889;;
T; Cobol_85/NC172A.cob;2215;0,766693985;;
T; Cobol_85/NC173A.cob;2218;0,747749901;;
T; Cobol_85/NC175A.cob;2079;0,671950114;;
T; Cobol_85/NC176A.cob;2417;0,793954051;;
T; Cobol_85/NC177A.cob;2137;0,678504515;;
T; Cobol_85/NC201A.cob;2120;0,7037449;;
T; Cobol_85/NC202A.cob;2219;0,662578177;;
T; Cobol_85/NC203A.cob;1693;0,519034827;;
T; Cobol_85/NC204M.cob;1207;0,392736578;;
T; Cobol_85/NC205A.cob;804;10,68333614;;
T; Cobol_85/NC206A.cob;1695;0,546947658;;
T; Cobol_85/NC207A.cob;2723;0,9227795;;
T; Cobol_85/NC208A.cob;1130;0,386673021;;
T; Cobol_85/NC209A.cob;966;0,347360885;;
T; Cobol_85/NC210A.cob;737;0,264699924;;
T; Cobol_85/NC211A.cob;1896;0,593706906;;
T; Cobol_85/NC214M.cob;409;0,157454038;;
T; Cobol_85/NC215A.cob;483;0,180053461;;
T; Cobol_85/NC216A.cob;2227;0,726961541;;
T; Cobol_85/NC217A.cob;2187;0,657374406;;
T; Cobol_85/NC218A.cob;3077;0,990770626;;
T; Cobol_85/NC219A.cob;591;0,188930261;;
T; Cobol_85/NC220M.cob;1037;0,350834024;;
T; Cobol_85/NC221A.cob;961;0,313001502;;
T; Cobol_85/NC222A.cob;552;0,202151978;;
T; Cobol_85/NC223A.cob;2290;0,708542192;;
T; Cobol_85/NC224A.cob;647;0,218535018;;
T; Cobol_85/NC225A.cob;1924;0,598891401;;
T; Cobol_85/NC231A.cob;1110;0,190458083;;
T; Cobol_85/NC232A.cob;923;0,309611893;;
T; Cobol_85/NC233A.cob;881;0,213033688;;
T; Cobol_85/NC234A.cob;922;0,302912056;;
T; Cobol_85/NC235A.cob;626;0,210749924;;
T; Cobol_85/NC236A.cob;584;0,202708232;;
T; Cobol_85/NC237A.cob;661;0,231813025;;
T; Cobol_85/NC238A.cob;658;0,229151475;;
T; Cobol_85/NC239A.cob;528;0,132853723;;
T; Cobol_85/NC240A.cob;693;0,255261207;;
T; Cobol_85/NC241A.cob;671;0,249837434;;
T; Cobol_85/NC242A.cob;575;0,253225422;;
T; Cobol_85/NC243A.cob;702;0,269200206;;
T; Cobol_85/NC244A.cob;511;0,174667633;;
T; Cobol_85/NC245A.cob;537;0,171401155;;
T; Cobol_85/NC246A.cob;1320;0,468938851;;
T; Cobol_85/NC247A.cob;864;0,296350729;;
T; Cobol_85/NC248A.cob;621;0,222891748;;
T; Cobol_85/NC250A.cob;1971;0,686280358;;
T; Cobol_85/NC251A.cob;1417;0,497257435;;
T; Cobol_85/NC252A.cob;1710;0,576677573;;
T; Cobol_85/NC253A.cob;1978;0,59130429;;
T; Cobol_85/NC254A.cob;671;0,290555668;;
T; Cobol_85/OBIC1A.cob;80;0,029901767;;
T; Cobol_85/OBIC2A.cob;310;0,082878685;;
T; Cobol_85/OBIC3A.cob;336;0,107877541;;
T; Cobol_85/OBNC2M.cob;929;0,331057727;;
T; Cobol_85/OBSQ1A.cob;629;0,199429071;;
T; Cobol_85/OBSQ3A.cob;647;0,244679666;;
T; Cobol_85/OBSQ4A.cob;574;0,204078722;;
T; Cobol_85/OBSQ5A.cob;626;0,220034242;;
T; Cobol_85/RL101A.cob;457;0,155285335;;
T; Cobol_85/RL102A.cob;617;0,218709517;;
T; Cobol_85/RL103A.cob;617;0,216279697;;
T; Cobol_85/RL104A.cob;639;0,226134229;;
T; Cobol_85/RL105A.cob;633;0,232042122;;
