mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; TestFiles/pytest/comment_normal_test_file.COB; 17 ; 0,0028192877769470217 ; 0,2916 ; 103,43037783669276 
T; TestFiles/pytest/evaluate_if_mix_test_file.COB; 21 ; 0,027049291133880615 ; 0,29369999999999996 ; 10,85795552076874 
T; TestFiles/pytest/evaluate_simple_test_file.COB; 13 ; 0,02388951778411865 ; 0,28315 ; 11,8524786711364 
T; TestFiles/pytest/exec_sql_all_forms_test_file.COB; 20 ; 0,025436866283416747 ; 0,29769999999999996 ; 11,703485668518917 
T; TestFiles/pytest/if_both_branch_test_file.COB; 10 ; 0,031849789619445804 ; 0,2948 ; 9,255948108995064 
T; TestFiles/pytest/if_condition_base_test_file.COB; 8 ; 0,003200125694274902 ; 0,30765000000000003 ; 96,136848796406 
T; TestFiles/pytest/if_condition_case_insensitive_test_file.COB; 9 ; 0,002950119972229004 ; 0,3014 ; 102,16533660909832 
T; TestFiles/pytest/if_condition_three_lines_test_file.COB; 10 ; 0,003099524974822998 ; 0,29910000000000003 ; 96,4986578361352 
T; TestFiles/pytest/if_condition_two_lines_test_file.COB; 9 ; 0,0030495285987854003 ; 0,2956 ; 96,93301453796327 
T; TestFiles/pytest/if_left_branch_test_file.COB; 10 ; 0,022749221324920653 ; 0,28985 ; 12,74109543619779 
T; TestFiles/pytest/if_nested_both_branch_test_file.COB; 14 ; 0,0031762957572937013 ; 0,29214999999999997 ; 91,97821057095781 
T; TestFiles/pytest/if_nested_left_branch_test_file.COB; 12 ; 0,0028528571128845215 ; 0,2860499999999999 ; 100,26790290621145 
T; TestFiles/pytest/if_nested_right_branch_test_file.COB; 12 ; 0,002449321746826172 ; 0,28925 ; 118,09391737725343 
T; TestFiles/pytest/if_normal_test_file.COB; 10 ; 0,002749776840209961 ; 0,30015 ; 109,15431231033347 
T; TestFiles/pytest/if_no_end-if_test_file.COB; 10 ; 0,002649581432342529 ; 0,29929999999999995 ; 112,96123846074244 
T; TestFiles/pytest/if_right_branch_test_file.COB; 10 ; 0,02419910430908203 ; 0,29219999999999996 ; 12,07482707904755 
T; TestFiles/pytest/if_squish_end_test_file.COB; 21 ; 0,026299870014190672 ; 0,29800000000000004 ; 11,330854480999625 
T; TestFiles/pytest/if_squish_middle_test_file.COB; 20 ; 0,025198531150817872 ; 0,29714999999999997 ; 11,79235401545837 
T; TestFiles/pytest/if_squish_start_test_file.COB; 21 ; 0,02685025930404663 ; 0,3013 ; 11,221493118116397 
T; TestFiles/pytest/if_three_to_squish_test_file.COB; 14 ; 0,00299687385559082 ; 0,29284999999999994 ; 97,71849404127352 
T; TestFiles/pytest/if_two_to_squish_test_file.COB; 14 ; 0,025299012660980225 ; 0,2885999999999999 ; 11,407559807467125 
T; TestFiles/pytest/next_sentence_test_file.COB; 13 ; 0,003450000286102295 ; 0,30075 ; 87,17390581430304 
T; TestFiles/pytest/next_sentence_v2_test_file.COB; 13 ; 0,0032495975494384764 ; 0,30450000000000005 ; 93,70391113589343 
T; TestFiles/pytest/performThru_base_test_file.COB; 21 ; 0,0020998239517211912 ; 0,28915 ; 137,70202009696504 
T; TestFiles/pytest/performThru_broken_goto_test_file.COB; 22 ; 0,0020466923713684084 ; 0,28664999999999996 ; 140,05524426142614 
T; TestFiles/pytest/performThru_chained_test_file.COB; 22 ; 0,0021449804306030275 ; 0,28865 ; 134,56999228606045 
T; TestFiles/pytest/performThru_goto_test_file.COB; 22 ; 0,0019495606422424317 ; 0,29494999999999993 ; 151,29049777120107 
T; TestFiles/pytest/perform_base_test_file.COB; 21 ; 0,002149784564971924 ; 0,28270000000000006 ; 131,5015488557534 
T; TestFiles/pytest/perform_broken_goto_test_file.COB; 22 ; 0,0018996953964233398 ; 0,24690000000000004 ; 129,96820462104196 
T; TestFiles/pytest/perform_chained_test_file.COB; 21 ; 0,0019498944282531738 ; 0,27819999999999995 ; 142,6743909665034 
T; TestFiles/pytest/string_normal_test_file.COB; 10 ; 0,0028002262115478516 ; 0,29935 ; 106,90207768412091 
T; TestFiles/pytest/string_on_two_lines_test_file.COB; 11 ; 0,0024994492530822756 ; 0,2938 ; 117,5458952157925 
