mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; TestFiles/pytest/comment_normal_test_file.COB; 17 ; 0,0021502852439880373 ; 0,3241 ; 150,72418922380098 
T; TestFiles/pytest/evaluate_if_mix_test_file.COB; 21 ; 0,002299976348876953 ; 0,318 ; 138,2622913297674 
T; TestFiles/pytest/evaluate_simple_test_file.COB; 13 ; 0,0024501681327819824 ; 0,3236 ; 132,07256909042255 
T; TestFiles/pytest/exec_sql_all_forms_test_file.COB; 20 ; 0,0020499944686889647 ; 0,3155 ; 153,9028542851494 
T; TestFiles/pytest/if_both_branch_test_file.COB; 10 ; 0,00235062837600708 ; 0,305 ; 129,7525389862312 
T; TestFiles/pytest/if_condition_base_test_file.COB; 8 ; 0,00225067138671875 ; 0,32460000000000006 ; 144,2236311864407 
T; TestFiles/pytest/if_condition_case_insensitive_test_file.COB; 9 ; 0,002350187301635742 ; 0,30774999999999997 ; 130,94700996205896 
T; TestFiles/pytest/if_condition_three_lines_test_file.COB; 10 ; 0,0020995259284973143 ; 0,31725 ; 151,10554039552352 
T; TestFiles/pytest/if_condition_two_lines_test_file.COB; 9 ; 0,0021498680114746095 ; 0,31809999999999994 ; 147,96257179612292 
T; TestFiles/pytest/if_left_branch_test_file.COB; 10 ; 0,002349448204040527 ; 0,31605 ; 134,520948134317 
T; TestFiles/pytest/if_nested_both_branch_test_file.COB; 14 ; 0,0025503039360046387 ; 0,30939999999999995 ; 121,3188732652441 
T; TestFiles/pytest/if_nested_left_branch_test_file.COB; 12 ; 0,0022482872009277344 ; 0,3177 ; 141,3075695440085 
T; TestFiles/pytest/if_nested_right_branch_test_file.COB; 12 ; 0,0020998835563659666 ; 0,32065000000000005 ; 152,6989432475547 
T; TestFiles/pytest/if_normal_test_file.COB; 10 ; 0,0021995067596435546 ; 0,31115000000000004 ; 141,4635343291348 
T; TestFiles/pytest/if_no_end-if_test_file.COB; 10 ; 0,0023624181747436525 ; 0,32314999999999994 ; 136,7878064327308 
T; TestFiles/pytest/if_right_branch_test_file.COB; 10 ; 0,0025498151779174806 ; 0,33330000000000004 ; 130,71535650368875 
T; TestFiles/pytest/if_squish_end_test_file.COB; 21 ; 0,0028998255729675293 ; 0,3209000000000001 ; 110,66182841873757 
T; TestFiles/pytest/if_squish_middle_test_file.COB; 20 ; 0,0027001500129699707 ; 0,32130000000000003 ; 118,99338868457652 
T; TestFiles/pytest/if_squish_start_test_file.COB; 21 ; 0,0027501702308654783 ; 0,3186000000000001 ; 115,8473742549881 
T; TestFiles/pytest/if_three_to_squish_test_file.COB; 14 ; 0,002649986743927002 ; 0,3602 ; 135,92520823942743 
T; TestFiles/pytest/if_two_to_squish_test_file.COB; 14 ; 0,002349841594696045 ; 0,33675 ; 143,30753220136057 
T; TestFiles/pytest/next_sentence_test_file.COB; 13 ; 0,002650022506713867 ; 0,33220000000000005 ; 125,35742589293748 
T; TestFiles/pytest/next_sentence_v2_test_file.COB; 13 ; 0,002249634265899658 ; 0,31334999999999996 ; 139,28930793321075 
T; TestFiles/pytest/performThru_base_test_file.COB; 21 ; 0,0019495844841003417 ; 0,33979999999999994 ; 174,29354961080568 
T; TestFiles/pytest/performThru_broken_goto_test_file.COB; 22 ; 0,00199965238571167 ; 0,33440000000000003 ; 167,22906560631444 
T; TestFiles/pytest/performThru_chained_test_file.COB; 22 ; 0,002099931240081787 ; 0,28795000000000004 ; 137,1235374301042 
T; TestFiles/pytest/performThru_goto_test_file.COB; 22 ; 0,0021000266075134276 ; 0,2890500000000001 ; 137,6411131963012 
T; TestFiles/pytest/perform_base_test_file.COB; 21 ; 0,002000093460083008 ; 0,30369999999999997 ; 151,84290437477648 
T; TestFiles/pytest/perform_broken_goto_test_file.COB; 22 ; 0,0021502017974853516 ; 0,32285 ; 150,14869784667243 
T; TestFiles/pytest/perform_chained_test_file.COB; 21 ; 0,001999521255493164 ; 0,30825 ; 154,16190208189255 
T; TestFiles/pytest/string_normal_test_file.COB; 10 ; 0,0023000478744506837 ; 0,30955000000000005 ; 134,58415515543533 
T; TestFiles/pytest/string_on_two_lines_test_file.COB; 11 ; 0,0023008108139038084 ; 0,31445000000000006 ; 136,6692116100018 
