mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; TestFiles/pytest/comment_normal_test_file.COB; 17 ; 0,0028504014015197756 ; 0,29905 ; 104,91504804921604 
T; TestFiles/pytest/evaluate_if_mix_test_file.COB; 21 ; 0,0035500407218933107 ; 0,2909 ; 81,94272201048358 
T; TestFiles/pytest/evaluate_simple_test_file.COB; 13 ; 0,0035996794700622558 ; 0,29645 ; 82,35455475008527 
T; TestFiles/pytest/exec_sql_all_forms_test_file.COB; 20 ; 0,0021501660346984865 ; 0,30069999999999997 ; 139,84966516419115 
T; TestFiles/pytest/if_both_branch_test_file.COB; 10 ; 0,003499042987823486 ; 0,2915 ; 83,30849349790986 
T; TestFiles/pytest/if_condition_base_test_file.COB; 8 ; 0,002801167964935303 ; 0,29015 ; 103,58179289213079 
T; TestFiles/pytest/if_condition_case_insensitive_test_file.COB; 9 ; 0,0033004283905029297 ; 0,2952 ; 89,44293439283393 
T; TestFiles/pytest/if_condition_three_lines_test_file.COB; 10 ; 0,0030494451522827147 ; 0,29425 ; 96,4929635739584 
T; TestFiles/pytest/if_condition_two_lines_test_file.COB; 9 ; 0,0031996726989746093 ; 0,30055 ; 93,93148245953921 
T; TestFiles/pytest/if_left_branch_test_file.COB; 10 ; 0,00305020809173584 ; 0,3027 ; 99,2391308711455 
T; TestFiles/pytest/if_nested_both_branch_test_file.COB; 14 ; 0,0029999613761901855 ; 0,3010999999999999 ; 100,36795886431818 
T; TestFiles/pytest/if_nested_left_branch_test_file.COB; 12 ; 0,002750504016876221 ; 0,297 ; 107,98020950985787 
T; TestFiles/pytest/if_nested_right_branch_test_file.COB; 12 ; 0,0028004884719848634 ; 0,29985000000000006 ; 107,07060678863624 
T; TestFiles/pytest/if_normal_test_file.COB; 10 ; 0,0026996016502380373 ; 0,29905000000000004 ; 110,77560275369935 
T; TestFiles/pytest/if_no_end-if_test_file.COB; 10 ; 0,0027998924255371095 ; 0,2904 ; 103,71827051330085 
T; TestFiles/pytest/if_right_branch_test_file.COB; 10 ; 0,003299379348754883 ; 0,29940000000000005 ; 90,74433957192203 
T; TestFiles/pytest/if_squish_end_test_file.COB; 21 ; 0,0036997079849243166 ; 0,2993 ; 80,89827662604638 
T; TestFiles/pytest/if_squish_middle_test_file.COB; 20 ; 0,0032997727394104004 ; 0,3144000000000001 ; 95,27928885677647 
T; TestFiles/pytest/if_squish_start_test_file.COB; 21 ; 0,0035497307777404784 ; 0,2922 ; 82,31610178223009 
T; TestFiles/pytest/if_three_to_squish_test_file.COB; 14 ; 0,0030499577522277834 ; 0,29169999999999996 ; 95,64066905088546 
T; TestFiles/pytest/if_two_to_squish_test_file.COB; 14 ; 0,0031997323036193847 ; 0,3035 ; 94,85168482897625 
T; TestFiles/pytest/next_sentence_test_file.COB; 13 ; 0,003499734401702881 ; 0,29435 ; 84,10638243198593 
T; TestFiles/pytest/next_sentence_v2_test_file.COB; 13 ; 0,003349447250366211 ; 0,29124999999999995 ; 86,95464601454948 
T; TestFiles/pytest/performThru_base_test_file.COB; 21 ; 0,0021501779556274414 ; 0,29405000000000003 ; 136,7561225480956 
T; TestFiles/pytest/performThru_broken_goto_test_file.COB; 22 ; 0,001899552345275879 ; 0,29395 ; 154,7469859048862 
T; TestFiles/pytest/performThru_chained_test_file.COB; 22 ; 0,0019992709159851072 ; 0,29439999999999994 ; 147,2536801521665 
T; TestFiles/pytest/performThru_goto_test_file.COB; 22 ; 0,0018996477127075195 ; 0,25055 ; 131,8928758863913 
T; TestFiles/pytest/perform_base_test_file.COB; 21 ; 0,002299380302429199 ; 0,28925 ; 125,79476291695615 
T; TestFiles/pytest/perform_broken_goto_test_file.COB; 22 ; 0,0020306944847106934 ; 0,24775 ; 122,0025965822703 
T; TestFiles/pytest/perform_chained_test_file.COB; 21 ; 0,0020495176315307615 ; 0,17415 ; 84,97121338250179 
T; TestFiles/pytest/string_normal_test_file.COB; 10 ; 0,0026999950408935548 ; 0,286 ; 105,92612048107658 
T; TestFiles/pytest/string_on_two_lines_test_file.COB; 11 ; 0,0029498934745788574 ; 0,29284999999999994 ; 99,27477128366772 
