mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,026249313;0,27265;10,38693837
T; raincodeData/parseTests/ALCB0182.COB;2089;0,06079942;0,29275;4,815013047
T; raincodeData/parseTests/ALCB0183.COB;3017;0,102120185;0,3013;2,950445108
T; raincodeData/parseTests/ALCB0184.COB;4061;0,159549248;0,2939;1,842064461
T; raincodeData/parseTests/ALCB0185.COB;5047;0,226041746;0,2954;1,30683825
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,733769834;0,4493;0,61231735
T; raincodeData/parseTests/ALCB01820K.COB;20010;2,724230254;0,5784;0,212316855
T; raincodeData/parseTests/ALCB01830K.COB;30025;5,894050884;0,6692;0,113538212
T; raincodeData/parseTests/ALCB01840K.COB;40019;10,42754623;0,62815;0,060239484
T; raincodeData/parseTests/ALCB01850K.COB;50012;16,2460488;0,7378;0,045414119
