mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,05643785;0,30975;5,488338057
T; raincodeData/parseTests/ALCB0182.COB;2089;0,117295313;0,28805;2,455767353
T; raincodeData/parseTests/ALCB0183.COB;3017;0,195880532;0,3092;1,57851317
T; raincodeData/parseTests/ALCB0184.COB;4061;0,286584592;0,32465;1,132824336
T; raincodeData/parseTests/ALCB0185.COB;5047;0,412336898;0,30505;0,739807671
T; raincodeData/parseTests/ALCB01810K.COB;10006;1,609299958;0,45215;0,280960674
T; raincodeData/parseTests/ALCB01820K.COB;20010;5,798756278;0,5214;0,089915833
T; raincodeData/parseTests/ALCB01830K.COB;30025;13,03127813;0,70225;0,053889572
T; raincodeData/parseTests/ALCB01840K.COB;40019;24,07101378;0,6307;0,026201638
T; raincodeData/parseTests/ALCB01850K.COB;50012;38,51914787;0,71565;0,018579071
