mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; Cobol_85\IC214A.cob;36;0,005949283;0,31635;53,17447814
T; Cobol_85\IC211A.cob;40;0,006649864;0,313;47,06863376
T; Cobol_85\IC212A.cob;40;0,006099391;0,31805;52,14455031
T; Cobol_85\IC215A.cob;40;0,006100154;0,29325;48,07255746
T; Cobol_85\IC102A.cob;48;0,00590024;0,3157;53,50629855
T; Cobol_85\IC217A.cob;48;0,006799281;0,3011;44,28409648
T; Cobol_85\IC210A.cob;50;0,00774945;0,3367;43,44824355
T; Cobol_85\IC118M.cob;55;0,005949819;0,2969;49,90067691
T; Cobol_85\IC111A.cob;56;0,008449435;0,3238;38,32208793
T; Cobol_85\IC206A.cob;56;0,007799435;0,322;41,28504359
T; Cobol_85\IC202A.cob;58;0,006450045;0,3052;47,31749854
T; Cobol_85\IC105A.cob;64;0,007899487;0,32505;41,14824155
T; Cobol_85\IC109A.cob;65;0,009299707;0,34295;36,87750429
T; Cobol_85\RL301M.cob;67;0,009349835;0,2443;26,12880357
T; Cobol_85\ST113M.cob;67;0,007149613;0,2657;37,16285113
T; Cobol_85\IC110A.cob;69;0,009550655;0,27775;29,08177536
T; Cobol_85\IC205A.cob;70;0,009949207;0,3149;31,65076275
T; Cobol_85\IX301M.cob;70;0,009949875;0,31775;31,93507495
T; Cobol_85\IC104A.cob;71;0,007150352;0,2701;37,77436411
T; Cobol_85\IC117M.cob;71;0,006499696;0,31785;48,90228879
T; Cobol_85\IC204A.cob;73;0,009049439;0,271;29,94660632
T; Cobol_85\IC401M.cob;74;0,007699406;0,3191;41,44475482
T; Cobol_85\IC113A.cob;78;0,010449815;0,2635;25,2157579
T; Cobol_85\RL401M.cob;78;0,012649417;0,29325;23,18288675
T; Cobol_85\ST102A.cob;78;0,012599671;0,33015;26,20306538
T; Cobol_85\ST120A.cob;78;0,012300038;0,35735;29,05275497
T; Cobol_85\OBIC1A.cob;80;0,009278595;0,33605;36,21776614
T; Cobol_85\IX401M.cob;84;0,011899734;0,2839;23,85767706
T; Cobol_85\NC110M.cob;89;0,009750545;0,29955;30,7213596
T; Cobol_85\IC208A.cob;103;0,009949946;0,30265;30,41724927
T; Cobol_85\ST110A.cob;105;0,009099627;0,24405;26,81978199
T; Cobol_85\IC237A-1.cob;107;0,012749791;0,29185;22,89057104
T; Cobol_85\IC107A.cob;109;0,013899899;0,2886;20,7627415
T; Cobol_85\IC226A-1.cob;119;0,013849211;0,3161;22,82440537
T; Cobol_85\ST123A.cob;121;0,010499632;0,3061;29,15340171
T; Cobol_85\IC225A-1.cob;122;0,014088356;0,3156;22,40147743
T; Cobol_85\IC224A-1.cob;128;0,014950132;0,2882;19,27742129
T; Cobol_85\IC223A-1.cob;129;0,015752137;0,33365;21,18125345
T; Cobol_85\IC222A-1.cob;144;0,01644913;0,27955;16,99482022
T; Cobol_85\ST116A.cob;184;0,027400303;0,3162;11,54001842
T; Cobol_85\IC115A.cob;213;0,022499835;0,2646;11,76008598
T; Cobol_85\IC227A-1.cob;232;0,022349668;0,24375;10,9062025
T; Cobol_85\OBIC2A.cob;310;0,030550039;0,3202;10,48116508
T; Cobol_85\SM107A.cob;312;0,023299801;0;0
T; Cobol_85\IC237A.cob;327;0,031799746;0,3294;10,35857345
T; Cobol_85\IC216A.cob;333;0,033099592;0,32265;9,747854373
T; Cobol_85\OBIC3A.cob;336;0,034730816;0,319;9,184926753
T; Cobol_85\IC213A.cob;341;0,033149457;0,29655;8,945847897
T; Cobol_85\IC116M.cob;343;0,026649928;0,32165;12,06945095
T; Cobol_85\NC127A.cob;349;0,033450103;0,2153;6,436452565
T; Cobol_85\IC209A.cob;352;0,034049523;0,33895;9,954618196
T; Cobol_85\ST104A.cob;352;0,038150048;0,32475;8,512440085
T; Cobol_85\IF142A.cob;367;0,027299726;0,33315;12,20341918
T; Cobol_85\ST109A.cob;368;0,037004197;0,32275;8,721983701
T; Cobol_85\SQ210M.cob;374;0,03644942;0,2948;8,087920092
T; Cobol_85\ST122A.cob;377;0,038899219;0,32115;8,25594981
T; Cobol_85\IF107A.cob;379;0,031298959;0,3274;10,46041171
T; Cobol_85\SM203A.cob;379;0,049200082;0;0
T; Cobol_85\IC101A.cob;382;0,036148286;0,32805;9,075119114
T; Cobol_85\ST112M.cob;386;0,023916566;0,319;13,33803503
T; Cobol_85\IC226A.cob;388;0,038349211;0,26565;6,927130743
T; Cobol_85\SM102A.cob;393;0,040599859;0,30835;7,594854007
T; Cobol_85\SM204A.cob;397;0,040200317;0,29735;7,396707859
T; Cobol_85\ST106A.cob;400;0,041149592;0,2273;5,523748517
T; Cobol_85\NC214M.cob;409;0,03915;0,34855;8,902937507
T; Cobol_85\SG202A.cob;432;0,049249554;0,33855;6,874173971
T; Cobol_85\ST125A.cob;434;0,0479496;0,35285;7,35876834
T; Cobol_85\SQ207M.cob;440;0,042148805;0,3511;8,330010846
T; Cobol_85\IC108A.cob;444;0,043899775;0,28585;6,511422961
T; Cobol_85\IX111A.cob;444;0,05210036;0,2612;5,013401021
T; Cobol_85\RL201A.cob;444;0,044553971;0,3411;7,655883193
T; Cobol_85\RL212A.cob;444;0,042849422;0,33995;7,933596023
T; Cobol_85\IC228A.cob;445;0,043449652;0,32125;7,393614995
T; Cobol_85\ST105A.cob;445;0,047706747;0,3446;7,22329694
T; Cobol_85\SQ202A.cob;448;0,042899811;0,3418;7,967401019
T; Cobol_85\SM104A.cob;449;0,045949554;0,34615;7,533261295
T; Cobol_85\IF115A.cob;450;0,036999571;0,34065;9,206863426
T; Cobol_85\IF109A.cob;451;0,034450674;0,22915;6,65153894
T; Cobol_85\IF113A.cob;451;0,036099803;0,26255;7,272892784
T; Cobol_85\IF112A.cob;452;0,040299594;0,3142;7,796604523
T; Cobol_85\RL101A.cob;457;0,047879791;0,3209;6,702201316
T; Cobol_85\SQ209M.cob;459;0,03974874;0,3208;8,070696038
T; Cobol_85\RL209A.cob;460;0,045249093;0,31515;6,964780552
T; Cobol_85\RL108A.cob;462;0,046799672;0,35505;7,586591689
T; Cobol_85\ST114M.cob;467;0,052339852;0,3564;6,809342926
T; Cobol_85\NC131A.cob;468;0,046500516;0,33685;7,244005646
T; Cobol_85\IC114A.cob;471;0,047797477;0,239;5,0002639
T; Cobol_85\ST103A.cob;473;0,054099905;0,32255;5,962117624
T; Cobol_85\ST121A.cob;473;0,050599945;0,3554;7,023723106
T; Cobol_85\RL213A.cob;475;0,048299432;0,3187;6,598421309
T; Cobol_85\NC111A.cob;478;0,052150202;0,3324;6,373896716
T; Cobol_85\IC207A.cob;479;0,048748934;0,33645;6,90168934
T; Cobol_85\SQ143A.cob;479;0,048644686;0,3612;7,425271527
T; Cobol_85\NC215A.cob;483;0,051450419;0,3265;6,345915226
T; Cobol_85\SG103A.cob;485;0,050299859;0,33265;6,613338612
T; Cobol_85\IF105A.cob;487;0,043199539;0,343;7,93989951
T; Cobol_85\RL210A.cob;487;0,052648997;0,20765;3,944044723
T; Cobol_85\IF108A.cob;489;0,039249361;0,34835;8,875303827
T; Cobol_85\NC136A.cob;489;0,051999927;0,2362;4,542314107
T; Cobol_85\SQ111A.cob;491;0,050799763;0,31125;6,126997064
T; Cobol_85\IC103A.cob;497;0,051099336;0,3154;6,172291536
T; Cobol_85\ST111A.cob;497;0,054349267;0,34115;6,276993524
T; Cobol_85\IF110A.cob;500;0,041849923;0,3192;7,627254152
T; Cobol_85\NC114M.cob;500;0,048650193;0,32235;6,625872966
T; Cobol_85\NC137A.cob;503;0,060849476;0,29365;4,825842718
T; Cobol_85\SQ154A.cob;503;0,048700547;0,3372;6,92394684
T; Cobol_85\IF127A.cob;505;0,043950093;0,324;7,371998087
T; Cobol_85\SQ149A.cob;505;0,048049486;0,29645;6,169681023
T; Cobol_85\IX201A.cob;506;0,047600472;0,2828;5,941117562
