mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; Cobol_85\IC101A.cob;382;0,107184637;0,31215;2,912264387
T; Cobol_85\IC102A.cob;48;0,011549056;0,2986;25,85492797
T; Cobol_85\IC103A.cob;497;0,145091522;0,327;2,253749882
T; Cobol_85\IC104A.cob;71;0,018232453;0,27685;15,18446267
T; Cobol_85\IC105A.cob;64;0,021336997;0,30945;14,50297839
T; Cobol_85\IC106A.cob;530;0,158015227;0,30815;1,950128511
T; Cobol_85\IC107A.cob;109;0,042249537;0,2732;6,466343126
T; Cobol_85\IC108A.cob;444;0,13759973;0,32095;2,332490034
T; Cobol_85\IC109A.cob;65;0,026094472;0,2895;11,09430363
T; Cobol_85\IC110A.cob;69;0,026149774;0,3044;11,64063616
T; Cobol_85\IC111A.cob;56;0,022799909;0,3051;13,38163229
T; Cobol_85\IC112A.cob;555;0,173199546;0,2916;1,683607181
T; Cobol_85\IC113A.cob;78;0,026748562;0,3081;11,51837626
T; Cobol_85\IC114A.cob;471;0,144653082;0,3155;2,181080388
T; Cobol_85\IC115A.cob;213;0,080699646;0,3105;3,847600499
T; Cobol_85\IC116M.cob;343;0,059439516;0,3028;5,094254126
T; Cobol_85\IC117M.cob;71;0,01648941;0,265;16,07092028
T; Cobol_85\IC118M.cob;55;0,014599395;0,29805;20,41522982
T; Cobol_85\IC201A.cob;619;0,184132659;0,30275;1,644195011
T; Cobol_85\IC202A.cob;58;0,011703694;0,3208;27,41014962
T; Cobol_85\IC203A.cob;683;0,194553483;0,32245;1,657384878
T; Cobol_85\IC204A.cob;73;0,033849943;0,3156;9,323501754
T; Cobol_85\IC205A.cob;70;0,024999166;0,3009;12,03640176
T; Cobol_85\IC206A.cob;56;0,021583998;0,3116;14,43662092
T; Cobol_85\IC207A.cob;479;0,144377387;0,3054;2,115289709
T; Cobol_85\IC208A.cob;103;0,027799642;0,2661;9,572065683
T; Cobol_85\IC209A.cob;352;0,097149026;0,18865;1,941861972
T; Cobol_85\IC210A.cob;50;0,017600095;0,2462;13,98856064
T; Cobol_85\IC211A.cob;40;0,017399919;0,2931;16,84490597
T; Cobol_85\IC212A.cob;40;0,017750609;0,30395;17,12335624
T; Cobol_85\IC213A.cob;341;0,096604121;0,24985;2,586328597
T; Cobol_85\IC214A.cob;36;0,015949368;0,22485;14,09773687
T; Cobol_85\IC215A.cob;40;0,017083943;0,2499;14,62777074
T; Cobol_85\IC216A.cob;333;0,101549423;0,28905;2,846397273
T; Cobol_85\IC217A.cob;48;0,022893584;0,3105;13,56275204
T; Cobol_85\IC222A-1.cob;144;0,05556972;0,25165;4,52854538
T; Cobol_85\IC222A.cob;1019;0,2245507;0,25165;1,120682322
T; Cobol_85\IC223A-1.cob;129;0,044048882;0,29745;6,752725374
T; Cobol_85\IC223A.cob;644;0,196900177;0,264;1,340780918
T; Cobol_85\IC224A-1.cob;128;0,04239893;0,2433;5,738352414
T; Cobol_85\IC224A.cob;576;0,179299986;0,26235;1,463190295
T; Cobol_85\IC225A-1.cob;122;0,040849543;0,3305;8,090665864
T; Cobol_85\IC225A.cob;933;0,307653177;0,2871;0,933193679
T; Cobol_85\IC226A-1.cob;119;0,039499402;0,2735;6,924155451
T; Cobol_85\IC226A.cob;388;0,136072528;0,32105;2,359403502
T; Cobol_85\IC227A-1.cob;232;0,076789916;0,31615;4,117077063
T; Cobol_85\IC227A.cob;969;0,26560055;0,3087;1,162271689
T; Cobol_85\IC228A.cob;445;0,138649416;0,24685;1,780389757
T; Cobol_85\IC233A.cob;513;0,139246869;0,3371;2,420880284
T; Cobol_85\IC234A.cob;737;0,13999927;0,3383;2,416441164
T; Cobol_85\IC235A.cob;668;0,196799242;0,29905;1,519568857
T; Cobol_85\IC237A-1.cob;107;0,045649219;0,28815;6,312265776
T; Cobol_85\IC237A.cob;327;0,126148856;0,27255;2,160542785
T; Cobol_85\IC401M.cob;74;0,027849436;0,23485;8,43284588
T; Cobol_85\IF101A.cob;906;0,270830834;0,325;1,200011074
T; Cobol_85\IF102A.cob;617;0,190890419;0,2539;1,330082467
T; Cobol_85\IF103A.cob;840;0,254955769;0,3386;1,3280735
T; Cobol_85\IF104A.cob;927;0,276349342;0,3378;1,222365857
T; Cobol_85\IF105A.cob;487;0,164799631;0,3122;1,894421722
T; Cobol_85\IF106A.cob;1005;0,292799127;0,34025;1,162059475
T; Cobol_85\IF107A.cob;379;0,133702707;0,2591;1,937881478
