mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; Cobol_85/IC101A.cob;382;0,04124943;0,30995;7,514043192
T; Cobol_85/IC102A.cob;48;0,006049311;0,29555;48,85680239
T; Cobol_85/IC103A.cob;497;0,060499537;0,35505;5,868639954
T; Cobol_85/IC104A.cob;71;0,007199466;0,2789;38,73898302
T; Cobol_85/IC105A.cob;64;0,008150089;0,22755;27,91994124
T; Cobol_85/IC106A.cob;530;0,058448839;0,31985;5,47230714
T; Cobol_85/IC107A.cob;109;0,014199209;0,2603;18,33200681
T; Cobol_85/IC108A.cob;444;0,050599337;0,3027;5,982291868
T; Cobol_85/IC109A.cob;65;0,010898995;0,3034;27,83742803
T; Cobol_85/IC110A.cob;69;0,010949397;0,27705;25,30276305
T; Cobol_85/IC111A.cob;56;0,010099447;0,29465;29,17486538
T; Cobol_85/IC112A.cob;555;0,06019913;0,3043;5,054890363
T; Cobol_85/IC113A.cob;78;0,012249672;0,31235;25,49864106
T; Cobol_85/IC114A.cob;471;0,051244366;0,3318;6,474858112
T; Cobol_85/IC115A.cob;213;0,028999186;0,28105;9,691651491
T; Cobol_85/IC116M.cob;343;0,02519958;0,3031;12,02797815
T; Cobol_85/IC117M.cob;71;0,006699669;0,2581;38,5242892
T; Cobol_85/IC118M.cob;55;0,005799758;0,33045;56,97651096
T; Cobol_85/IC201A.cob;619;0,068249059;0,31435;4,605924329
T; Cobol_85/IC202A.cob;58;0,006348968;0,28915;45,54283789
T; Cobol_85/IC203A.cob;683;0,071748567;0,3398;4,735983114
T; Cobol_85/IC204A.cob;73;0,011153769;0,31255;28,02191673
T; Cobol_85/IC205A.cob;70;0,011199415;0,28775;25,69330692
T; Cobol_85/IC206A.cob;56;0,008549941;0,3038;35,53241066
T; Cobol_85/IC207A.cob;479;0,053400183;0,32125;6,015897018
T; Cobol_85/IC208A.cob;103;0,010100484;0,2407;23,83054144
T; Cobol_85/IC209A.cob;352;0,041649556;0,2384;5,723950553
T; Cobol_85/IC210A.cob;50;0,008449388;0,30035;35,54695511
T; Cobol_85/IC211A.cob;40;0,006850147;0,30395;44,37130897
T; Cobol_85/IC212A.cob;40;0,007050121;0,25585;36,29015816
T; Cobol_85/IC213A.cob;341;0,039250028;0,3279;8,354134139
T; Cobol_85/IC214A.cob;36;0,006300008;0,2729;43,31740327
T; Cobol_85/IC215A.cob;40;0,006999075;0,29495;42,14128047
T; Cobol_85/IC216A.cob;333;0,03854959;0,2928;7,595411499
T; Cobol_85/IC217A.cob;48;0,008049989;0,25205;31,31060278
T; Cobol_85/IC222A-1.cob;144;0,018099248;0,31655;17,48967652
T; Cobol_85/IC222A.cob;1019;0,079549408;0,28865;3,628562517
T; Cobol_85/IC223A-1.cob;129;0,016050529;0,27205;16,94959661
T; Cobol_85/IC223A.cob;644;0,07059958;0,30495;4,319430807
