mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; Cobol_85\IC214A.cob;36;0,005649793;0,27905;49,39118879
T; Cobol_85\IC211A.cob;40;0,006848764;0,29435;42,97855525
T; Cobol_85\IC212A.cob;40;0,006799507;0,17455;25,67097826
T; Cobol_85\IC215A.cob;40;0,006099677;0,26225;42,99407925
T; Cobol_85\IC102A.cob;48;0,006299913;0,2209;35,06397667
T; Cobol_85\IC217A.cob;48;0,007099426;0,28885;40,68638907
T; Cobol_85\IC210A.cob;50;0,007600462;0,26405;34,74130715
T; Cobol_85\IC118M.cob;55;0,005949628;0,2751;46,23818223
T; Cobol_85\IC111A.cob;56;0,007924235;0,3023;38,14879355
T; Cobol_85\IC206A.cob;56;0,008100641;0,29095;35,91691178
T; Cobol_85\IC202A.cob;58;0,006749308;0,29315;43,43408172
T; Cobol_85\IC105A.cob;64;0,007999682;0,2676;33,45132791
T; Cobol_85\IC109A.cob;65;0,009699321;0,30095;31,02794581
T; Cobol_85\RL301M.cob;67;0,008898926;0,2352;26,43015638
T; Cobol_85\ST113M.cob;67;0,006900644;0,22355;32,39552572
T; Cobol_85\IC110A.cob;69;0,00924896;0,25095;27,13278028
T; Cobol_85\IC205A.cob;70;0,011950123;0,2845;23,80728572
T; Cobol_85\IX301M.cob;70;0,009999204;0,27405;27,40718248
T; Cobol_85\IC104A.cob;71;0,006749773;0,2674;39,61614694
T; Cobol_85\IC117M.cob;71;0,007699275;0,25435;33,03557795
T; Cobol_85\IC204A.cob;73;0,009699762;0,2638;27,19654396
T; Cobol_85\IC401M.cob;74;0,008249676;0,22995;27,87382118
T; Cobol_85\IC113A.cob;78;0,011190414;0,2896;25,87929177
T; Cobol_85\RL401M.cob;78;0,012049842;0,29625;24,58538485
T; Cobol_85\ST102A.cob;78;0,011999643;0,2749;22,90901516
T; Cobol_85\ST120A.cob;78;0,011449921;0,2818;24,61152324
T; Cobol_85\OBIC1A.cob;80;0,008050179;0,278;34,53339154
T; Cobol_85\IX401M.cob;84;0,01228193;0,2384;19,41062938
T; Cobol_85\NC110M.cob;89;0,009298813;0,25305;27,21314975
T; Cobol_85\IC208A.cob;103;0,01053803;0,2246;21,31328218
T; Cobol_85\ST110A.cob;105;0,009712696;0,29775;30,65575178
T; Cobol_85\IC237A-1.cob;107;0,012199759;0,2904;23,80374797
T; Cobol_85\IC107A.cob;109;0,012349272;0,29115;23,57628898
T; Cobol_85\IC226A-1.cob;119;0,013749945;0,25175;18,30916393
T; Cobol_85\ST123A.cob;121;0,010449946;0,29705;28,42598441
T; Cobol_85\IC225A-1.cob;122;0,013549566;0,2463;18,17770363
T; Cobol_85\IC224A-1.cob;128;0,015449369;0,24605;15,92621684
T; Cobol_85\IC223A-1.cob;129;0,015450132;0,2775;17,96101172
T; Cobol_85\IC222A-1.cob;144;0,018197715;0,30925;16,99389155
T; Cobol_85\ST116A.cob;184;0,025698686;0,284;11,05114884
T; Cobol_85\IC115A.cob;213;0,023499346;0,2783;11,84288289
T; Cobol_85\IC227A-1.cob;232;0,02119931;0,2036;9,60408625
T; Cobol_85\OBIC2A.cob;310;0,027650058;0,28125;10,1717688
T; Cobol_85\SM107A.cob;312;0,021400094;0;0
T; Cobol_85\IC237A.cob;327;0,029399574;0,28785;9,790958261
T; Cobol_85\IC216A.cob;333;0,030499399;0,28525;9,352643399
T; Cobol_85\OBIC3A.cob;336;0,032899594;0,24425;7,424103705
T; Cobol_85\IC213A.cob;341;0,033349431;0,2871;8,608842645
T; Cobol_85\IC116M.cob;343;0,024288988;0,3103;12,77533665
T; Cobol_85\NC127A.cob;349;0,033399332;0,3053;9,140901499
T; Cobol_85\IC209A.cob;352;0,036348116;0,25855;7,11316089
T; Cobol_85\ST104A.cob;352;0,037249744;0,2892;7,763811759
T; Cobol_85\IF142A.cob;367;0,027949786;0,2393;8,561782849
T; Cobol_85\ST109A.cob;368;0,035099208;0,30085;8,571418391
T; Cobol_85\SQ210M.cob;374;0,034149253;0,29755;8,713221246
T; Cobol_85\ST122A.cob;377;0,035399759;0,29645;8,374350841
T; Cobol_85\IF107A.cob;379;0,027700043;0,2948;10,64258286
T; Cobol_85\SM203A.cob;379;0,044149172;0;0
T; Cobol_85\IC101A.cob;382;0,0395491;0,30045;7,59688582
T; Cobol_85\ST112M.cob;386;0,024105954;0,2767;11,47849191
T; Cobol_85\IC226A.cob;388;0,038941634;0,26945;6,919329632
T; Cobol_85\SM102A.cob;393;0,036750114;0,26905;7,321065732
T; Cobol_85\SM204A.cob;397;0,037099385;0,2736;7,374785271
