mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,052899587;0,34135;6,45279138
T; raincodeData/parseTests/ALCB0182.COB;2089;0,105449474;0,3355;3,18161853
T; raincodeData/parseTests/ALCB0183.COB;3017;0,138098657;0,35405;2,56374687
T; raincodeData/parseTests/ALCB0184.COB;4061;0,192850554;0,2842;1,473679977
T; raincodeData/parseTests/ALCB0185.COB;5047;0,227599013;0,3153;1,38533114
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,519176924;0,49385;0,951217161
T; raincodeData/parseTests/ALCB01820K.COB;20010;1,216548932;0,6079;0,49969219
T; raincodeData/parseTests/ALCB01830K.COB;30025;2,563298786;0,86795;0,338606644
T; raincodeData/parseTests/ALCB01840K.COB;40019;4,389899278;0,6765;0,154103763
T; raincodeData/parseTests/ALCB01850K.COB;50012;6,618147731;0,8593;0,129839954
