mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,061231434;0,33795;5,519223967
T; raincodeData/parseTests/ALCB0182.COB;2089;0,11714797;0,32485;2,772988721
T; raincodeData/parseTests/ALCB0183.COB;3017;0,206814075;0,3097;1,497480289
T; raincodeData/parseTests/ALCB0184.COB;4061;0,43544929;0,35015;0,804112001
T; raincodeData/parseTests/ALCB0185.COB;5047;0,706393397;0,37215;0,526831085
T; raincodeData/parseTests/ALCB01810K.COB;10006;3,037969112;0,53545;0,176252615
T; raincodeData/parseTests/ALCB01820K.COB;20010;11,84074335;0,6889;0,058180469
T; raincodeData/parseTests/ALCB01830K.COB;30025;28,81200444;0,8412;0,029196164
T; raincodeData/parseTests/ALCB01840K.COB;40019;53,56012551;0,76505;0,014283947
T; raincodeData/parseTests/ALCB01850K.COB;50012;85,26901715;0,8202;0,009618969
