mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,099349475;0,3128;3,148481663
T; raincodeData/parseTests/ALCB0182.COB;2089;0,262248719;0,3251;1,239662873
T; raincodeData/parseTests/ALCB0183.COB;3017;0,492807007;0,32015;0,649645796
T; raincodeData/parseTests/ALCB0184.COB;4061;0,777415121;0,3209;0,412778182
T; raincodeData/parseTests/ALCB0185.COB;5047;1,16289835;0,31725;0,272809743
T; raincodeData/parseTests/ALCB01810K.COB;10006;3,954173231;0,41645;0,105319109
T; raincodeData/parseTests/ALCB01820K.COB;20010;14,10668887;0,5809;0,041179047
T; raincodeData/parseTests/ALCB01830K.COB;30025;30,05049934;0,6788;0,022588643
T; raincodeData/parseTests/ALCB01840K.COB;40019;55,05356295;0,6243;0,011339866
T; raincodeData/parseTests/ALCB01850K.COB;50012;86,06917424;0,7025;0,00816204
