mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,022450066;0,30355;13,52111861
T; raincodeData/parseTests/ALCB0182.COB;2089;0,051249254;0,26675;5,204953838
T; raincodeData/parseTests/ALCB0183.COB;3017;0,088399756;0,31635;3,578629789
T; raincodeData/parseTests/ALCB0184.COB;4061;0,138875854;0,2634;1,896658003
T; raincodeData/parseTests/ALCB0185.COB;5047;0,205305457;0,3323;1,618563893
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,787554097;0,4395;0,558056902
T; raincodeData/parseTests/ALCB01820K.COB;20010;3,293339682;0,573;0,173987519
T; raincodeData/parseTests/ALCB01830K.COB;30025;7,446011579;0,65645;0,088161292
T; raincodeData/parseTests/ALCB01840K.COB;40019;13,44841081;0,62825;0,046715557
T; raincodeData/parseTests/ALCB01850K.COB;50012;21,36641009;0,72165;0,033774977
