mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V1\ALCB018.COB;1523;0,231650424;0,3396;1,466002065
T; raincodeData/Delivery/V1\ALCB025.COB;1205;0,134400713;0,3154;2,346713733
T; raincodeData/Delivery/V1\ALCB044.COB;7678;1,168349981;0,5681;0,486241288
T; raincodeData/Delivery/V1\ALCB073.COB;1291;0,216250885;0,32225;1,490167315
T; raincodeData/Delivery/V1\ALCB087.COB;12592;1,76515044;0,54085;0,306404479
T; raincodeData/Delivery/V1\ALCB096.COB;2446;0,357750094;0,2999;0,838294679
T; raincodeData/Delivery/V1\ALCB207.COB;1953;0,300649989;0,29215;0,97172796
T; raincodeData/Delivery/V1\ALCB212.COB;1286;0,40190053;0,33585;0,835654534
T; raincodeData/Delivery/V1\ALCB213.COB;1409;0,425601482;0,3218;0,756106389
T; raincodeData/Delivery/V1\ALCB216.COB;1126;0,183100331;0,31815;1,737571956
T; raincodeData/Delivery/V1\ALCB229.COB;1267;0,221751034;0,34675;1,563690565
T; raincodeData/Delivery/V1\ALCB231.COB;1693;0,289549637;0,2976;1,02780305
T; raincodeData/Delivery/V1\ALCB232.COB;1478;0,237250221;0,3469;1,462169345
T; raincodeData/Delivery/V1\ALCB233.COB;1414;0,443949819;0,29015;0,653564858
T; raincodeData/Delivery/V1\ALCB234.COB;1474;0,45405072;0,32465;0,715008227
T; raincodeData/Delivery/V1\ALCB327.COB;1304;0,229750693;0,3362;1,463325293
T; raincodeData/Delivery/V1\ALCB328.COB;1622;0,467001474;0,28455;0,609312852
T; raincodeData/Delivery/V1\ALCB332.COB;1748;0,21679939;0,31915;1,472098236
T; raincodeData/Delivery/V1\ALCB343.COB;9294;1,24730128;0,4505;0,361179778
T; raincodeData/Delivery/V1\ALCB369.COB;2297;0,553149688;0,3452;0,624062541
T; raincodeData/Delivery/V1\ALCB486.COB;2923;0,468849206;0,3232;0,68934744
T; raincodeData/Delivery/V1\ALCB487.COB;3069;0,454050565;0,3142;0,691993413
T; raincodeData/Delivery/V1\ALCB506.COB;3804;0,458000565;0,335;0,731440146
