mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V2\ALCB018.COB;987;0,077649319;0,31305;4,031587184
T; raincodeData/Delivery/V2\ALCB025.COB;914;0,03100071;0,31405;10,13041329
T; raincodeData/Delivery/V2\ALCB044.COB;3099;0,147199571;0,5137;3,48981995
T; raincodeData/Delivery/V2\ALCB073.COB;1070;0,109850502;0,31835;2,898029542
T; raincodeData/Delivery/V2\ALCB087.COB;3119;0,14940269;0,47075;3,15088035
T; raincodeData/Delivery/V2\ALCB096.COB;1103;0,122050238;0,3235;2,650547891
T; raincodeData/Delivery/V2\ALCB207.COB;1431;0,110549152;0,3163;2,861170751
T; raincodeData/Delivery/V2\ALCB212.COB;959;0,259848535;0,31185;1,200122217
T; raincodeData/Delivery/V2\ALCB213.COB;1013;0,248998916;0,3283;1,318479635
T; raincodeData/Delivery/V2\ALCB216.COB;917;0,08969903;0,33175;3,69847924
T; raincodeData/Delivery/V2\ALCB229.COB;1059;0,119500899;0,32785;2,743493998
T; raincodeData/Delivery/V2\ALCB231.COB;1294;0,159149528;0,3352;2,106195382
T; raincodeData/Delivery/V2\ALCB232.COB;957;0,077299774;0,30815;3,98642823
T; raincodeData/Delivery/V2\ALCB233.COB;965;0,231698787;0,32275;1,392972332
T; raincodeData/Delivery/V2\ALCB234.COB;971;0,241197968;0,3131;1,298103807
T; raincodeData/Delivery/V2\ALCB327.COB;1122;0,107584333;0,3098;2,879601427
T; raincodeData/Delivery/V2\ALCB328.COB;1216;0,261299467;0,3277;1,254116603
T; raincodeData/Delivery/V2\ALCB332.COB;969;0,030099308;0,27575;9,161340038
T; raincodeData/Delivery/V2\ALCB343.COB;2541;0,18194958;0,2969;1,631770738
T; raincodeData/Delivery/V2\ALCB369.COB;1830;0,29595046;0,2966;1,002194758
T; raincodeData/Delivery/V2\ALCB486.COB;1776;0,158164775;0,31305;1,979264974
T; raincodeData/Delivery/V2\ALCB487.COB;1590;0,12609905;0,34265;2,717308337
T; raincodeData/Delivery/V2\ALCB506.COB;1273;0,042750478;0,29555;6,913373026
T; raincodeData/Delivery/V2\ALCB517.COB;7830;0,621047473;0,52985;0,853155392
T; raincodeData/Delivery/V2\ALCB527.COB;3880;0,21294837;0,27275;1,280826897
T; raincodeData/Delivery/V2\ALCB528.COB;2576;0,106199741;0,32245;3,036259748
T; raincodeData/Delivery/V2\ALCB530.COB;2369;0,088849306;0,49455;5,566166149
T; raincodeData/Delivery/V2\ALCB541.COB;2383;0,08944844;0,4884;5,460128758
T; raincodeData/Delivery/V2\ALCB576.COB;1381;0,044550073;0,32925;7,390560256
T; raincodeData/Delivery/V2\ALCB581.COB;3959;0,445898426;0,31975;0,717091565
T; raincodeData/Delivery/V2\ALCB582.COB;3096;0,234598637;0,341;1,453546384
T; raincodeData/Delivery/V2\ALCB583.COB;3084;0,208498561;0,3331;1,597612942
T; raincodeData/Delivery/V2\ALCB584.COB;1560;0,294398654;0,3344;1,13587476
T; raincodeData/Delivery/V2\ALCB585.COB;1981;0,325299108;0,2664;0,818938612
T; raincodeData/Delivery/V2\ALCB587.COB;952;0,229899406;0,27895;1,213356765
T; raincodeData/Delivery/V2\ALCB611.COB;1340;0,042899954;0,3502;8,163178856
T; raincodeData/Delivery/V2\ALCB617.COB;1141;0,037198794;0,28955;7,783854521
T; raincodeData/Delivery/V2\ALCB618.COB;1133;0,034599435;0,3498;10,10999158
T; raincodeData/Delivery/V2\ALCB619.COB;1133;0,035198617;0,29675;8,430728973
T; raincodeData/Delivery/V2\ALCB625.COB;1388;0,04444896;0,31205;7,020411753
T; raincodeData/Delivery/V2\ALCB648.COB;1286;0,04154917;0,2669;6,423714358
T; raincodeData/Delivery/V2\ALCB649.COB;1111;0,0374488;0,25105;6,703819685
T; raincodeData/Delivery/V2\ALCB653.COB;1000;0,029948628;0,31905;10,65324263
T; raincodeData/Delivery/V2\ALCB654.COB;1170;0,034600079;0,3092;8,936395766
T; raincodeData/Delivery/V2\ALCB655.COB;1228;0,03624965;0,3487;9,619403348
T; raincodeData/Delivery/V2\ALCB659.COB;979;0,030299914;0,28515;9,410917836
T; raincodeData/Delivery/V2\ALCB660.COB;989;0,03059926;0,28275;9,24041944
T; raincodeData/Delivery/V2\ALCB661.COB;975;0,030399179;0,30765;10,12033895
T; raincodeData/Delivery/V2\ALCB665.COB;2000;0,123048675;0,34775;2,826117387
T; raincodeData/Delivery/V2\ALCB668.COB;904;0,240548801;0,3218;1,337774282
T; raincodeData/Delivery/V2\ALCB682.COB;2048;0,291198337;0,31975;1,098048853
T; raincodeData/Delivery/V2\ALCB683.COB;1683;0,245298469;0,242;0,986553242
T; raincodeData/Delivery/V2\ALCB751.COB;794;0,12989912;0,33585;2,585467855
T; raincodeData/Delivery/V2\ALCB756.COB;1226;0,131298554;0,32195;2,452045284
T; raincodeData/Delivery/V2\ALCB937.COB;4148;0,146248853;0,4182;2,859509602
T; raincodeData/Delivery/V2\ALCB997.COB;3216;0,252498841;0,2846;1,127133885
T; raincodeData/Delivery/V2\ALCC024.COB;2759;0,143099821;0,32785;2,291058078
T; raincodeData/Delivery/V2\ALCC025.COB;1585;0,05859971;0,28075;4,790979303
T; raincodeData/Delivery/V2\ALCC026.COB;2608;0,136749768;0,24015;1,75612729
T; raincodeData/Delivery/V2\ALCC027.COB;2628;0,142798519;0,2867;2,007723902
T; raincodeData/Delivery/V2\ALCC028.COB;1603;0,057348478;0,28735;5,010595064
T; raincodeData/Delivery/V2\ALCC029.COB;1507;0,055649745;0,29585;5,31628667
T; raincodeData/Delivery/V2\ALCC030.COB;2324;0,112049389;0,26665;2,379754166
T; raincodeData/Delivery/V2\ALCC031.COB;1446;0,050349462;0,28355;5,631639119
T; raincodeData/Delivery/V2\ALCC032.COB;1962;0,086899209;0,3038;3,496004203
T; raincodeData/Delivery/V2\ALCC048.COB;1518;0,053148675;0,3068;5,772486336
T; raincodeData/Delivery/V2\ALCC049.COB;1565;0,05309974;0,2748;5,175166626
T; raincodeData/Delivery/V2\ALCC065.COB;2322;0,110850596;0,33135;2,989158477
T; raincodeData/Delivery/V2\ALCC066.COB;2695;0,134200096;0,2523;1,88002846
T; raincodeData/Delivery/V2\ALCC067.COB;1526;0,057048297;0,3156;5,53215463
T; raincodeData/Delivery/V2\ALCC068.COB;1564;0,054899013;0,24745;4,507367005
T; raincodeData/Delivery/V2\ALCC070.COB;1705;0,065549922;0,3138;4,787191052
T; raincodeData/Delivery/V2\ALCC200.COB;1170;0,040400255;0,2153;5,32917432
T; raincodeData/Delivery/V2\ALCP021.COB;2325;0,269149804;0,32255;1,19840325
