mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V1/ALCB018.COB; 1523 ; 0,2272200584411621 ; 0,3414499999999999 ; 1,5027282465399827 
T; raincodeData/Delivery/V1/ALCB025.COB; 1205 ; 0,1393498420715332 ; 0,33115 ; 2,376393077144709 
T; raincodeData/Delivery/V1/ALCB044.COB; 7678 ; 1,1792998433113098 ; 0,48975 ; 0,4152887857805952 
T; raincodeData/Delivery/V1/ALCB073.COB; 1291 ; 0,2131502389907837 ; 0,3427 ; 1,6077861400606632 
T; raincodeData/Delivery/V1/ALCB087.COB; 12592 ; 1,7905993580818176 ; 0,46509999999999996 ; 0,2597454298756362 
T; raincodeData/Delivery/V1/ALCB096.COB; 2446 ; 0,34754788875579834 ; 0,34280000000000005 ; 0,9863388934031639 
T; raincodeData/Delivery/V1/ALCB207.COB; 1953 ; 0,3229980945587158 ; 0,2512 ; 0,7777135662152828 
T; raincodeData/Delivery/V1/ALCB212.COB; 1286 ; 0,4117491960525513 ; 0,33125 ; 0,8044945883943457 
T; raincodeData/Delivery/V1/ALCB213.COB; 1409 ; 0,44834868907928466 ; 0,2975 ; 0,6635460462947644 
T; raincodeData/Delivery/V1/ALCB216.COB; 1126 ; 0,1913500666618347 ; 0,3208 ; 1,6765084308381086 
T; raincodeData/Delivery/V1/ALCB229.COB; 1267 ; 0,22929939031600952 ; 0,30455000000000004 ; 1,3281762309977523 
T; raincodeData/Delivery/V1/ALCB231.COB; 1693 ; 0,31669867038726807 ; 0,27685000000000004 ; 0,8741748099588168 
T; raincodeData/Delivery/V1/ALCB232.COB; 1478 ; 0,22813768386840821 ; 0,326 ; 1,4289616448812534 
T; raincodeData/Delivery/V1/ALCB233.COB; 1414 ; 0,43470015525817873 ; 0,3226999999999999 ; 0,7423507815596263 
T; raincodeData/Delivery/V1/ALCB234.COB; 1474 ; 0,43554762601852415 ; 0,3307 ; 0,7592740270978657 
