mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V1\ALCB018.COB; 1523 ; 0,47299957275390625 ; 0,285 ; 0,6025375421391357 
T; raincodeData/Delivery/V1\ALCB025.COB; 1205 ; 0,3469991683959961 ; 0,286 ; 0,8242094680573304 
T; raincodeData/Delivery/V1\ALCB044.COB; 7678 ; 2,4539999961853027 ; 0,37 ; 0,1507742463631451 
T; raincodeData/Delivery/V1\ALCB073.COB; 1291 ; 0,3360004425048828 ; 0,283 ; 0,8422607955222778 
T; raincodeData/Delivery/V1\ALCB087.COB; 12592 ; 4,599999666213989 ; 0,389 ; 0,084565223527541 
T; raincodeData/Delivery/V1\ALCB096.COB; 2446 ; 0,715998649597168 ; 0,294 ; 0,4106152995755076 
T; raincodeData/Delivery/V1\ALCB207.COB; 1953 ; 0,5780000686645508 ; 0,285 ; 0,4930795261988163 
T; raincodeData/Delivery/V1\ALCB212.COB; 1286 ; 0,39499950408935547 ; 0,285 ; 0,7215198931883424 
T; raincodeData/Delivery/V1\ALCB213.COB; 1409 ; 0,44899749755859375 ; 0,286 ; 0,6369745968632649 
T; raincodeData/Delivery/V1\ALCB216.COB; 1126 ; 0,3249998092651367 ; 0,287 ; 0,8830774413343231 
T; raincodeData/Delivery/V1\ALCB229.COB; 1267 ; 0,35199737548828125 ; 0,305 ; 0,8664837332292954 
T; raincodeData/Delivery/V1\ALCB231.COB; 1693 ; 0,5099983215332031 ; 0,287 ; 0,5627469501020995 
T; raincodeData/Delivery/V1\ALCB232.COB; 1478 ; 0,49199986457824707 ; 0,288 ; 0,5853660147790484 
T; raincodeData/Delivery/V1\ALCB233.COB; 1414 ; 0,4939999580383301 ; 0,291 ; 0,5890688759480035 
T; raincodeData/Delivery/V1\ALCB234.COB; 1474 ; 0,5170001983642578 ; 0,288 ; 0,5570597475807672 
T; raincodeData/Delivery/V1\ALCB327.COB; 1304 ; 0,34799957275390625 ; 0,291 ; 0,8362079231797952 
T; raincodeData/Delivery/V1\ALCB328.COB; 1622 ; 0,5039999485015869 ; 0,287 ; 0,569444502629937 
T; raincodeData/Delivery/V1\ALCB332.COB; 1748 ; 0,57200026512146 ; 0,288 ; 0,5034962701264576 
T; raincodeData/Delivery/V1\ALCB343.COB; 9294 ; 2,961000442504883 ; 0,377 ; 0,12732183169857067 
T; raincodeData/Delivery/V1\ALCB369.COB; 2297 ; 0,6389999389648438 ; 0,29 ; 0,4538341591546773 
T; raincodeData/Delivery/V1\ALCB486.COB; 2923 ; 0,8839995861053467 ; 0,294 ; 0,3325793412362117 
T; raincodeData/Delivery/V1\ALCB487.COB; 3069 ; 0,9190096855163574 ; 0,298 ; 0,32426208852474153 
T; raincodeData/Delivery/V1\ALCB506.COB; 3804 ; 1,2730190753936768 ; 0,296 ; 0,23251811832313904 
T; raincodeData/Delivery/V1\ALCB517.COB; 13160 ; 4,601999521255493 ; 0,399 ; 0,08670144317858315 
T; raincodeData/Delivery/V1\ALCB527.COB; 6463 ; 1,9950001239776611 ; 0,313 ; 0,15689222082650095 
T; raincodeData/Delivery/V1\ALCB528.COB; 5969 ; 1,9190003871917725 ; 0,303 ; 0,1578947049840903 
T; raincodeData/Delivery/V1\ALCB530.COB; 6590 ; 2,1569998264312744 ; 0,309 ; 0,14325453169425428 
T; raincodeData/Delivery/V1\ALCB541.COB; 6572 ; 2,0980000495910645 ; 0,308 ; 0,1468064788940469 
T; raincodeData/Delivery/V1\ALCB576.COB; 3646 ; 1,2079999446868896 ; 0,293 ; 0,24254967998027913 
