mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V1\ALCB018.COB; 1523 ; 0,7579994201660156 ; 0,287 ; 0,37862825797035804 
T; raincodeData/Delivery/V1\ALCB025.COB; 1205 ; 0,6740014553070068 ; 0,286 ; 0,42433142799332285 
T; raincodeData/Delivery/V1\ALCB044.COB; 7678 ; 2,7119998931884766 ; 0,366 ; 0,1349557575275922 
T; raincodeData/Delivery/V1\ALCB073.COB; 1291 ; 0,6020007133483887 ; 0,287 ; 0,4767436211224353 
T; raincodeData/Delivery/V1\ALCB087.COB; 12592 ; 4,864001274108887 ; 0,389 ; 0,07997530799809814 
T; raincodeData/Delivery/V1\ALCB096.COB; 2446 ; 0,9856359958648682 ; 0,298 ; 0,30234285400515765 
T; raincodeData/Delivery/V1\ALCB207.COB; 1953 ; 0,8609988689422607 ; 0,295 ; 0,34262530491173376 
T; raincodeData/Delivery/V1\ALCB212.COB; 1286 ; 0,67799973487854 ; 0,291 ; 0,4292037076565097 
T; raincodeData/Delivery/V1\ALCB213.COB; 1409 ; 0,7199981212615967 ; 0,296 ; 0,41111218385034426 
T; raincodeData/Delivery/V1\ALCB216.COB; 1126 ; 0,6069974899291992 ; 0,287 ; 0,4728190886480864 
T; raincodeData/Delivery/V1\ALCB229.COB; 1267 ; 0,6200001239776611 ; 0,299 ; 0,48225796808191135 
T; raincodeData/Delivery/V1\ALCB231.COB; 1693 ; 0,7790000438690186 ; 0,289 ; 0,37098842583453384 
T; raincodeData/Delivery/V1\ALCB232.COB; 1478 ; 0,7679996490478516 ; 0,286 ; 0,3723960035067415 
T; raincodeData/Delivery/V1\ALCB233.COB; 1414 ; 0,7710011005401611 ; 0,286 ; 0,3709462928128497 
T; raincodeData/Delivery/V1\ALCB234.COB; 1474 ; 0,7790002822875977 ; 0,289 ; 0,37098831229088647 
T; raincodeData/Delivery/V1\ALCB327.COB; 1304 ; 0,637000322341919 ; 0,283 ; 0,4442697908841806 
T; raincodeData/Delivery/V1\ALCB328.COB; 1622 ; 0,7588791847229004 ; 0,296 ; 0,39004891155116134 
T; raincodeData/Delivery/V1\ALCB332.COB; 1748 ; 0,8589990139007568 ; 0,289 ; 0,3364381044951807 
