mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Test/ALCB018.COB;987;0,099500608;0,27555;2,769329799
T; raincodeData/Test/ALCB025.COB;914;0,048234594;0,25805;5,34989474
T; raincodeData/Test/ALCB044.COB;3099;0,144006562;0,3834;2,662378673
T; raincodeData/Test/ALCB073.COB;1070;0,111399281;0,29545;2,652171516
T; raincodeData/Test/ALCB087.COB;3119;0,143051422;0,44035;3,078263711
T; raincodeData/Test/ALCB096.COB;1103;0,124648952;0,28885;2,317307881
T; raincodeData/Test/ALCB207.COB;1431;0,134499335;0,308;2,289974143
T; raincodeData/Test/ALCB212.COB;959;0,273697865;0,3056;1,116559678
T; raincodeData/Test/ALCB213.COB;1013;0,276700318;0,2562;0,925911477
T; raincodeData/Test/ALCB216.COB;917;0,098201466;0,30245;3,079892934
T; raincodeData/Test/ALCB229.COB;1059;0,125598884;0,28795;2,292615919
T; raincodeData/Test/ALCB231.COB;1294;0,138448799;0,30525;2,204786195
T; raincodeData/Test/ALCB232.COB;957;0,08612659;0,2417;2,806334265
T; raincodeData/Test/ALCB233.COB;965;0,268297493;0,26045;0,970750776
T; raincodeData/Test/ALCB234.COB;971;0,269147539;0,3034;1,127262768
T; raincodeData/Test/ALCB327.COB;1122;0,130797851;0,24155;1,846742878
T; raincodeData/Test/ALCB328.COB;1216;0,287647438;0,2768;0,96228912
T; raincodeData/Test/ALCB332.COB;969;0,04810369;0,2715;5,644057642
T; raincodeData/Test/ALCB343.COB;2541;0,188348806;0,303;1,608717393
T; raincodeData/Test/ALCB369.COB;1830;0,31240834;0,313;1,001893868
T; raincodeData/Test/ALCB486.COB;1776;0,166098952;0,29455;1,773340505
T; raincodeData/Test/ALCB487.COB;1590;0,150448477;0,27905;1,854787799
T; raincodeData/Test/ALCB506.COB;1273;0,059701359;0,25575;4,283822062
T; raincodeData/Test/ALCB517.COB;7830;0,55799818;0,44405;0,795791126
T; raincodeData/Test/ALCB527.COB;3880;0,185749376;0,323;1,738902209
T; raincodeData/Test/ALCB528.COB;2576;0,115098989;0,28785;2,500890777
T; raincodeData/Test/ALCB530.COB;2369;0,108098924;0,3781;3,497722137
T; raincodeData/Test/ALCB541.COB;2383;0,108497787;0,39475;3,638323072
T; raincodeData/Test/ALCB576.COB;1381;0,063799107;0,2486;3,89660626
T; raincodeData/Test/ALCB581.COB;3959;0,455399001;0,32465;0,712891332
T; raincodeData/Test/ALCB582.COB;3096;0,247042513;0,25835;1,045771422
T; raincodeData/Test/ALCB583.COB;3084;0,240799153;0,32795;1,361923396
T; raincodeData/Test/ALCB584.COB;1560;0,347313726;0,32;0,921357194
T; raincodeData/Test/ALCB585.COB;1981;0,405149102;0,2628;0,648650086
T; raincodeData/Test/ALCB587.COB;952;0,270249605;0,25765;0,953377896
T; raincodeData/Test/ALCB611.COB;1340;0,063449121;0,30465;4,801484993
T; raincodeData/Test/ALCB617.COB;1141;0,05519917;0,21575;3,908573255
T; raincodeData/Test/ALCB618.COB;1133;0,055749047;0,2909;5,218026436
T; raincodeData/Test/ALCB619.COB;1133;0,055299461;0,2418;4,37255619
T; raincodeData/Test/ALCB625.COB;1388;0,06494832;0,29725;4,576715737
T; raincodeData/Test/ALCB648.COB;1286;0,063649011;0,29175;4,583731891
T; raincodeData/Test/ALCB649.COB;1111;0,05794878;0,2996;5,170082954
T; raincodeData/Test/ALCB653.COB;1000;0,050398731;0,3036;6,023961171
T; raincodeData/Test/ALCB654.COB;1170;0,057099473;0,2793;4,891463668
T; raincodeData/Test/ALCB655.COB;1228;0,059198654;0,26585;4,490811588
T; raincodeData/Test/ALCB659.COB;979;0,04899894;0,2881;5,879719032
T; raincodeData/Test/ALCB660.COB;989;0,050498593;0,31775;6,292254537
T; raincodeData/Test/ALCB661.COB;975;0,048498714;0,2889;5,956858983
T; raincodeData/Test/ALCB665.COB;2000;0,148299122;0,2175;1,466630397
T; raincodeData/Test/ALCB668.COB;904;0,277398789;0,3014;1,086522408
T; raincodeData/Test/ALCB682.COB;2048;0,309759712;0,2969;0,958484878
T; raincodeData/Test/ALCB683.COB;1683;0,28999815;0,2443;0,842419168
T; raincodeData/Test/ALCB751.COB;794;0,139149106;0,30755;2,210219022
T; raincodeData/Test/ALCB756.COB;1226;0,161247885;0,29215;1,811806707
