mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Test/ALCB018.COB;987;0,110249877;0,3119;2,8290281
T; raincodeData/Test/ALCB025.COB;914;0,050800765;0,3251;6,399509984
T; raincodeData/Test/ALCB044.COB;3099;0,155949461;0,4712;3,021491678
T; raincodeData/Test/ALCB073.COB;1070;0,121798992;0,27;2,216767111
T; raincodeData/Test/ALCB087.COB;3119;0,16099937;0,4274;2,654668779
T; raincodeData/Test/ALCB096.COB;1103;0,139480674;0,29865;2,141156842
T; raincodeData/Test/ALCB207.COB;1431;0,14716866;0,2851;1,937233102
T; raincodeData/Test/ALCB212.COB;959;0,302799284;0,1804;0,595774195
T; raincodeData/Test/ALCB213.COB;1013;0,320148623;0,31475;0,983137135
T; raincodeData/Test/ALCB216.COB;917;0,11874994;0,32745;2,757475068
T; raincodeData/Test/ALCB229.COB;1059;0,142749441;0,2768;1,939061888
T; raincodeData/Test/ALCB231.COB;1294;0,157898712;0,33165;2,100397118
T; raincodeData/Test/ALCB232.COB;957;0,098336983;0,3036;3,087343048
T; raincodeData/Test/ALCB233.COB;965;0,300649524;0,27575;0,917180897
T; raincodeData/Test/ALCB234.COB;971;0,327549362;0,27785;0,848269092
T; raincodeData/Test/ALCB327.COB;1122;0,148630083;0,2824;1,900019128
T; raincodeData/Test/ALCB328.COB;1216;0,325447893;0,33495;1,029197015
T; raincodeData/Test/ALCB332.COB;969;0,050850129;0,2934;5,769896852
T; raincodeData/Test/ALCB343.COB;2541;0,211299348;0,27815;1,316378885
T; raincodeData/Test/ALCB369.COB;1830;0,368998456;0,3036;0,82276767
T; raincodeData/Test/ALCB486.COB;1776;0,191499662;0,32095;1,675982067
T; raincodeData/Test/ALCB487.COB;1590;0,169249737;0,29;1,713444314
T; raincodeData/Test/ALCB506.COB;1273;0,06208595;0,2742;4,416458125
T; raincodeData/Test/ALCB517.COB;7830;0,595448983;0,51285;0,861282855
T; raincodeData/Test/ALCB527.COB;3880;0,202597725;0,33175;1,637481365
T; raincodeData/Test/ALCB528.COB;2576;0,124448359;0,2766;2,222608656
T; raincodeData/Test/ALCB530.COB;2369;0,115899765;0,4803;4,144098118
T; raincodeData/Test/ALCB541.COB;2383;0,119176114;0,3571;2,996405817
T; raincodeData/Test/ALCB576.COB;1381;0,071599817;0,32125;4,486743294
T; raincodeData/Test/ALCB581.COB;3959;0,503099048;0,31365;0,623435884
T; raincodeData/Test/ALCB582.COB;3096;0,275298977;0,3276;1,189978996
T; raincodeData/Test/ALCB583.COB;3084;0,285773039;0,3499;1,22439822
T; raincodeData/Test/ALCB584.COB;1560;0,393698859;0,3316;0,842268125
T; raincodeData/Test/ALCB585.COB;1981;0,439698803;0,2478;0,563567601
T; raincodeData/Test/ALCB587.COB;952;0,306749249;0,285;0,929097631
T; raincodeData/Test/ALCB611.COB;1340;0,068399608;0,3024;4,42107796
T; raincodeData/Test/ALCB617.COB;1141;0,064099288;0,33765;5,267609214
T; raincodeData/Test/ALCB618.COB;1133;0,05895021;0,33225;5,636112274
T; raincodeData/Test/ALCB619.COB;1133;0,059849131;0,2808;4,691797438
T; raincodeData/Test/ALCB625.COB;1388;0,070699668;0,23935;3,385447301
T; raincodeData/Test/ALCB648.COB;1286;0,068350148;0,2809;4,109720423
T; raincodeData/Test/ALCB649.COB;1111;0,059800065;0,32175;5,380428974
T; raincodeData/Test/ALCB653.COB;1000;0,061549282;0,3182;5,169840968
T; raincodeData/Test/ALCB654.COB;1170;0,059249294;0,3399;5,736777237
T; raincodeData/Test/ALCB655.COB;1228;0,063063145;0,31795;5,041772046
T; raincodeData/Test/ALCB659.COB;979;0,055099916;0,27835;5,051731797
T; raincodeData/Test/ALCB660.COB;989;0,054249609;0,343;6,322626271
T; raincodeData/Test/ALCB661.COB;975;0,055449212;0,34515;6,224615104
T; raincodeData/Test/ALCB665.COB;2000;0,17139951;0,3012;1,757297907
T; raincodeData/Test/ALCB668.COB;904;0,324248254;0,306;0,943721349
T; raincodeData/Test/ALCB682.COB;2048;0,342848861;0,34555;1,007878512
T; raincodeData/Test/ALCB683.COB;1683;0,315848219;0,3078;0,974518712
T; raincodeData/Test/ALCB751.COB;794;0,156690383;0,2275;1,451907869
T; raincodeData/Test/ALCB756.COB;1226;0,179548955;0,2535;1,411871208
T; raincodeData/Test/ALCB937.COB;4148;0,190543473;0,5;2,624073093
T; raincodeData/Test/ALCB997.COB;3216;0,329049718;0,27085;0,823127889
T; raincodeData/Test/ALCC024.COB;2759;0,143299222;0,3337;2,328693732
T; raincodeData/Test/ALCC025.COB;1585;0,074149573;0,32175;4,33920234
T; raincodeData/Test/ALCC026.COB;2608;0,128499699;0,33585;2,613624807
T; raincodeData/Test/ALCC027.COB;2628;0,131526256;0,3238;2,461865872
T; raincodeData/Test/ALCC028.COB;1603;0,083358371;0,2641;3,168248084
T; raincodeData/Test/ALCC029.COB;1507;0,077499366;0,30505;3,936161242
T; raincodeData/Test/ALCC030.COB;2324;0,115000153;0,3208;2,789561516
T; raincodeData/Test/ALCC031.COB;1446;0,074300241;0,2844;3,827712998
T; raincodeData/Test/ALCC032.COB;1962;0,092599261;0,32085;3,464930467
T; raincodeData/Test/ALCC048.COB;1518;0,072999609;0,2285;3,130153773
T; raincodeData/Test/ALCC049.COB;1565;0,080598533;0,29655;3,679347358
T; raincodeData/Test/ALCC065.COB;2322;0,115099692;0,33475;2,908348347
T; raincodeData/Test/ALCC066.COB;2695;0,140999675;0,3451;2,447523375
T; raincodeData/Test/ALCC067.COB;1526;0,074399197;0,30625;4,116307863
T; raincodeData/Test/ALCC068.COB;1564;0,075499475;0,31675;4,195393412
T; raincodeData/Test/ALCC070.COB;1705;0,081498861;0,2653;3,255260205
T; raincodeData/Test/ALCC200.COB;1170;0,0603001;0,3136;5,200654738
T; raincodeData/Test/ALCP021.COB;2325;0,352648783;0,31985;0,906993064
T; raincodeData/Test/ALCP022.COB;798;0,04475044;0,29805;6,660269691
