mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Test/ALCB018.COB;987;0,081599164;0,29665;3,635453912
T; raincodeData/Test/ALCB025.COB;914;0,03164953;0,3455;10,91643385
T; raincodeData/Test/ALCB044.COB;3099;0,165249658;0,4974;3,009991108
T; raincodeData/Test/ALCB073.COB;1070;0,130418658;0,31085;2,383477979
T; raincodeData/Test/ALCB087.COB;3119;0,158750331;0,48905;3,08062349
T; raincodeData/Test/ALCB096.COB;1103;0,137500608;0,3086;2,244353713
T; raincodeData/Test/ALCB207.COB;1431;0,159900856;0,318;1,988732318
T; raincodeData/Test/ALCB212.COB;959;0,347105682;0,3577;1,03052188
T; raincodeData/Test/ALCB213.COB;1013;0,363649857;0,34095;0,937577709
T; raincodeData/Test/ALCB216.COB;917;0,117299509;0,3057;2,606149015
T; raincodeData/Test/ALCB229.COB;1059;0,131900597;0,31125;2,359731555
T; raincodeData/Test/ALCB231.COB;1294;0,15929985;0,31465;1,975205872
T; raincodeData/Test/ALCB232.COB;957;0,092649651;0,32255;3,481394673
T; raincodeData/Test/ALCB233.COB;965;0,318650401;0,28785;0,903341089
T; raincodeData/Test/ALCB234.COB;971;0,352499831;0,3363;0,954043011
T; raincodeData/Test/ALCB327.COB;1122;0,155228972;0,33115;2,133300213
T; raincodeData/Test/ALCB328.COB;1216;0,352361679;0,34965;0,992304274
T; raincodeData/Test/ALCB332.COB;969;0,029149747;0,35185;12,07043071
T; raincodeData/Test/ALCB343.COB;2541;0,200950062;0,31885;1,586712621
T; raincodeData/Test/ALCB369.COB;1830;0,370749867;0,31645;0,853540428
T; raincodeData/Test/ALCB486.COB;1776;0,173549449;0,36765;2,118416401
T; raincodeData/Test/ALCB487.COB;1590;0,159549689;0,3514;2,202448664
T; raincodeData/Test/ALCB506.COB;1273;0,04010011;0,38225;9,532392904
T; raincodeData/Test/ALCB517.COB;7830;0,7438187;0,53535;0,719731838
T; raincodeData/Test/ALCB527.COB;3880;0,23433764;0,3393;1,447910802
T; raincodeData/Test/ALCB528.COB;2576;0,12771157;0,34375;2,691612039
T; raincodeData/Test/ALCB530.COB;2369;0,106799591;0,55345;5,18213597
T; raincodeData/Test/ALCB541.COB;2383;0,102199948;0,5527;5,408026244
T; raincodeData/Test/ALCB576.COB;1381;0,047050059;0,3344;7,107323736
T; raincodeData/Test/ALCB581.COB;3959;0,597906744;0,2848;0,476328462
T; raincodeData/Test/ALCB582.COB;3096;0,316123199;0,3678;1,163470446
T; raincodeData/Test/ALCB583.COB;3084;0,276915872;0,3883;1,402230927
T; raincodeData/Test/ALCB584.COB;1560;0,411576176;0,36845;0,895217026
T; raincodeData/Test/ALCB585.COB;1981;0,460151088;0,3406;0,740191665
T; raincodeData/Test/ALCB587.COB;952;0,327098715;0,2743;0,838584767
T; raincodeData/Test/ALCB611.COB;1340;0,046500313;0,353;7,591346705
T; raincodeData/Test/ALCB617.COB;1141;0,035501659;0,26565;7,482748922
T; raincodeData/Test/ALCB618.COB;1133;0,035349524;0,3596;10,17269709
T; raincodeData/Test/ALCB619.COB;1133;0,038500202;0,3182;8,264891765
T; raincodeData/Test/ALCB625.COB;1388;0,049849498;0,3058;6,134464952
T; raincodeData/Test/ALCB648.COB;1286;0,051050949;0,36305;7,111523026
T; raincodeData/Test/ALCB649.COB;1111;0,038549435;0,2703;7,011775893
T; raincodeData/Test/ALCB653.COB;1000;0,031499994;0,31295;9,93492259
T; raincodeData/Test/ALCB654.COB;1170;0,037600279;0,3784;10,06375515
T; raincodeData/Test/ALCB655.COB;1228;0,037949657;0,36545;9,629862946
T; raincodeData/Test/ALCB659.COB;979;0,031149685;0,3264;10,47843649
T; raincodeData/Test/ALCB660.COB;989;0,029449952;0,36535;12,40579286
T; raincodeData/Test/ALCB661.COB;975;0,030099893;0,34595;11,49339649
T; raincodeData/Test/ALCB665.COB;2000;0,159949374;0,3109;1,943740021
T; raincodeData/Test/ALCB668.COB;904;0,344203758;0,3396;0,986624904
T; raincodeData/Test/ALCB682.COB;2048;0,350249338;0,2294;0,65496198
T; raincodeData/Test/ALCB683.COB;1683;0,329448581;0,34285;1,040678334
T; raincodeData/Test/ALCB751.COB;794;0,159559667;0,27695;1,735714326
T; raincodeData/Test/ALCB756.COB;1226;0,176250184;0,33175;1,882267543
T; raincodeData/Test/ALCB937.COB;4148;0,161652172;0,4834;2,99037121
T; raincodeData/Test/ALCB997.COB;3216;0,325067544;0,3596;1,106231633
T; raincodeData/Test/ALCC024.COB;2759;0,18517549;0,3434;1,854457084
T; raincodeData/Test/ALCC025.COB;1585;0,06559993;0,26825;4,089181175
T; raincodeData/Test/ALCC026.COB;2608;0,157249546;0,34105;2,168845689
T; raincodeData/Test/ALCC027.COB;2628;0,161349893;0,32775;2,031299771
T; raincodeData/Test/ALCC028.COB;1603;0,067150259;0,3324;4,950092596
T; raincodeData/Test/ALCC029.COB;1507;0,061749446;0,2865;4,63971771
T; raincodeData/Test/ALCC030.COB;2324;0,129449511;0,32105;2,480117527
T; raincodeData/Test/ALCC031.COB;1446;0,061935818;0,34195;5,521037906
T; raincodeData/Test/ALCC032.COB;1962;0,098849738;0,28025;2,835111217
T; raincodeData/Test/ALCC048.COB;1518;0,063931537;0,33715;5,273610139
T; raincodeData/Test/ALCC049.COB;1565;0,063549674;0,3347;5,266746173
T; raincodeData/Test/ALCC065.COB;2322;0,134625518;0,34675;2,57566325
T; raincodeData/Test/ALCC066.COB;2695;0,159299624;0,28735;1,803833511
T; raincodeData/Test/ALCC067.COB;1526;0,065500009;0,2877;4,392365805
T; raincodeData/Test/ALCC068.COB;1564;0,063694143;0,3327;5,223400187
T; raincodeData/Test/ALCC070.COB;1705;0,077202117;0,2572;3,331514841
T; raincodeData/Test/ALCC200.COB;1170;0,049057722;0,2375;4,841235791
T; raincodeData/Test/ALCP021.COB;2325;0,371800172;0,30855;0,829881272
T; raincodeData/Test/ALCP022.COB;798;0,028499711;0,2704;9,487815655
T; raincodeData/Test/ALCP023.COB;425;0,015850413;0,3438;21,69028677
T; raincodeData/Test/ALCP040.COB;880;0,029850626;0,32925;11,02991944
T; raincodeData/Test/ALCP041.COB;608;0,018550563;0,3524;18,99672817
T; raincodeData/Test/ALCP042.COB;929;0,032576287;0,3654;11,21674801
T; raincodeData/Test/ALCP052.COB;1168;0,038550436;0,34545;8,96098803
T; raincodeData/Test/ALCP070.COB;1101;0,038150036;0,36615;9,59763175
T; raincodeData/Test/ALCP071.COB;712;0,270049798;0,3673;1,360119511
T; raincodeData/Test/ALCP072.COB;1107;0,040242338;0,31125;7,734391541
T; raincodeData/Test/ALCP076.COB;1820;0,072299767;0,37535;5,191579696
T; raincodeData/Test/ALCP077.COB;1902;0,074549866;0,36665;4,918184579
T; raincodeData/Test/ALCP078.COB;723;0,021498644;0,33845;15,74285311
T; raincodeData/Test/ALCP079.COB;1241;0,043153799;0,33775;7,82665747
T; raincodeData/Test/ALCP080.COB;553;0,016599727;0,36245;21,83469686
T; raincodeData/Test/ALCP081.COB;1471;0,051945436;0,3142;6,048654592
T; raincodeData/Test/ALCP082.COB;935;0,029500067;0,31145;10,55760306
T; raincodeData/Test/ALCP083.COB;3020;0,212872612;0,34475;1,619513173
T; raincodeData/Test/ALCP084.COB;1257;0,040299714;0,29575;7,33876183
T; raincodeData/Test/ALCP089.COB;670;0,022899842;0,3624;15,82543652
T; raincodeData/Test/ALCP090.COB;4541;0,280700064;0,5567;1,983255695
T; raincodeData/Test/ALCP091.COB;1419;0,043709576;0,35225;8,058874764
T; raincodeData/Test/ALCP094.COB;1539;0,038750148;0,32115;8,28771032
T; raincodeData/Test/ALCP095.COB;756;0,022100174;0,32105;14,52703466
T; raincodeData/Test/ALCP097.COB;1219;0,097891974;0,28475;2,90881864
T; raincodeData/Test/ALCP120.COB;1050;0,037549484;0,30565;8,139925487
T; raincodeData/Test/ALCP201.COB;5929;0,657249844;0,5113;0,777938564
T; raincodeData/Test/ALCP202.COB;912;0,031200147;0,29045;9,309251108
T; raincodeData/Test/ALCP206.COB;1095;0,04240005;0,32715;7,715792758
T; raincodeData/Test/ALCP208.COB;1076;0,094200003;0,33465;3,552547652
T; raincodeData/Test/ALCP209.COB;1646;0,086399794;0,36925;4,27373706
T; raincodeData/Test/ALCP215.COB;685;0,022249734;0,3594;16,15300181
T; raincodeData/Test/ALCP218.COB;705;0,021899796;0,3404;15,54352412
T; raincodeData/Test/ALCP221.COB;666;0,02420187;0,33095;13,67456318
T; raincodeData/Test/ALCP242.COB;2717;0,368049049;0,3268;0,88792513
T; raincodeData/Test/ALCP243.COB;2826;0,24654969;0,29915;1,213345676
T; raincodeData/Test/ALCP244.COB;4113;0,396549869;0,3553;0,895978106
T; raincodeData/Test/ALCP246.COB;1327;0,074819505;0,3166;4,23151689
T; raincodeData/Test/ALCP247.COB;467;0,016299498;0,2595;15,92073564
T; raincodeData/Test/ALCP250.COB;889;0,027150452;0,33935;12,49887104
T; raincodeData/Test/ALCP252.COB;1322;0,073597562;0,3383;4,596619635
T; raincodeData/Test/ALCP254.COB;1684;0,116549373;0,325;2,788517798
T; raincodeData/Test/ALCP256.COB;1407;0,084499967;0,33795;3,999409841
T; raincodeData/Test/ALCP259.COB;407;0,014300573;0,31805;22,24036777
T; raincodeData/Test/ALCP262.COB;773;0,025600123;0,35885;14,01751055
T; raincodeData/Test/ALCP263.COB;1373;0,247799397;0,23905;0,964691615
T; raincodeData/Test/ALCP264.COB;417;0,014699244;0,34515;23,48079862
;;;0,079400641;0,336725;4,240834796
