mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Test/ALCB018.COB;1523;0,201150227;0,3364;1,672381909
T; raincodeData/Test/ALCB025.COB;1205;0,11660012;0,28755;2,46612096
T; raincodeData/Test/ALCB044.COB;7678;0,970394874;0,4775;0,492067727
T; raincodeData/Test/ALCB073.COB;1291;0,21139946;0,32405;1,532879981
T; raincodeData/Test/ALCB087.COB;12592;1,366761172;0,512;0,374608242
T; raincodeData/Test/ALCB096.COB;2446;0,328323734;0,3211;0,977998137
T; raincodeData/Test/ALCB207.COB;1953;0,287160528;0,32265;1,123587572
T; raincodeData/Test/ALCB212.COB;1286;0,450449741;0,33695;0,748030178
T; raincodeData/Test/ALCB213.COB;1409;0,519750333;0,3306;0,636074629
T; raincodeData/Test/ALCB216.COB;1126;0,193056619;0,31005;1,60600554
T; raincodeData/Test/ALCB229.COB;1267;0,210580254;0,3322;1,577545825
T; raincodeData/Test/ALCB231.COB;1693;0,325196028;0,34205;1,051827116
T; raincodeData/Test/ALCB232.COB;1478;0,193400288;0,30615;1,58298627
T; raincodeData/Test/ALCB233.COB;1414;0,427350307;0,30055;0,703287199
T; raincodeData/Test/ALCB234.COB;1474;0,419149709;0,31055;0,740904726
T; raincodeData/Test/ALCB327.COB;1304;0,245309317;0,2778;1,132447814
T; raincodeData/Test/ALCB328.COB;1622;0,43350023;0,2773;0,639676707
T; raincodeData/Test/ALCB332.COB;1748;0,168699658;0,27345;1,620928005
T; raincodeData/Test/ALCB343.COB;9294;0,949849606;0,51815;0,545507412
T; raincodeData/Test/ALCB369.COB;2297;0,543050122;0,32445;0,597458663
T; raincodeData/Test/ALCB486.COB;2923;0,434198809;0,27525;0,633926198
T; raincodeData/Test/ALCB487.COB;3069;0,377649724;0,3519;0,931815853
T; raincodeData/Test/ALCB506.COB;3804;0,343549049;0,305;0,887791717
T; raincodeData/Test/ALCB517.COB;13160;3,335422456;0,5472;0,164057179
T; raincodeData/Test/ALCB527.COB;6463;1,111449444;0,29965;0,269602906
T; raincodeData/Test/ALCB528.COB;5969;0,749249196;0,3812;0,508775988
T; raincodeData/Test/ALCB530.COB;6590;0,776901042;0,3359;0,432358797
T; raincodeData/Test/ALCB541.COB;6572;0,647156656;0,3324;0,513631432
T; raincodeData/Test/ALCB576.COB;3646;0,323872399;0,3004;0,927525781
T; raincodeData/Test/ALCB581.COB;5979;1,168999326;0,3415;0,292130194
T; raincodeData/Test/ALCB582.COB;5375;0,742330742;0,3378;0,455053228
T; raincodeData/Test/ALCB583.COB;5648;0,755543435;0,29035;0,38429293
T; raincodeData/Test/ALCB584.COB;2254;0,576324368;0,2985;0,517937496
T; raincodeData/Test/ALCB585.COB;2873;0,658220243;0,306;0,464889986
T; raincodeData/Test/ALCB587.COB;1228;0,406584108;0,28385;0,698133534
T; raincodeData/Test/ALCB611.COB;1919;0,21054554;0,3456;1,641450112
T; raincodeData/Test/ALCB617.COB;2069;0,211649013;0,34135;1,612811682
T; raincodeData/Test/ALCB618.COB;1700;0,182548594;0,3247;1,778704465
T; raincodeData/Test/ALCB619.COB;1700;0,167426884;0,25155;1,502446881
T; raincodeData/Test/ALCB625.COB;4072;0,421953738;0,35365;0,838125056
T; raincodeData/Test/ALCB648.COB;2605;0,266449487;0,3342;1,254271508
T; raincodeData/Test/ALCB649.COB;1808;0,172042036;0,32395;1,882970043
T; raincodeData/Test/ALCB653.COB;2348;0,239229631;0,3199;1,337208932
T; raincodeData/Test/ALCB654.COB;4321;0,431749249;0,3415;0,790968372
T; raincodeData/Test/ALCB655.COB;4352;0,446094561;0,34905;0,782457422
T; raincodeData/Test/ALCB659.COB;1690;0,17788986;0,3237;1,819665273
T; raincodeData/Test/ALCB660.COB;1829;0,185402918;0,2895;1,561464099
T; raincodeData/Test/ALCB661.COB;3782;0,387598526;0,3526;0,909704181
T; raincodeData/Test/ALCB665.COB;3327;0,433801305;0,28165;0,649260379
T; raincodeData/Test/ALCB668.COB;1075;0,400631607;0,3029;0,756056175
T; raincodeData/Test/ALCB682.COB;3320;0,601299465;0,3029;0,503742341
T; raincodeData/Test/ALCB683.COB;2620;0,505549705;0,28695;0,567599975
T; raincodeData/Test/ALCB751.COB;1532;0,271104193;0,32225;1,188657382
T; raincodeData/Test/ALCB756.COB;1983;0,310498798;0,3334;1,07375617
T; raincodeData/Test/ALCB937.COB;8697;1,020365417;0,4932;0,483356248
T; raincodeData/Test/ALCB997.COB;4788;0,744216812;0,3413;0,458602916
T; raincodeData/Test/ALCC024.COB;3269;0,594444811;0,4238;0,712934139
T; raincodeData/Test/ALCC025.COB;2186;0,288249326;0,5015;1,739813263
T; raincodeData/Test/ALCC026.COB;3218;0,586348832;0,2707;0,461670571
T; raincodeData/Test/ALCC027.COB;3252;0,577102864;0,3965;0,68705256
T; raincodeData/Test/ALCC028.COB;2175;0,274550581;0,55405;2,018025232
T; raincodeData/Test/ALCC029.COB;2062;0,256221318;0,3227;1,259458043
T; raincodeData/Test/ALCC030.COB;2910;0,492399871;0,44355;0,900792274
T; raincodeData/Test/ALCC031.COB;1962;0,25446403;0,25485;1,001516795
T; raincodeData/Test/ALCC032.COB;2532;0,380109763;0,4284;1,127042874
T; raincodeData/Test/ALCC048.COB;2097;0,269934618;0,32155;1,191214383
T; raincodeData/Test/ALCC049.COB;2191;0,276245153;0,465;1,683287453
T; raincodeData/Test/ALCC065.COB;2757;0,524053717;0,29735;0,567403666
T; raincodeData/Test/ALCC066.COB;3860;0,746466398;0,32125;0,430360966
T; raincodeData/Test/ALCC067.COB;2078;0,258836412;0,29535;1,141068203
T; raincodeData/Test/ALCC068.COB;2198;0,279595208;0,43135;1,542766068
T; raincodeData/Test/ALCC070.COB;2260;0,308249533;0,48045;1,55863983
T; raincodeData/Test/ALCC200.COB;1726;0,207598436;0,27905;1,344181611
T; raincodeData/Test/ALCP021.COB;4767;0,791825008;0,35265;0,445363554
T; raincodeData/Test/ALCP022.COB;2269;0,178949237;0,32865;1,836554353
T; raincodeData/Test/ALCP023.COB;547;0,046102989;0,29775;6,458366546
T; raincodeData/Test/ALCP040.COB;3860;0,34772042;0,2621;0,753766488
T; raincodeData/Test/ALCP041.COB;879;0,078899086;0,3333;4,224383563
T; raincodeData/Test/ALCP042.COB;4071;0,382029009;0,34895;0,913412311
T; raincodeData/Test/ALCP052.COB;2199;0,205413651;0,3369;1,64010521
T; raincodeData/Test/ALCP070.COB;2933;0,272146213;0,27825;1,022428337
T; raincodeData/Test/ALCP071.COB;996;0,318989062;0,3049;0,955832146
T; raincodeData/Test/ALCP072.COB;3668;0,359211552;0,3298;0,91812192
T; raincodeData/Test/ALCP076.COB;3196;0,342149103;0,35835;1,047350401
T; raincodeData/Test/ALCP077.COB;5308;0,513183439;0,32075;0,62502017
T; raincodeData/Test/ALCP078.COB;1016;0,09321208;0,32135;3,447514528
T; raincodeData/Test/ALCP079.COB;1889;0,179650128;0,2927;1,629277994
T; raincodeData/Test/ALCP080.COB;1361;0,130004311;0,33105;2,546454025
T; raincodeData/Test/ALCP081.COB;2955;0,301700854;0,29705;0,98458455
T; raincodeData/Test/ALCP082.COB;2554;0,223872578;0,34105;1,523411232
T; raincodeData/Test/ALCP083.COB;5607;0,806166112;0,3669;0,455117121
T; raincodeData/Test/ALCP084.COB;3690;0,338349319;0,32955;0,973993391
T; raincodeData/Test/ALCP089.COB;1778;0,155507135;0,2698;1,734968619
T; raincodeData/Test/ALCP090.COB;7835;1,23873328;0,4892;0,394919559
T; raincodeData/Test/ALCP091.COB;3476;0,314166796;0,3317;1,055808583
T; raincodeData/Test/ALCP094.COB;2022;0,19484905;0,3341;1,714660656
T; raincodeData/Test/ALCP095.COB;1159;0,107350326;0,3271;3,047033143
T; raincodeData/Test/ALCP097.COB;2708;0,31164124;0,3068;0,984465342
T; raincodeData/Test/ALCP120.COB;1791;0,17824924;0,29735;1,668169806
T; raincodeData/Test/ALCP201.COB;8665;2,108351588;0,47275;0,224227308
T; raincodeData/Test/ALCP202.COB;1512;0,150698936;0,2908;1,929675204
T; raincodeData/Test/ALCP206.COB;1638;0,162374222;0,26655;1,641578301
T; raincodeData/Test/ALCP208.COB;2097;0,27255013;0,2274;0,834341925
T; raincodeData/Test/ALCP209.COB;3053;0,323498034;0,3109;0,961056844
T; raincodeData/Test/ALCP215.COB;1075;0,097899318;0,3445;3,518921357
