mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/Delivery/V1\ALCB018.COB;1523;0,21984905;0,2276;1,035255781
T; raincodeData/Delivery/V1\ALCB025.COB;1205;0,13794961;0,33755;2,446907973
T; raincodeData/Delivery/V1\ALCB044.COB;7678;1,162649488;0,44235;0,380467204
T; raincodeData/Delivery/V1\ALCB073.COB;1291;0,217379367;0,32315;1,486571628
T; raincodeData/Delivery/V1\ALCB087.COB;12592;1,754698861;0,524;0,29862674
T; raincodeData/Delivery/V1\ALCB096.COB;2446;0,329799235;0,32465;0,984386759
T; raincodeData/Delivery/V1\ALCB207.COB;1953;0,283150041;0,26275;0,927953247
T; raincodeData/Delivery/V1\ALCB212.COB;1286;0,351200032;0,3384;0,963553442
T; raincodeData/Delivery/V1\ALCB213.COB;1409;0,377099752;0,3299;0,874834836
T; raincodeData/Delivery/V1\ALCB216.COB;1126;0,175199914;0,321;1,83219268
T; raincodeData/Delivery/V1\ALCB229.COB;1267;0,210099709;0,3394;1,615423465
T; raincodeData/Delivery/V1\ALCB231.COB;1693;0,284399974;0,2879;1,012306702
T; raincodeData/Delivery/V1\ALCB232.COB;1478;0,226550734;0,3164;1,396596667
T; raincodeData/Delivery/V1\ALCB233.COB;1414;0,372300172;0,24905;0,668949463
T; raincodeData/Delivery/V1\ALCB234.COB;1474;0,380999541;0,30025;0,788058692
T; raincodeData/Delivery/V1\ALCB327.COB;1304;0,217499447;0,314;1,443681832
T; raincodeData/Delivery/V1\ALCB328.COB;1622;0,396300197;0,28475;0,718520966
T; raincodeData/Delivery/V1\ALCB332.COB;1748;0,218199372;0,29685;1,360453043
T; raincodeData/Delivery/V1\ALCB343.COB;9294;1,214900124;0,4745;0,390567085
T; raincodeData/Delivery/V1\ALCB369.COB;2297;0,477949321;0,30075;0,629250815
T; raincodeData/Delivery/V1\ALCB486.COB;2923;0,43339895;0,2627;0,606138986
T; raincodeData/Delivery/V1\ALCB487.COB;3069;0,431999397;0,35875;0,830440973
T; raincodeData/Delivery/V1\ALCB506.COB;3804;0,458399475;0,35715;0,77912393
T; raincodeData/Delivery/V1\ALCB517.COB;13160;3,49829849;0,5054;0,144470234
T; raincodeData/Delivery/V1\ALCB527.COB;6463;1,254100156;0,28935;0,230723199
T; raincodeData/Delivery/V1\ALCB528.COB;5969;0,916699278;0,32755;0,357314561
T; raincodeData/Delivery/V1\ALCB530.COB;6590;0,923849404;0,3231;0,349732325
T; raincodeData/Delivery/V1\ALCB541.COB;6572;0,827349687;0,36635;0,442799467
T; raincodeData/Delivery/V1\ALCB576.COB;3646;0,443799567;0,2547;0,573907725
T; raincodeData/Delivery/V1\ALCB581.COB;5979;1,172349632;0,36215;0,308909552
T; raincodeData/Delivery/V1\ALCB582.COB;5375;0,850799012;0,3559;0,418312662
T; raincodeData/Delivery/V1\ALCB583.COB;5648;0,866449463;0,33145;0,382538179
T; raincodeData/Delivery/V1\ALCB584.COB;2254;0,518099558;0,302;0,582899551
T; raincodeData/Delivery/V1\ALCB585.COB;2873;0,6256495;0,3368;0,538320577
T; raincodeData/Delivery/V1\ALCB587.COB;1228;0,336448824;0,32695;0,971767402
T; raincodeData/Delivery/V1\ALCB611.COB;1919;0,253899574;0,33495;1,319222377
T; raincodeData/Delivery/V1\ALCB617.COB;2069;0,273249078;0,3109;1,13778975
T; raincodeData/Delivery/V1\ALCB618.COB;1700;0,22895062;0,28085;1,226683729
T; raincodeData/Delivery/V1\ALCB619.COB;1700;0,218599761;0,33555;1,534997107
