mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,050275767;0,274;5,449941735
T; raincodeData/parseTests/ALCB0182.COB;2089;0,089699411;0,2963;3,303254675
T; raincodeData/parseTests/ALCB0183.COB;3017;0,127698934;0,2998;2,347709495
T; raincodeData/parseTests/ALCB0184.COB;4061;0,167648506;0,30275;1,805861603
T; raincodeData/parseTests/ALCB0185.COB;5047;0,210285282;0,2924;1,390491988
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,441998398;0,46555;1,05328436
T; raincodeData/parseTests/ALCB01820K.COB;20010;1,125897121;0,56985;0,506129725
T; raincodeData/parseTests/ALCB01830K.COB;30025;2,146490097;0,6863;0,319731268
T; raincodeData/parseTests/ALCB01840K.COB;40019;3,55909133;0,6371;0,179006365
T; raincodeData/parseTests/ALCB01850K.COB;50012;5,240483522;0,70435;0,134405537
