mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,049748695;0,2724;5,475520525
T; raincodeData/parseTests/ALCB0182.COB;2089;0,090147913;0,26865;2,980102285
T; raincodeData/parseTests/ALCB0183.COB;3017;0,12619791;0,2977;2,358993103
T; raincodeData/parseTests/ALCB0184.COB;4061;0,167897522;0,2654;1,580726125
T; raincodeData/parseTests/ALCB0185.COB;5047;0,210447586;0,27945;1,327884087
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,441747189;0,4617;1,045167942
T; raincodeData/parseTests/ALCB01820K.COB;20010;1,113067782;0,5833;0,524047151
T; raincodeData/parseTests/ALCB01830K.COB;30025;2,155747676;0,7005;0,324945265
T; raincodeData/parseTests/ALCB01840K.COB;40019;3,586100101;0,62625;0,174632604
T; raincodeData/parseTests/ALCB01850K.COB;50012;5,189055276;0,71255;0,137317867
