mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,051049721;0,28835;5,648414781
T; raincodeData/parseTests/ALCB0182.COB;2089;0,092549348;0,29555;3,19343147
T; raincodeData/parseTests/ALCB0183.COB;3017;0,127397943;0,3223;2,529868172
T; raincodeData/parseTests/ALCB0184.COB;4061;0,172097933;0,2719;1,579914382
T; raincodeData/parseTests/ALCB0185.COB;5047;0,211036384;0,33035;1,565369883
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,444004726;0,46565;1,048750097
T; raincodeData/parseTests/ALCB01820K.COB;20010;1,116471088;0,5706;0,511074587
T; raincodeData/parseTests/ALCB01830K.COB;30025;2,135963774;0,661;0,309462177
T; raincodeData/parseTests/ALCB01840K.COB;40019;3,553853893;0,62185;0,174979056
T; raincodeData/parseTests/ALCB01850K.COB;50012;5,265224504;0,7067;0,134220298
