mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB; 987 ; 0,09207606315612793 ; 0,30910000000000004 ; 3,357007124380171 
T; raincodeData/parseTests/ALCB01810K.COB; 10006 ; 2,335829532146454 ; 0,43744999999999995 ; 0,1872782212827046 
T; raincodeData/parseTests/ALCB0182.COB; 2089 ; 0,2577690720558167 ; 0,26470000000000005 ; 1,0268881285443063 
T; raincodeData/parseTests/ALCB01820K.COB; 20010 ; 8,12190113067627 ; 0,5398 ; 0,06646227174093335 
T; raincodeData/parseTests/ALCB0183.COB; 3017 ; 0,3306496381759644 ; 0,2864 ; 0,8661736379931687 
T; raincodeData/parseTests/ALCB01830K.COB; 30025 ; 17,184658670425414 ; 0,6875000000000001 ; 0,040006613642153924 
T; raincodeData/parseTests/ALCB0184.COB; 4061 ; 0,5376981377601624 ; 0,25765000000000005 ; 0,4791722007319348 
T; raincodeData/parseTests/ALCB01840K.COB; 40019 ; 30,5156521320343 ; 0,6316499999999999 ; 0,020699213546772448 
T; raincodeData/parseTests/ALCB0185.COB; 5047 ; 0,7034980297088623 ; 0,29679999999999995 ; 0,42189172885505954 
T; raincodeData/parseTests/ALCB01850K.COB; 50012 ; 48,179516804218295 ; 0,702 ; 0,014570507272886083 
