mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,055249894;0,3117;5,641639817
T; raincodeData/parseTests/ALCB0182.COB;2089;0,09092865;0,34525;3,796933094
T; raincodeData/parseTests/ALCB0183.COB;3017;0,126519775;0,33835;2,674285494
T; raincodeData/parseTests/ALCB0184.COB;4061;0,161399209;0,3413;2,114632414
T; raincodeData/parseTests/ALCB0185.COB;5047;0,203449869;0,38355;1,885230999
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,42879957;0,59325;1,383513516
T; raincodeData/parseTests/ALCB01820K.COB;20010;1,169957113;0,74095;0,633313813
T; raincodeData/parseTests/ALCB01830K.COB;30025;2,350648344;0,85025;0,361708719
T; raincodeData/parseTests/ALCB01840K.COB;40019;4,098950255;0,7709;0,188072543
T; raincodeData/parseTests/ALCB01850K.COB;50012;6,366948295;0,69525;0,10919674
