mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,028999531;0,32425;11,18121521
T; raincodeData/parseTests/ALCB0182.COB;2089;0,067549515;0,34305;5,07849688
T; raincodeData/parseTests/ALCB0183.COB;3017;0,106898713;0,26265;2,456998708
T; raincodeData/parseTests/ALCB0184.COB;4061;0,172698915;0,36105;2,090632706
T; raincodeData/parseTests/ALCB0185.COB;5047;0,233498716;0,332;1,421849358
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,775797844;0,55;0,708947575
T; raincodeData/parseTests/ALCB01820K.COB;20010;2,941498208;0,6859;0,233180492
T; raincodeData/parseTests/ALCB01830K.COB;30025;6,392081296;0,84375;0,13199926
T; raincodeData/parseTests/ALCB01840K.COB;40019;11,20852479;0,74945;0,066864285
T; raincodeData/parseTests/ALCB01850K.COB;50012;17,85398506;0,84025;0,047062322
