mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB; 987 ; 0,11549816131591797 ; 0,29955 ; 2,593547781082433 
T; raincodeData/parseTests/ALCB01810K.COB; 10006 ; 0,5924373745918274 ; 0,6188 ; 1,0444985859076426 
T; raincodeData/parseTests/ALCB0182.COB; 2089 ; 0,16419843435287476 ; 0,2714 ; 1,6528781231661502 
T; raincodeData/parseTests/ALCB01820K.COB; 20010 ; 1,4649922251701355 ; 0,8402499999999999 ; 0,5735525319272041 
T; raincodeData/parseTests/ALCB0183.COB; 3017 ; 0,20844887495040892 ; 0,3497 ; 1,6776295870303712 
T; raincodeData/parseTests/ALCB01830K.COB; 30025 ; 2,9246437668800356 ; 0,93405 ; 0,31937222938998483 
T; raincodeData/parseTests/ALCB0184.COB; 4061 ; 0,2645485520362854 ; 0,3667 ; 1,3861349728714583 
T; raincodeData/parseTests/ALCB01840K.COB; 40019 ; 5,011024904251099 ; 0,84385 ; 0,1683986841262993 
T; raincodeData/parseTests/ALCB0185.COB; 5047 ; 0,30669925212860105 ; 0,36739999999999995 ; 1,197916191350694 
T; raincodeData/parseTests/ALCB01850K.COB; 50012 ; 7,894596266746521 ; 0,9755500000000001 ; 0,12357186701354123 
