mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,110377634;0,2935;2,659053202
T; raincodeData/parseTests/ALCB0182.COB;2089;0,156799245;0,3352;2,137765397
T; raincodeData/parseTests/ALCB0183.COB;3017;0,234520698;0,3648;1,555513026
T; raincodeData/parseTests/ALCB0184.COB;4061;0,25464859;0,36625;1,43825654
T; raincodeData/parseTests/ALCB0185.COB;5047;0,333458745;0,32945;0,987978287
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,531948185;0,51825;0,974249024
T; raincodeData/parseTests/ALCB01820K.COB;20010;1,216348314;0,6955;0,571793451
T; raincodeData/parseTests/ALCB01830K.COB;30025;2,864979434;0,83735;0,292270859
T; raincodeData/parseTests/ALCB01840K.COB;40019;4,864486468;0,975;0,200432257
T; raincodeData/parseTests/ALCB01850K.COB;50012;7,894635344;0,8737;0,110670089
