mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,054301631;0,3484;6,416013492
T; raincodeData/parseTests/ALCB0182.COB;2089;0,100399137;0,33315;3,318255629
T; raincodeData/parseTests/ALCB0183.COB;3017;0,160961914;0,35005;2,174738056
T; raincodeData/parseTests/ALCB0184.COB;4061;0,200616789;0,29765;1,483674431
T; raincodeData/parseTests/ALCB0185.COB;5047;0,224929857;0,30205;1,342863076
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,491177297;0,51785;1,054303616
T; raincodeData/parseTests/ALCB01820K.COB;20010;1,278729784;0,81085;0,634105821
T; raincodeData/parseTests/ALCB01830K.COB;30025;2,9158777;0,8473;0,29058146
T; raincodeData/parseTests/ALCB01840K.COB;40019;4,758764625;0,6509;0,136779196
T; raincodeData/parseTests/ALCB01850K.COB;50012;6,797513115;0,8836;0,129988716
