mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,091998935;0,27405;2,978838839
T; raincodeData/parseTests/ALCB0182.COB;2089;0,122449899;0,3332;2,721112908
T; raincodeData/parseTests/ALCB0183.COB;3017;0,195291007;0,3086;1,580205896
T; raincodeData/parseTests/ALCB0184.COB;4061;0,275800121;0,3394;1,230601346
T; raincodeData/parseTests/ALCB0185.COB;5047;0,37539947;0,38485;1,025174595
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,889449322;0,56215;0,632020269
T; raincodeData/parseTests/ALCB01820K.COB;20010;3,381282794;0,7416;0,219325045
T; raincodeData/parseTests/ALCB01830K.COB;30025;6,932815218;0,85425;0,123218342
T; raincodeData/parseTests/ALCB01840K.COB;40019;12,06795663;0,805;0,066705576
T; raincodeData/parseTests/ALCB01850K.COB;50012;18,03095562;0,9162;0,050812615
