mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,147049284;0,29615;2,013950643
T; raincodeData/parseTests/ALCB0182.COB;2089;0,539649594;0,3327;0,616511165
T; raincodeData/parseTests/ALCB0183.COB;3017;1,0051;0,3414;0,339667695
T; raincodeData/parseTests/ALCB0184.COB;4061;1,89344753;0,3202;0,169109518
T; raincodeData/parseTests/ALCB0185.COB;5047;3,203149807;0,2842;0,088725167
T; raincodeData/parseTests/ALCB01810K.COB;10006;11,18335015;0,37225;0,03328609
T; raincodeData/parseTests/ALCB01820K.COB;20010;46,91970665;0,7305;0,015569151
T; raincodeData/parseTests/ALCB01830K.COB;30025;121,3916394;0,8516;0,00701531
T; raincodeData/parseTests/ALCB01840K.COB;40019;262,3043427;0,8612;0,003283209
T; raincodeData/parseTests/ALCB01850K.COB;50012;425,4835425;0,86585;0,002034979
