mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,03504858;0,3192;9,107358942
T; raincodeData/parseTests/ALCB0182.COB;2089;0,107599735;0,3563;3,311346437
T; raincodeData/parseTests/ALCB0183.COB;3017;0,191299844;0,3305;1,727654312
T; raincodeData/parseTests/ALCB0184.COB;4061;0,329554808;0,31975;0,970248323
T; raincodeData/parseTests/ALCB0185.COB;5047;0,478199303;0,36995;0,773631408
T; raincodeData/parseTests/ALCB01810K.COB;10006;2,137596178;0,66275;0,310044529
T; raincodeData/parseTests/ALCB01820K.COB;20010;9,364597416;0,6949;0,074205005
T; raincodeData/parseTests/ALCB01830K.COB;30025;20,4993696;0,8469;0,041313466
T; raincodeData/parseTests/ALCB01840K.COB;40019;36,92331792;0,79135;0,021432256
T; raincodeData/parseTests/ALCB01850K.COB;50012;58,42739685;0,9469;0,016206438
