mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,028449154;0,3324;11,68400302
T; raincodeData/parseTests/ALCB0182.COB;2089;0,071799445;0,33425;4,655328454
T; raincodeData/parseTests/ALCB0183.COB;3017;0,12870003;0,3414;2,652680037
T; raincodeData/parseTests/ALCB0184.COB;4061;0,205449283;0,30835;1,500857026
T; raincodeData/parseTests/ALCB0185.COB;5047;0,267049086;0,35945;1,346007228
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,944749117;0,55035;0,582535607
T; raincodeData/parseTests/ALCB01820K.COB;20010;3,915672779;0,7322;0,186992132
T; raincodeData/parseTests/ALCB01830K.COB;30025;9,129071581;0,9655;0,105761029
T; raincodeData/parseTests/ALCB01840K.COB;40019;16,31564406;0,7188;0,044055877
T; raincodeData/parseTests/ALCB01850K.COB;50012;25,26455224;0,8607;0,034067495
