mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,056000078;0,2966;5,29642122
T; raincodeData/parseTests/ALCB0182.COB;2089;0,114154899;0,31655;2,772986551
T; raincodeData/parseTests/ALCB0183.COB;3017;0,189750957;0,31975;1,685103486
T; raincodeData/parseTests/ALCB0184.COB;4061;0,296548676;0,32935;1,110610251
T; raincodeData/parseTests/ALCB0185.COB;5047;0,494299519;0,29835;0,603581409
T; raincodeData/parseTests/ALCB01810K.COB;10006;1,971870232;0,43965;0,22296092
T; raincodeData/parseTests/ALCB01820K.COB;20010;7,045529902;0,577;0,081895898
T; raincodeData/parseTests/ALCB01830K.COB;30025;15,85365312;0,6796;0,042867092
T; raincodeData/parseTests/ALCB01840K.COB;40019;29,7184587;0,622;0,020929753
T; raincodeData/parseTests/ALCB01850K.COB;50012;47,18767238;0,69855;0,014803655
