mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; raincodeData/parseTests/ALCB018.COB;987;0,024400139;0,3255;13,34008802
T; raincodeData/parseTests/ALCB0182.COB;2089;0,065297365;0,3073;4,706162325
T; raincodeData/parseTests/ALCB0183.COB;3017;0,098899519;0,3431;3,469177625
T; raincodeData/parseTests/ALCB0184.COB;4061;0,152749801;0,31005;2,029789883
T; raincodeData/parseTests/ALCB0185.COB;5047;0,250308216;0,3235;1,29240664
T; raincodeData/parseTests/ALCB01810K.COB;10006;0,96855166;0,557;0,575085484
T; raincodeData/parseTests/ALCB01820K.COB;20010;4,49253037;0,7051;0,156949412
T; raincodeData/parseTests/ALCB01830K.COB;30025;9,660473764;0,88035;0,091129071
T; raincodeData/parseTests/ALCB01840K.COB;40019;18,17549237;0,7752;0,042650839
T; raincodeData/parseTests/ALCB01850K.COB;50012;28,11892329;0,8564;0,030456358
