mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; Cobol_85\IC101A.cob; 382 ; 0,5648859739303589 ; 0,34114999999999995 ; 0,6039271919363643 
T; Cobol_85\IC102A.cob; 48 ; 0,010919404029846192 ; 0,27875 ; 25,527949990502037 
T; Cobol_85\IC103A.cob; 497 ; 0,6574098110198975 ; 0,24434999999999998 ; 0,3716859649857041 
T; Cobol_85\IC104A.cob; 71 ; 0,010898983478546143 ; 0,31805000000000005 ; 29,181620526910457 
T; Cobol_85\IC105A.cob; 64 ; 0,021597516536712647 ; 0,23195000000000002 ; 10,739660720051708 
T; Cobol_85\IC106A.cob; 530 ; 0,6971994876861572 ; 0,2643 ; 0,3790880582502293 
T; Cobol_85\IC107A.cob; 109 ; 0,01664912700653076 ; 0,3238 ; 19,44846717025984 
T; Cobol_85\IC108A.cob; 444 ; 0,4539500713348389 ; 0,24289999999999998 ; 0,5350808719684815 
T; Cobol_85\IC109A.cob; 65 ; 0,008099675178527832 ; 0,3215 ; 39,692949768194865 
T; Cobol_85\IC110A.cob; 69 ; 0,009249699115753175 ; 0,3299500000000001 ; 35,67143059151641 
T; Cobol_85\IC111A.cob; 56 ; 0,00719980001449585 ; 0,2915500000000001 ; 40,49418031237014 
T; Cobol_85\IC112A.cob; 555 ; 0,47171175479888916 ; 0,32755 ; 0,6943859182386679 
T; Cobol_85\IC113A.cob; 78 ; 0,02095785140991211 ; 0,2672 ; 12,749398532028266 
T; Cobol_85\IC114A.cob; 471 ; 0,38094903230667115 ; 0,32265 ; 0,8469636949760267 
T; Cobol_85\IC115A.cob; 213 ; 0,054000020027160645 ; 0,28665 ; 5,308331364614722 
T; Cobol_85\IC116M.cob; 343 ; 0,1866993188858032 ; 0,2835 ; 1,5184843827598857 
T; Cobol_85\IC117M.cob; 71 ; 0,006949317455291748 ; 0,26015 ; 37,43533112045438 
T; Cobol_85\IC118M.cob; 55 ; 0,00615009069442749 ; 0,33175000000000004 ; 53,94229394057457 
T; Cobol_85\IC201A.cob; 619 ; 1,3066136598587037 ; 0,28884999999999994 ; 0,22106764139541904 
T; Cobol_85\IC202A.cob; 58 ; 0,009849250316619873 ; 0,26270000000000004 ; 26,672080773164375 
T; Cobol_85\IC203A.cob; 683 ; 0,3088768720626831 ; 0,33470000000000005 ; 1,0836033069257334 
T; Cobol_85\IC204A.cob; 73 ; 0,01162034273147583 ; 0,33044999999999997 ; 28,437199111598964 
T; Cobol_85\IC205A.cob; 70 ; 0,01434934139251709 ; 0,23985000000000004 ; 16,715052868215768 
T; Cobol_85\IC206A.cob; 56 ; 0,00717475414276123 ; 0,33304999999999996 ; 46,41970907616696 
