mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
T; Cobol_85\IC101A.cob; 382 ; 0,650499951839447 ; 0,31124999999999997 ; 0,478478129198726 
T; Cobol_85\IC102A.cob; 48 ; 0,009749770164489746 ; 0,2981 ; 30,57507971682541 
T; Cobol_85\IC103A.cob; 497 ; 0,6452992796897888 ; 0,2824 ; 0,43762639892571487 
T; Cobol_85\IC104A.cob; 71 ; 0,009998071193695068 ; 0,20050000000000004 ; 20,053868002704192 
T; Cobol_85\IC105A.cob; 64 ; 0,023149645328521727 ; 0,30865000000000004 ; 13,332817657457804 
T; Cobol_85\IC106A.cob; 530 ; 0,6973441243171692 ; 0,24475000000000002 ; 0,3509744923134704 
T; Cobol_85\IC107A.cob; 109 ; 0,01589912176132202 ; 0,21735 ; 13,670566416363314 
T; Cobol_85\IC108A.cob; 444 ; 0,46032278537750243 ; 0,3117499999999999 ; 0,6772421655042328 
T; Cobol_85\IC109A.cob; 65 ; 0,007950150966644287 ; 0,22700000000000004 ; 28,552916913452705 
T; Cobol_85\IC110A.cob; 69 ; 0,008662140369415284 ; 0,27135 ; 31,325975847504857 
T; Cobol_85\IC111A.cob; 56 ; 0,007049942016601562 ; 0,26949999999999996 ; 38,227264758400516 
T; Cobol_85\IC112A.cob; 555 ; 0,42904860973358155 ; 0,3074 ; 0,7164689338834603 
T; Cobol_85\IC113A.cob; 78 ; 0,021099793910980224 ; 0,27019999999999994 ; 12,805812281388647 
T; Cobol_85\IC114A.cob; 471 ; 0,3768489003181458 ; 0,28335 ; 0,751892866771771 
T; Cobol_85\IC115A.cob; 213 ; 0,05554971694946289 ; 0,2642 ; 4,7560998418832545 
T; Cobol_85\IC116M.cob; 343 ; 0,18629931211471557 ; 0,32450000000000007 ; 1,7418207094623415 
T; Cobol_85\IC117M.cob; 71 ; 0,0065487146377563475 ; 0,31484999999999996 ; 48,07813707208207 
T; Cobol_85\IC118M.cob; 55 ; 0,006021654605865479 ; 0,24384999999999998 ; 40,4955142665397 
T; Cobol_85\IC201A.cob; 619 ; 1,221748149394989 ; 0,31520000000000004 ; 0,2579909780555734 
T; Cobol_85\IC202A.cob; 58 ; 0,010149514675140381 ; 0,31215000000000004 ; 30,75516514740963 
T; Cobol_85\IC203A.cob; 683 ; 0,27439866065979 ; 0,2613 ; 0,9522641231983626 
T; Cobol_85\IC204A.cob; 73 ; 0,010999917984008789 ; 0,3235 ; 29,40931018488415 
T; Cobol_85\IC205A.cob; 70 ; 0,013149940967559814 ; 0,28525 ; 21,692112588466834 
T; Cobol_85\IC206A.cob; 56 ; 0,0065999627113342285 ; 0,27830000000000005 ; 42,16690490115508 
T; Cobol_85\IC207A.cob; 479 ; 0,6107290387153625 ; 0,32315 ; 0,5291217209512905 
T; Cobol_85\IC208A.cob; 103 ; 0,022900032997131347 ; 0,33485000000000004 ; 14,622249672825633 
T; Cobol_85\IC209A.cob; 352 ; 0,3844994783401489 ; 0,3138 ; 0,8161259447077732 
T; Cobol_85\IC210A.cob; 50 ; 0,011450016498565673 ; 0,2847 ; 24,86459299300258 
T; Cobol_85\IC211A.cob; 40 ; 0,005449628829956055 ; 0,21614999999999998 ; 39,66325170841827 
T; Cobol_85\IC212A.cob; 40 ; 0,005349600315093994 ; 0,2918 ; 54,54613107762108 
T; Cobol_85\IC213A.cob; 341 ; 0,3361488103866577 ; 0,2841000000000001 ; 0,8451614023955994 
T; Cobol_85\IC214A.cob; 36 ; 0,005349564552307129 ; 0,3155 ; 58,9767628589383 
T; Cobol_85\IC215A.cob; 40 ; 0,0072500348091125485 ; 0,3141 ; 43,32392992171687 
T; Cobol_85\IC216A.cob; 333 ; 0,2842590093612671 ; 0,33685000000000004 ; 1,1850108137536448 
