 filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
 raincodeData/Delivery/V2\ALCB018.COB;987;0,069747531;0,31305;4,488330894
 raincodeData/Delivery/V2\ALCB025.COB;914;0,026263964;0,31405;11,95744854
 raincodeData/Delivery/V2\ALCB044.COB;3099;0,12539463;0,5137;4,096666645
 raincodeData/Delivery/V2\ALCB073.COB;1070;0,052400434;0,31835;6,075331359
 raincodeData/Delivery/V2\ALCB087.COB;3119;0,13359952;0,47075;3,523590511
 raincodeData/Delivery/V2\ALCB096.COB;1103;0,056983948;0,3235;5,677037354
 raincodeData/Delivery/V2\ALCB207.COB;1431;0,051554728;0,3163;6,135227844
 raincodeData/Delivery/V2\ALCB212.COB;959;0,174354672;0,31185;1,7885956
 raincodeData/Delivery/V2\ALCB213.COB;1013;0,033501697;0,3283;9,79950371
 raincodeData/Delivery/V2\ALCB216.COB;917;0,026967752;0,33175;12,30172987
 raincodeData/Delivery/V2\ALCB229.COB;1059;0,036522496;0,32785;8,97665927
 raincodeData/Delivery/V2\ALCB231.COB;1294;0,088603067;0,3352;3,783164735
 raincodeData/Delivery/V2\ALCB232.COB;957;0,026899612;0,30815;11,45555559
 raincodeData/Delivery/V2\ALCB233.COB;965;0,029050982;0,32275;11,10977935
 raincodeData/Delivery/V2\ALCB234.COB;971;0,029935288;0,3131;10,45922777
 raincodeData/Delivery/V2\ALCB327.COB;1122;0,040599871;0,3098;7,630566177
 raincodeData/Delivery/V2\ALCB328.COB;1216;0,041550124;0,3277;7,886859795
 raincodeData/Delivery/V2\ALCB332.COB;969;0,025199258;0,27575;10,94278238
 raincodeData/Delivery/V2\ALCB343.COB;2541;0,101105237;0,2969;2,936544226
 raincodeData/Delivery/V2\ALCB369.COB;1830;0,205550015;0,2966;1,442957813
 raincodeData/Delivery/V2\ALCB486.COB;1776;0,069500136;0,31305;4,504307708
 raincodeData/Delivery/V2\ALCB487.COB;1590;0,056500423;0,34265;6,064556371
 raincodeData/Delivery/V2\ALCB506.COB;1273;0,033200049;0,29555;8,902095188
 raincodeData/Delivery/V2\ALCB517.COB;7830;0,555678093;0,52985;0,953519684
 raincodeData/Delivery/V2\ALCB527.COB;3880;0,175012994;0,27275;1,558455713
 raincodeData/Delivery/V2\ALCB528.COB;2576;0,096049833;0,32245;3,357111501
 raincodeData/Delivery/V2\ALCB530.COB;2369;0,076850152;0,49455;6,435250771
 raincodeData/Delivery/V2\ALCB541.COB;2383;0,077099645;0,4884;6,334659506
 raincodeData/Delivery/V2\ALCB576.COB;1381;0,036600494;0,32925;8,995780126
 raincodeData/Delivery/V2\ALCB581.COB;3959;0,260599756;0,31975;1,226977356
 raincodeData/Delivery/V2\ALCB582.COB;3096;0,128399956;0,341;2,655764145
 raincodeData/Delivery/V2\ALCB583.COB;3084;0,173299992;0,3331;1,922100492
 raincodeData/Delivery/V2\ALCB584.COB;1560;0,069899726;0,3344;4,783995869
 raincodeData/Delivery/V2\ALCB585.COB;1981;0,093799913;0,2664;2,840087924
 raincodeData/Delivery/V2\ALCB587.COB;952;0,027550209;0,27895;10,12515021
 raincodeData/Delivery/V2\ALCB611.COB;1340;0,036899877;0,3502;9,490546645
 raincodeData/Delivery/V2\ALCB617.COB;1141;0,030150127;0,28955;9,603607841
 raincodeData/Delivery/V2\ALCB618.COB;1133;0,029702413;0,3498;11,77682093
 raincodeData/Delivery/V2\ALCB619.COB;1133;0,029797053;0,29675;9,959038454
 raincodeData/Delivery/V2\ALCB625.COB;1388;0,037551248;0,31205;8,309976792
 raincodeData/Delivery/V2\ALCB648.COB;1286;0,035152268;0,2669;7,592682125
 raincodeData/Delivery/V2\ALCB649.COB;1111;0,030651724;0,25105;8,190403816
 raincodeData/Delivery/V2\ALCB653.COB;1000;0,025449789;0,31905;12,53644992
 raincodeData/Delivery/V2\ALCB654.COB;1170;0,031405115;0,3092;9,8455299
 raincodeData/Delivery/V2\ALCB655.COB;1228;0,031449723;0,3487;11,08753795
 raincodeData/Delivery/V2\ALCB659.COB;979;0,025249887;0,28515;11,29312006
 raincodeData/Delivery/V2\ALCB660.COB;989;0,025300157;0,28275;11,17581995
 raincodeData/Delivery/V2\ALCB661.COB;975;0,025235021;0,30765;12,19139063
 raincodeData/Delivery/V2\ALCB665.COB;2000;0,066955936;0,34775;5,19371427
 raincodeData/Delivery/V2\ALCB668.COB;904;0,029999268;0,3218;10,72692838
 raincodeData/Delivery/V2\ALCB682.COB;2048;0,078461564;0,31975;4,075243793
 raincodeData/Delivery/V2\ALCB683.COB;1683;0,057156587;0,242;4,233982717
 raincodeData/Delivery/V2\ALCB751.COB;794;0,05970031;0,33585;5,625598907
 raincodeData/Delivery/V2\ALCB756.COB;1226;0,067900205;0,32195;4,741517373
 raincodeData/Delivery/V2\ALCB937.COB;4148;0,122799027;0,4182;3,405564444
 raincodeData/Delivery/V2\ALCB997.COB;3216;0,156104887;0,2846;1,823133192
 raincodeData/Delivery/V2\ALCC024.COB;2759;0,190503001;0,32785;1,720970262
 raincodeData/Delivery/V2\ALCC025.COB;1585;0,050800085;0,28075;5,526565549
 raincodeData/Delivery/V2\ALCC026.COB;2608;0,123589742;0,24015;1,943122429
 raincodeData/Delivery/V2\ALCC027.COB;2628;0,123370099;0,2867;2,323901838
 raincodeData/Delivery/V2\ALCC028.COB;1603;0,050290012;0,28735;5,71385821
 raincodeData/Delivery/V2\ALCC029.COB;1507;0,045479691;0,29585;6,505101361
 raincodeData/Delivery/V2\ALCC030.COB;2324;0,09843266;0,26665;2,708958589
 raincodeData/Delivery/V2\ALCC031.COB;1446;0,046463513;0,28355;6,10263795
 raincodeData/Delivery/V2\ALCC032.COB;1962;0,075798726;0,3038;4,007982927
 raincodeData/Delivery/V2\ALCC048.COB;1518;0,047050428;0,3068;6,520663265
 raincodeData/Delivery/V2\ALCC049.COB;1565;0,049099767;0,2748;5,596767879
 raincodeData/Delivery/V2\ALCC065.COB;2322;0,099799824;0,33135;3,320146144
 raincodeData/Delivery/V2\ALCC066.COB;2695;0,122649884;0,2523;2,057074914
 raincodeData/Delivery/V2\ALCC067.COB;1526;0,049933219;0,3156;6,320441714
 raincodeData/Delivery/V2\ALCC068.COB;1564;0,048282337;0,24745;5,125062588
 raincodeData/Delivery/V2\ALCC070.COB;1705;0,058117163;0,3138;5,399437667
 raincodeData/Delivery/V2\ALCC200.COB;1170;0,035184097;0,2153;6,119241833
 raincodeData/Delivery/V2\ALCP021.COB;2325;0,096402335;0,32255;3,345873307
 raincodeData/Delivery/V2\ALCP022.COB;798;0,020350051;0,34965;17,18177518
 raincodeData/Delivery/V2\ALCP023.COB;425;0,012000287;0,3268;27,23268297
 raincodeData/Delivery/V2\ALCP040.COB;880;0,023399854;0,34765;14,85693049
 raincodeData/Delivery/V2\ALCP041.COB;608;0,016300631;0,2873;17,62508504
 raincodeData/Delivery/V2\ALCP042.COB;929;0,024552739;0,2983;12,14935751
 raincodeData/Delivery/V2\ALCP052.COB;1168;0,032803988;0,3363;10,25180217
 raincodeData/Delivery/V2\ALCP070.COB;1101;0,02985127;0,3377;11,31275162
 raincodeData/Delivery/V2\ALCP071.COB;712;0,021056235;0,2956;14,03859723
 raincodeData/Delivery/V2\ALCP072.COB;1107;0,03139987;0,3253;10,35991553
 raincodeData/Delivery/V2\ALCP076.COB;1820;0,059562767;0,38735;6,503223783
 raincodeData/Delivery/V2\ALCP077.COB;1902;0,061368358;0,34895;5,686155058
 raincodeData/Delivery/V2\ALCP078.COB;723;0,019099796;0,3264;17,08918792
 raincodeData/Delivery/V2\ALCP079.COB;1241;0,03490026;0,31955;9,156092254
 raincodeData/Delivery/V2\ALCP080.COB;553;0,01480273;0,30965;20,91843858
 raincodeData/Delivery/V2\ALCP081.COB;1471;0,043443847;0,34915;8,036811344
 raincodeData/Delivery/V2\ALCP082.COB;935;0,026264596;0,3475;13,23073845
 raincodeData/Delivery/V2\ALCP083.COB;3020;0,149753308;0,2069;1,381605537
 raincodeData/Delivery/V2\ALCP084.COB;1257;0,032250762;0,3188;9,885037759
 raincodeData/Delivery/V2\ALCP089.COB;670;0,016650152;0,261;15,67553238
 raincodeData/Delivery/V2\ALCP090.COB;4541;0,23248539;0,4777;2,054752776
 raincodeData/Delivery/V2\ALCP091.COB;1419;0,035649872;0,35855;10,05753967
 raincodeData/Delivery/V2\ALCP094.COB;1539;0,035409582;0,33225;9,383053524
 raincodeData/Delivery/V2\ALCP095.COB;756;0,019203389;0,26715;13,91160718
 raincodeData/Delivery/V2\ALCP097.COB;1219;0,035605824;0,2934;8,240224971
 raincodeData/Delivery/V2\ALCP120.COB;1050;0,029551566;0,26265;8,887853968
 raincodeData/Delivery/V2\ALCP201.COB;5929;0,352757132;0,398;1,128255006
 raincodeData/Delivery/V2\ALCP202.COB;912;0,023600221;0,29265;12,40030778
 raincodeData/Delivery/V2\ALCP206.COB;1095;0,029550016;0,2864;9,692042154
 raincodeData/Delivery/V2\ALCP208.COB;1076;0,03649987;0,30465;8,34660511
 raincodeData/Delivery/V2\ALCP209.COB;1646;0,069962287;0,35565;5,083453036
 raincodeData/Delivery/V2\ALCP215.COB;685;0,017587626;0,34115;19,39716028
 raincodeData/Delivery/V2\ALCP218.COB;705;0,017050087;0,31435;18,43685558
 raincodeData/Delivery/V2\ALCP221.COB;666;0,018799782;0,3282;17,45764943
 raincodeData/Delivery/V2\ALCP242.COB;2717;0,094657397;0,28865;3,049418306
 raincodeData/Delivery/V2\ALCP243.COB;2826;0,111655664;0,34685;3,106425471
 raincodeData/Delivery/V2\ALCP244.COB;4113;0,21674993;0,28125;1,297578271
 raincodeData/Delivery/V2\ALCP246.COB;1327;0,055700588;0,34755;6,239610946
 raincodeData/Delivery/V2\ALCP247.COB;467;0,012800062;0,322;25,15612873
 raincodeData/Delivery/V2\ALCP250.COB;889;0,021999335;0,3321;15,09591066
 raincodeData/Delivery/V2\ALCP252.COB;1322;0,056899607;0,2691;4,729382386
 raincodeData/Delivery/V2\ALCP254.COB;1684;0,093859816;0,35955;3,830712832
 raincodeData/Delivery/V2\ALCP256.COB;1407;0,064614165;0,34465;5,33396974
 raincodeData/Delivery/V2\ALCP259.COB;407;0,01124984;0,3001;26,67593433
 raincodeData/Delivery/V2\ALCP262.COB;773;0,019399917;0,32655;16,83254613
 raincodeData/Delivery/V2\ALCP263.COB;1373;0,047686672;0,3407;7,144553902
 raincodeData/Delivery/V2\ALCP264.COB;417;0,011350131;0,3371;29,70009764
 raincodeData/Delivery/V2\ALCP298.COB;493;0,013200092;0,29365;22,24605654
