 filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
 TestFiles/pytest/comment_normal_test_file.COB;17;0.000700104;0.2916;416.5095472
 TestFiles/pytest/evaluate_if_mix_test_file.COB;21;0.015199769;0.2937;19.32266207
 TestFiles/pytest/evaluate_simple_test_file.COB;13;0.000949979;0.28315;298.0592203
 TestFiles/pytest/exec_sql_all_forms_test_file.COB;20;0.002849698;0.2977;104.4672102
 TestFiles/pytest/if_both_branch_test_file.COB;10;0.000750279;0.2948;392.9205002
 TestFiles/pytest/if_condition_base_test_file.COB;8;0.000150073;0.30765;2050.002332
 TestFiles/pytest/if_condition_case_insensitive_test_file.COB;9;0.000100052;0.3014;3012.433535
 TestFiles/pytest/if_condition_three_lines_test_file.COB;10;0.000400078;0.2991;747.6042172
 TestFiles/pytest/if_condition_two_lines_test_file.COB;9;1.00E-04;0.2956;2956
 TestFiles/pytest/if_left_branch_test_file.COB;10;0.000400078;0.28985;724.4837257
 TestFiles/pytest/if_nested_both_branch_test_file.COB;14;0.000349939;0.29215;834.8597898
 TestFiles/pytest/if_nested_left_branch_test_file.COB;12;0.000149989;0.28605;1907.139857
 TestFiles/pytest/if_nested_right_branch_test_file.COB;12;0.000150013;0.28925;1928.166226
 TestFiles/pytest/if_normal_test_file.COB;10;9.99E-05;0.30015;3004.504505
 TestFiles/pytest/if_no_end-if_test_file.COB;10;0.000499833;0.2993;598.7999992
 TestFiles/pytest/if_right_branch_test_file.COB;10;0.000449932;0.2922;649.4314696
 TestFiles/pytest/if_squish_end_test_file.COB;21;0.000750351;0.298;397.1474683
 TestFiles/pytest/if_squish_middle_test_file.COB;20;0.000649726;0.29715;457.3466354
 TestFiles/pytest/if_squish_start_test_file.COB;21;0.000399971;0.3013;753.3046146
 TestFiles/pytest/if_three_to_squish_test_file.COB;14;0.000250018;0.29285;1171.315665
 TestFiles/pytest/if_two_to_squish_test_file.COB;14;0.000599992;0.2886;481.0064134
 TestFiles/pytest/next_sentence_test_file.COB;13;0.000449812;0.30075;668.6126648
 TestFiles/pytest/next_sentence_v2_test_file.COB;13;0.00034976;0.3045;870.5969808
 TestFiles/pytest/performThru_base_test_file.COB;21;0.000449991;0.28915;642.5684069
 TestFiles/pytest/performThru_broken_goto_test_file.COB;22;0.000300097;0.28665;955.1911549
 TestFiles/pytest/performThru_chained_test_file.COB;22;0.000399995;0.28865;721.6340204
 TestFiles/pytest/performThru_goto_test_file.COB;22;0.000499725;0.29495;590.2246235
 TestFiles/pytest/perform_base_test_file.COB;21;0.000599933;0.2827;471.2192862
 TestFiles/pytest/perform_broken_goto_test_file.COB;22;0.000199997;0.2469;1234.518518
 TestFiles/pytest/perform_chained_test_file.COB;21;5.00E-05;0.2782;5564
 TestFiles/pytest/string_normal_test_file.COB;10;0.000449657;0.29935;665.7296562
 TestFiles/pytest/string_on_two_lines_test_file.COB;11;0.000449705;0.2938;653.3171746
;;0.030148446;9.35715;310.369231
