 filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
 raincodeData/Delivery/V2\ALCB018.COB;987;0.069747531;0.31305;4.488.330.894
 raincodeData/Delivery/V2\ALCB025.COB;914;0.026263964;0.31405;1.195.744.854
 raincodeData/Delivery/V2\ALCB044.COB;3099;0.12539463;0.5137;4.096.666.645
 raincodeData/Delivery/V2\ALCB073.COB;1070;0.052400434;0.31835;6.075.331.359
 raincodeData/Delivery/V2\ALCB087.COB;3119;0.13359952;0.47075;3.523.590.511
 raincodeData/Delivery/V2\ALCB096.COB;1103;0.056983948;0.3235;5.677.037.354
 raincodeData/Delivery/V2\ALCB207.COB;1431;0.051554728;0.3163;6.135.227.844
 raincodeData/Delivery/V2\ALCB212.COB;959;0.174354672;0.31185;17.885.956
 raincodeData/Delivery/V2\ALCB213.COB;1013;0.033501697;0.3283;979.950.371
 raincodeData/Delivery/V2\ALCB216.COB;917;0.026967752;0.33175;1.230.172.987
 raincodeData/Delivery/V2\ALCB229.COB;1059;0.036522496;0.32785;897.665.927
 raincodeData/Delivery/V2\ALCB231.COB;1294;0.088603067;0.3352;3.783.164.735
 raincodeData/Delivery/V2\ALCB232.COB;957;0.026899612;0.30815;1.145.555.559
 raincodeData/Delivery/V2\ALCB233.COB;965;0.029050982;0.32275;1.110.977.935
 raincodeData/Delivery/V2\ALCB234.COB;971;0.029935288;0.3131;1.045.922.777
 raincodeData/Delivery/V2\ALCB327.COB;1122;0.040599871;0.3098;7.630.566.177
 raincodeData/Delivery/V2\ALCB328.COB;1216;0.041550124;0.3277;7.886.859.795
 raincodeData/Delivery/V2\ALCB332.COB;969;0.025199258;0.27575;1.094.278.238
 raincodeData/Delivery/V2\ALCB343.COB;2541;0.101105237;0.2969;2.936.544.226
 raincodeData/Delivery/V2\ALCB369.COB;1830;0.205550015;0.2966;1.442.957.813
 raincodeData/Delivery/V2\ALCB486.COB;1776;0.069500136;0.31305;4.504.307.708
 raincodeData/Delivery/V2\ALCB487.COB;1590;0.056500423;0.34265;6.064.556.371
 raincodeData/Delivery/V2\ALCB506.COB;1273;0.033200049;0.29555;8.902.095.188
 raincodeData/Delivery/V2\ALCB517.COB;7830;0.555678093;0.52985;0.953519684
 raincodeData/Delivery/V2\ALCB527.COB;3880;0.175012994;0.27275;1.558.455.713
 raincodeData/Delivery/V2\ALCB528.COB;2576;0.096049833;0.32245;3.357.111.501
 raincodeData/Delivery/V2\ALCB530.COB;2369;0.076850152;0.49455;6.435.250.771
 raincodeData/Delivery/V2\ALCB541.COB;2383;0.077099645;0.4884;6.334.659.506
 raincodeData/Delivery/V2\ALCB576.COB;1381;0.036600494;0.32925;8.995.780.126
 raincodeData/Delivery/V2\ALCB581.COB;3959;0.260599756;0.31975;1.226.977.356
 raincodeData/Delivery/V2\ALCB582.COB;3096;0.128399956;0.341;2.655.764.145
 raincodeData/Delivery/V2\ALCB583.COB;3084;0.173299992;0.3331;1.922.100.492
 raincodeData/Delivery/V2\ALCB584.COB;1560;0.069899726;0.3344;4.783.995.869
 raincodeData/Delivery/V2\ALCB585.COB;1981;0.093799913;0.2664;2.840.087.924
 raincodeData/Delivery/V2\ALCB587.COB;952;0.027550209;0.27895;1.012.515.021
 raincodeData/Delivery/V2\ALCB611.COB;1340;0.036899877;0.3502;9.490.546.645
 raincodeData/Delivery/V2\ALCB617.COB;1141;0.030150127;0.28955;9.603.607.841
 raincodeData/Delivery/V2\ALCB618.COB;1133;0.029702413;0.3498;1.177.682.093
 raincodeData/Delivery/V2\ALCB619.COB;1133;0.029797053;0.29675;9.959.038.454
 raincodeData/Delivery/V2\ALCB625.COB;1388;0.037551248;0.31205;8.309.976.792
 raincodeData/Delivery/V2\ALCB648.COB;1286;0.035152268;0.2669;7.592.682.125
 raincodeData/Delivery/V2\ALCB649.COB;1111;0.030651724;0.25105;8.190.403.816
 raincodeData/Delivery/V2\ALCB653.COB;1000;0.025449789;0.31905;1.253.644.992
 raincodeData/Delivery/V2\ALCB654.COB;1170;0.031405115;0.3092;98.455.299
 raincodeData/Delivery/V2\ALCB655.COB;1228;0.031449723;0.3487;1.108.753.795
 raincodeData/Delivery/V2\ALCB659.COB;979;0.025249887;0.28515;1.129.312.006
 raincodeData/Delivery/V2\ALCB660.COB;989;0.025300157;0.28275;1.117.581.995
 raincodeData/Delivery/V2\ALCB661.COB;975;0.025235021;0.30765;1.219.139.063
 raincodeData/Delivery/V2\ALCB665.COB;2000;0.066955936;0.34775;519.371.427
 raincodeData/Delivery/V2\ALCB668.COB;904;0.029999268;0.3218;1.072.692.838
 raincodeData/Delivery/V2\ALCB682.COB;2048;0.078461564;0.31975;4.075.243.793
 raincodeData/Delivery/V2\ALCB683.COB;1683;0.057156587;0.242;4.233.982.717
 raincodeData/Delivery/V2\ALCB751.COB;794;0.05970031;0.33585;5.625.598.907
 raincodeData/Delivery/V2\ALCB756.COB;1226;0.067900205;0.32195;4.741.517.373
 raincodeData/Delivery/V2\ALCB937.COB;4148;0.122799027;0.4182;3.405.564.444
 raincodeData/Delivery/V2\ALCB997.COB;3216;0.156104887;0.2846;1.823.133.192
 raincodeData/Delivery/V2\ALCC024.COB;2759;0.190503001;0.32785;1.720.970.262
 raincodeData/Delivery/V2\ALCC025.COB;1585;0.050800085;0.28075;5.526.565.549
 raincodeData/Delivery/V2\ALCC026.COB;2608;0.123589742;0.24015;1.943.122.429
 raincodeData/Delivery/V2\ALCC027.COB;2628;0.123370099;0.2867;2.323.901.838
 raincodeData/Delivery/V2\ALCC028.COB;1603;0.050290012;0.28735;571.385.821
 raincodeData/Delivery/V2\ALCC029.COB;1507;0.045479691;0.29585;6.505.101.361
 raincodeData/Delivery/V2\ALCC030.COB;2324;0.09843266;0.26665;2.708.958.589
 raincodeData/Delivery/V2\ALCC031.COB;1446;0.046463513;0.28355;610.263.795
 raincodeData/Delivery/V2\ALCC032.COB;1962;0.075798726;0.3038;4.007.982.927
 raincodeData/Delivery/V2\ALCC048.COB;1518;0.047050428;0.3068;6.520.663.265
 raincodeData/Delivery/V2\ALCC049.COB;1565;0.049099767;0.2748;5.596.767.879
 raincodeData/Delivery/V2\ALCC065.COB;2322;0.099799824;0.33135;3.320.146.144
 raincodeData/Delivery/V2\ALCC066.COB;2695;0.122649884;0.2523;2.057.074.914
 raincodeData/Delivery/V2\ALCC067.COB;1526;0.049933219;0.3156;6.320.441.714
 raincodeData/Delivery/V2\ALCC068.COB;1564;0.048282337;0.24745;5.125.062.588
 raincodeData/Delivery/V2\ALCC070.COB;1705;0.058117163;0.3138;5.399.437.667
 raincodeData/Delivery/V2\ALCC200.COB;1170;0.035184097;0.2153;6.119.241.833
 raincodeData/Delivery/V2\ALCP021.COB;2325;0.096402335;0.32255;3.345.873.307
 raincodeData/Delivery/V2\ALCP022.COB;798;0.020350051;0.34965;1.718.177.518
 raincodeData/Delivery/V2\ALCP023.COB;425;0.012000287;0.3268;2.723.268.297
 raincodeData/Delivery/V2\ALCP040.COB;880;0.023399854;0.34765;1.485.693.049
 raincodeData/Delivery/V2\ALCP041.COB;608;0.016300631;0.2873;1.762.508.504
 raincodeData/Delivery/V2\ALCP042.COB;929;0.024552739;0.2983;1.214.935.751
 raincodeData/Delivery/V2\ALCP052.COB;1168;0.032803988;0.3363;1.025.180.217
 raincodeData/Delivery/V2\ALCP070.COB;1101;0.02985127;0.3377;1.131.275.162
 raincodeData/Delivery/V2\ALCP071.COB;712;0.021056235;0.2956;1.403.859.723
 raincodeData/Delivery/V2\ALCP072.COB;1107;0.03139987;0.3253;1.035.991.553
 raincodeData/Delivery/V2\ALCP076.COB;1820;0.059562767;0.38735;6.503.223.783
 raincodeData/Delivery/V2\ALCP077.COB;1902;0.061368358;0.34895;5.686.155.058
 raincodeData/Delivery/V2\ALCP078.COB;723;0.019099796;0.3264;1.708.918.792
 raincodeData/Delivery/V2\ALCP079.COB;1241;0.03490026;0.31955;9.156.092.254
 raincodeData/Delivery/V2\ALCP080.COB;553;0.01480273;0.30965;2.091.843.858
 raincodeData/Delivery/V2\ALCP081.COB;1471;0.043443847;0.34915;8.036.811.344
 raincodeData/Delivery/V2\ALCP082.COB;935;0.026264596;0.3475;1.323.073.845
 raincodeData/Delivery/V2\ALCP083.COB;3020;0.149753308;0.2069;1.381.605.537
 raincodeData/Delivery/V2\ALCP084.COB;1257;0.032250762;0.3188;9.885.037.759
 raincodeData/Delivery/V2\ALCP089.COB;670;0.016650152;0.261;1.567.553.238
 raincodeData/Delivery/V2\ALCP090.COB;4541;0.23248539;0.4777;2.054.752.776
 raincodeData/Delivery/V2\ALCP091.COB;1419;0.035649872;0.35855;1.005.753.967
 raincodeData/Delivery/V2\ALCP094.COB;1539;0.035409582;0.33225;9.383.053.524
 raincodeData/Delivery/V2\ALCP095.COB;756;0.019203389;0.26715;1.391.160.718
 raincodeData/Delivery/V2\ALCP097.COB;1219;0.035605824;0.2934;8.240.224.971
 raincodeData/Delivery/V2\ALCP120.COB;1050;0.029551566;0.26265;8.887.853.968
 raincodeData/Delivery/V2\ALCP201.COB;5929;0.352757132;0.398;1.128.255.006
 raincodeData/Delivery/V2\ALCP202.COB;912;0.023600221;0.29265;1.240.030.778
 raincodeData/Delivery/V2\ALCP206.COB;1095;0.029550016;0.2864;9.692.042.154
 raincodeData/Delivery/V2\ALCP208.COB;1076;0.03649987;0.30465;834.660.511
 raincodeData/Delivery/V2\ALCP209.COB;1646;0.069962287;0.35565;5.083.453.036
 raincodeData/Delivery/V2\ALCP215.COB;685;0.017587626;0.34115;1.939.716.028
 raincodeData/Delivery/V2\ALCP218.COB;705;0.017050087;0.31435;1.843.685.558
 raincodeData/Delivery/V2\ALCP221.COB;666;0.018799782;0.3282;1.745.764.943
 raincodeData/Delivery/V2\ALCP242.COB;2717;0.094657397;0.28865;3.049.418.306
 raincodeData/Delivery/V2\ALCP243.COB;2826;0.111655664;0.34685;3.106.425.471
 raincodeData/Delivery/V2\ALCP244.COB;4113;0.21674993;0.28125;1.297.578.271
 raincodeData/Delivery/V2\ALCP246.COB;1327;0.055700588;0.34755;6.239.610.946
 raincodeData/Delivery/V2\ALCP247.COB;467;0.012800062;0.322;2.515.612.873
 raincodeData/Delivery/V2\ALCP250.COB;889;0.021999335;0.3321;1.509.591.066
 raincodeData/Delivery/V2\ALCP252.COB;1322;0.056899607;0.2691;4.729.382.386
 raincodeData/Delivery/V2\ALCP254.COB;1684;0.093859816;0.35955;3.830.712.832
 raincodeData/Delivery/V2\ALCP256.COB;1407;0.064614165;0.34465;533.396.974
