mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy;
T; Cobol_85/IC101A.cob;382;0.039499164;0.31635;8.009030267;
T; Cobol_85/IC102A.cob;48;0.004299486;0.313;72.79939974;
T; Cobol_85/IC103A.cob;497;0.051450539;0.31805;6.181665074;
T; Cobol_85/IC104A.cob;71;0.005100036;0.29325;57.49959412;
T; Cobol_85/IC105A.cob;64;0.005300295;0.3157;59.56272245;
T; Cobol_85/IC106A.cob;530;0.054848981;0.3011;5.48961885;
T; Cobol_85/IC107A.cob;109;0.011419725;0.3367;29.48407251;
T; Cobol_85/IC108A.cob;444;0.044797981;0.2969;6.627530826;
T; Cobol_85/IC109A.cob;65;0.009248912;0.3238;35.00952328;
T; Cobol_85/IC110A.cob;69;0.009099758;0.322;35.38555641;
T; Cobol_85/IC111A.cob;56;0.007648373;0.3052;39.90391159;
T; Cobol_85/IC112A.cob;555;0.05564903;0.32505;5.841072162;
T; Cobol_85/IC113A.cob;78;0.009497869;0.34295;36.10809962;
T; Cobol_85/IC114A.cob;471;0.04484961;0.2443;5.447093074;
T; Cobol_85/IC115A.cob;213;0.021998537;0.2657;12.07807592;
T; Cobol_85/IC116M.cob;343;0.021498859;0.27775;12.91929027;
T; Cobol_85/IC117M.cob;71;0.004598534;0.3149;68.47834549;
T; Cobol_85/IC118M.cob;55;0.003749633;0.31775;84.74162671;
T; Cobol_85/IC201A.cob;619;0.0622509;0.2701;4.338893092;
T; Cobol_85/IC202A.cob;58;0.004698408;0.31785;67.65057441;
T; Cobol_85/IC203A.cob;683;0.062099552;0.271;4.363960629;
T; Cobol_85/IC204A.cob;73;0.008200824;0.3191;38.91072409;
T; Cobol_85/IC205A.cob;70;0.008948052;0.2635;29.44775019;
T; Cobol_85/IC206A.cob;56;0.006848407;0.29325;42.82017701;
T; Cobol_85/IC207A.cob;479;0.047799575;0.33015;6.906965177;
T; Cobol_85/IC208A.cob;103;0.007498765;0.35735;47.65451378;
T; Cobol_85/IC209A.cob;352;0.035649216;0.33605;9.426574767;
T; Cobol_85/IC210A.cob;50;0.005949032;0.2839;47.72204957;
T; Cobol_85/IC211A.cob;40;0.004949224;0.29955;60.52463982;
T; Cobol_85/IC212A.cob;40;0.004997933;0.30265;60.55503345;
T; Cobol_85/IC213A.cob;341;0.034598124;0.24405;7.053850665;
T; Cobol_85/IC214A.cob;36;0.004498398;0.29185;64.87865236;
T; Cobol_85/IC215A.cob;40;0.004499578;0.2886;64.13934818;
T; Cobol_85/IC216A.cob;333;0.034199142;0.3161;9.242921942;
T; Cobol_85/IC217A.cob;48;0.006249666;0.3061;48.97861742;
T; Cobol_85/IC222A-1.cob;144;0.016322994;0.3156;19.33468823;
T; Cobol_85/IC222A.cob;1019;0.069330263;0.2882;4.156914853;
T; Cobol_85/IC223A-1.cob;129;0.014211512;0.33365;23.47744561;
T; Cobol_85/IC223A.cob;644;0.066799009;0.27955;4.184942325;
T; Cobol_85/IC224A-1.cob;128;0.013900638;0.3162;22.74715736;
T; Cobol_85/IC224A.cob;576;0.054801071;0.2646;4.828372789;
T; Cobol_85/IC225A-1.cob;122;0.012898612;0.24375;18.89738214;
T; Cobol_85/IC225A.cob;933;0.106356776;0.3202;3.010621533;
T; Cobol_85/IC226A-1.cob;119;0.012098932;0;0;!Raincode's parser could not parse this file
T; Cobol_85/IC226A.cob;388;0.038450241;0.3294;8.566916395;
T; Cobol_85/IC227A-1.cob;232;0.020000219;0.32265;16.13232335;
T; Cobol_85/IC227A.cob;969;0.090300512;0.319;3.532648851;
T; Cobol_85/IC228A.cob;445;0.043113756;0.29655;6.878315125;
T; Cobol_85/IC233A.cob;513;0.044466925;0.32165;7.233466222;
T; Cobol_85/IC234A.cob;737;0.056321692;0.2153;3.822683452;
T; Cobol_85/IC235A.cob;668;0.065299344;0.33895;5.190710645;
T; Cobol_85/IC237A-1.cob;107;0.011400676;0.32475;28.48515299;
T; Cobol_85/IC237A.cob;327;0.032849896;0.33315;10.14158462;
T; Cobol_85/IC401M.cob;74;0.009200513;0.32275;35.07956567;
T; Cobol_85/IF101A.cob;906;0.079458201;0.2948;3.710126787;
T; Cobol_85/IF102A.cob;617;0.05305723;0.32115;6.052897975;
T; Cobol_85/IF103A.cob;840;0.071150637;0.3274;4.601504833;
