 filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy
 TestFiles/pytest/comment_normal_test_file.COB;17;0.000700104;0.2916;4.165.095.472
 TestFiles/pytest/evaluate_if_mix_test_file.COB;21;0.015199769;0.2937;1.932.266.207
 TestFiles/pytest/evaluate_simple_test_file.COB;13;0.000949979;0.28315;2.980.592.203
 TestFiles/pytest/exec_sql_all_forms_test_file.COB;20;0.002849698;0.2977;1.044.672.102
 TestFiles/pytest/if_both_branch_test_file.COB;10;0.000750279;0.2948;3.929.205.002
 TestFiles/pytest/if_condition_base_test_file.COB;8;0.000150073;0.30765;2.050.002.332
 TestFiles/pytest/if_condition_case_insensitive_test_file.COB;9;0.000100052;0.3014;3.012.433.535
 TestFiles/pytest/if_condition_three_lines_test_file.COB;10;0.000400078;0.2991;7.476.042.172
 TestFiles/pytest/if_condition_two_lines_test_file.COB;9;1.00E-04;0.2956;2956
 TestFiles/pytest/if_left_branch_test_file.COB;10;0.000400078;0.28985;7.244.837.257
 TestFiles/pytest/if_nested_both_branch_test_file.COB;14;0.000349939;0.29215;8.348.597.898
 TestFiles/pytest/if_nested_left_branch_test_file.COB;12;0.000149989;0.28605;1.907.139.857
 TestFiles/pytest/if_nested_right_branch_test_file.COB;12;0.000150013;0.28925;1.928.166.226
 TestFiles/pytest/if_normal_test_file.COB;10;9.99E-05;0.30015;3.004.504.505
 TestFiles/pytest/if_no_end-if_test_file.COB;10;0.000499833;0.2993;5.987.999.992
 TestFiles/pytest/if_right_branch_test_file.COB;10;0.000449932;0.2922;6.494.314.696
 TestFiles/pytest/if_squish_end_test_file.COB;21;0.000750351;0.298;3.971.474.683
 TestFiles/pytest/if_squish_middle_test_file.COB;20;0.000649726;0.29715;4.573.466.354
 TestFiles/pytest/if_squish_start_test_file.COB;21;0.000399971;0.3013;7.533.046.146
 TestFiles/pytest/if_three_to_squish_test_file.COB;14;0.000250018;0.29285;1.171.315.665
 TestFiles/pytest/if_two_to_squish_test_file.COB;14;0.000599992;0.2886;4.810.064.134
 TestFiles/pytest/next_sentence_test_file.COB;13;0.000449812;0.30075;6.686.126.648
 TestFiles/pytest/next_sentence_v2_test_file.COB;13;0.00034976;0.3045;8.705.969.808
 TestFiles/pytest/performThru_base_test_file.COB;21;0.000449991;0.28915;6.425.684.069
 TestFiles/pytest/performThru_broken_goto_test_file.COB;22;0.000300097;0.28665;9.551.911.549
 TestFiles/pytest/performThru_chained_test_file.COB;22;0.000399995;0.28865;7.216.340.204
 TestFiles/pytest/performThru_goto_test_file.COB;22;0.000499725;0.29495;5.902.246.235
 TestFiles/pytest/perform_base_test_file.COB;21;0.000599933;0.2827;4.712.192.862
 TestFiles/pytest/perform_broken_goto_test_file.COB;22;0.000199997;0.2469;1.234.518.518
 TestFiles/pytest/perform_chained_test_file.COB;21;5.00E-05;0.2782;5564
 TestFiles/pytest/string_normal_test_file.COB;10;0.000449657;0.29935;6.657.296.562
 TestFiles/pytest/string_on_two_lines_test_file.COB;11;0.000449705;0.2938;6.533.171.746
;;0.030148446;935.715;310.369.231
